item_name,canonical_item_id,member_item_id,is_canonical,member_name_id,member_drop_rows,group_size,group_drop_rows,source_line
ChulTae Bow,108,108,y,363,15,2,15,348
ChulTae Bow,108,941,n,2250,0,2,15,2789
Stone of Chance,362,362,y,562,140,2,140,1127
Stone of Chance,362,1158,n,562,0,2,140,3349
Diamond Scaled Armor,372,372,y,572,81,3,81,1161
Diamond Scaled Armor,372,715,n,2024,0,3,81,2075
Diamond Scaled Armor,372,826,n,2135,0,3,81,2438
Diamond Scaled Helmet,373,373,y,573,81,3,81,1164
Diamond Scaled Helmet,373,716,n,2025,0,3,81,2078
Diamond Scaled Helmet,373,827,n,2136,0,3,81,2441
Diamond Scaled Gloves,374,374,y,574,81,3,81,1167
Diamond Scaled Gloves,374,717,n,2026,0,3,81,2081
Diamond Scaled Gloves,374,828,n,2137,0,3,81,2444
Diamond Scaled Shoes,375,375,y,575,81,3,81,1170
Diamond Scaled Shoes,375,718,n,2027,0,3,81,2084
Diamond Scaled Shoes,375,829,n,2138,0,3,81,2447
Diamond Scaled Shorts,376,376,y,576,81,3,81,1173
Diamond Scaled Shorts,376,719,n,2028,0,3,81,2087
Diamond Scaled Shorts,376,830,n,2139,0,3,81,2450
Diamond Armor,377,377,y,577,80,3,80,1176
Diamond Armor,377,720,n,2029,0,3,80,2090
Diamond Armor,377,831,n,2140,0,3,80,2453
Diamond Helmet,378,378,y,578,80,3,80,1179
Diamond Helmet,378,721,n,2030,0,3,80,2093
Diamond Helmet,378,832,n,2141,0,3,80,2456
Diamond Gloves,379,379,y,579,80,3,80,1182
Diamond Gloves,379,722,n,2031,0,3,80,2096
Diamond Gloves,379,833,n,2142,0,3,80,2459
Diamond Shoes,380,380,y,580,80,3,80,1185
Diamond Shoes,380,723,n,2032,0,3,80,2099
Diamond Shoes,380,834,n,2143,0,3,80,2462
Diamond Shorts,381,381,y,581,80,3,80,1188
Diamond Shorts,381,724,n,2033,0,3,80,2102
Diamond Shorts,381,835,n,2144,0,3,80,2465
White DaeChangEau,382,382,y,582,78,3,78,1191
White DaeChangEau,382,725,n,2034,0,3,78,2105
White DaeChangEau,382,836,n,2145,0,3,78,2468
White DaeChangEau Hair Decoration,383,383,y,583,78,3,78,1194
White DaeChangEau Hair Decoration,383,726,n,2035,0,3,78,2108
White DaeChangEau Hair Decoration,383,837,n,2146,0,3,78,2471
White DaeChangEau Gloves,384,384,y,584,78,3,78,1197
White DaeChangEau Gloves,384,727,n,2036,0,3,78,2111
White DaeChangEau Gloves,384,838,n,2147,0,3,78,2474
White DaeChangEau Shoes,385,385,y,585,78,3,78,1200
White DaeChangEau Shoes,385,728,n,2037,0,3,78,2114
White DaeChangEau Shoes,385,839,n,2148,0,3,78,2477
White DaeChangEau Shorts,386,386,y,586,78,3,78,1203
White DaeChangEau Shorts,386,729,n,2038,0,3,78,2117
White DaeChangEau Shorts,386,840,n,2149,0,3,78,2480
Diamond Treasure Sword,457,457,y,657,66,2,66,1434
Diamond Treasure Sword,457,691,n,2000,0,2,66,2003
Diamond Sword of Pain,458,458,y,658,42,2,42,1437
Diamond Sword of Pain,458,692,n,2001,0,2,42,2006
Diamond Sword of Phantom,459,459,y,659,42,3,42,1440
Diamond Sword of Phantom,459,693,n,2002,0,3,42,2009
Diamond Sword of Phantom,459,804,n,2113,0,3,42,2370
Diamond Giant Sword,460,460,y,660,67,3,67,1443
Diamond Giant Sword,460,694,n,2003,0,3,67,2012
Diamond Giant Sword,460,805,n,2114,0,3,67,2373
Diamond Giant Sword of Pain,461,461,y,661,42,2,42,1446
Diamond Giant Sword of Pain,461,695,n,2004,0,2,42,2015
Diamond Giant Sword of Phantom,462,462,y,662,42,3,42,1449
Diamond Giant Sword of Phantom,462,696,n,2005,0,3,42,2018
Diamond Giant Sword of Phantom,462,807,n,2116,0,3,42,2379
Diamond Bow,463,463,y,663,77,3,77,1452
Diamond Bow,463,697,n,2006,0,3,77,2021
Diamond Bow,463,808,n,2117,0,3,77,2382
Diamond Bow of Pain,464,464,y,664,42,3,42,1455
Diamond Bow of Pain,464,698,n,2007,0,3,42,2024
Diamond Bow of Pain,464,809,n,2118,0,3,42,2385
Diamond Bow of Phantom,465,465,y,665,42,3,42,1458
Diamond Bow of Phantom,465,699,n,2008,0,3,42,2027
Diamond Bow of Phantom,465,810,n,2119,0,3,42,2388
Diamond Stick,466,466,y,666,75,3,75,1461
Diamond Stick,466,700,n,2009,0,3,75,2030
Diamond Stick,466,811,n,2120,0,3,75,2391
Diamond Stick of Pain,467,467,y,667,42,3,42,1464
Diamond Stick of Pain,467,701,n,2010,0,3,42,2033
Diamond Stick of Pain,467,812,n,2121,0,3,42,2394
Diamond Stick of Phantom,468,468,y,668,42,3,42,1467
Diamond Stick of Phantom,468,702,n,2011,0,3,42,2036
Diamond Stick of Phantom,468,813,n,2122,0,3,42,2397
Stone of EXP - 1 day,469,469,y,669,0,3,0,1472
Stone of EXP - 1 day,469,1169,n,669,0,3,0,3391
Stone of EXP - 1 day,469,1294,n,669,0,3,0,3770
Stone of EXP - 15 days,471,471,y,671,0,2,0,1478
Stone of EXP - 15 days,471,1139,n,671,0,2,0,3290
Stone of Wealth - 1 day,473,473,y,673,0,3,0,1484
Stone of Wealth - 1 day,473,1170,n,673,0,3,0,3394
Stone of Wealth - 1 day,473,1295,n,673,0,3,0,3773
Stone of Wealth - 15 days,475,475,y,675,0,2,0,1490
Stone of Wealth - 15 days,475,1140,n,675,0,2,0,3293
Stone of Fishery - 15 days,479,479,y,679,0,2,0,1502
Stone of Fishery - 15 days,479,1141,n,679,0,2,0,3296
Saving Scroll of Location,509,509,y,709,0,3,0,1545
Saving Scroll of Location,509,1148,n,709,0,3,0,3317
Saving Scroll of Location,509,1290,n,709,0,3,0,3758
Moving Scroll of Location,511,511,y,711,0,3,0,1548
Moving Scroll of Location,511,1149,n,711,0,3,0,3320
Moving Scroll of Location,511,1291,n,711,0,3,0,3761
Horn of Spirit,515,515,y,715,0,3,0,1554
Horn of Spirit,515,1160,n,715,0,3,0,3357
Horn of Spirit,515,1292,n,715,0,3,0,3764
Ancient Treasure Sword,560,560,y,760,45,4,47,1636
Ancient Treasure Sword,560,703,n,2012,0,4,47,2039
Ancient Treasure Sword,560,814,n,2123,1,4,47,2400
Ancient Treasure Sword,560,1230,n,2502,1,4,47,3580
General's Treasure Sword,561,561,y,761,47,4,49,1639
General's Treasure Sword,561,704,n,2013,0,4,49,2042
General's Treasure Sword,561,815,n,2124,1,4,49,2403
General's Treasure Sword,561,1231,n,2503,1,4,49,3583
Ancient Dynasty's Treasure Sword,562,562,y,762,42,4,44,1642
Ancient Dynasty's Treasure Sword,562,705,n,2014,0,4,44,2045
Ancient Dynasty's Treasure Sword,562,816,n,2125,1,4,44,2406
