item_name,group_size,member_item_ids,outcome,gate_failed,note
Anchovy,4,1273 1276 1279 1282,merged,,canonical 1273; 0 drop rows across 0 of 4 records
Ancient Dynasty of Tribal Mac's Bow,4,568 711 822 1238,merged,,canonical 568; 44 drop rows across 3 of 4 records
Ancient Dynasty's Giant Sword,3,565 708 819,merged,,canonical 565; 43 drop rows across 2 of 3 records
Ancient Dynasty's Stick,4,571 714 825 1241,merged,,canonical 571; 44 drop rows across 3 of 4 records
Ancient Dynasty's Treasure Sword,4,562 705 816 1232,merged,,canonical 562; 44 drop rows across 3 of 4 records
Ancient Giant Sword,3,563 706 817,merged,,canonical 563; 46 drop rows across 2 of 3 records
Ancient Stick,4,569 712 823 1239,merged,,canonical 569; 47 drop rows across 3 of 4 records
Ancient Treasure Sword,4,560 703 814 1230,merged,,canonical 560; 47 drop rows across 3 of 4 records
Ancient Tribal Mac's Bow,4,566 709 820 1236,merged,,canonical 566; 47 drop rows across 3 of 4 records
Armor of Doggebi,5,626 735 846 1204 1509,merged,,canonical 626; 89 drop rows across 3 of 5 records
Artillery Flag,2,879 887,kept apart,record,"the client records differ, so these are different items that share a display name"
Axe Pumpkin Head,2,996 1011,merged,,canonical 996; 0 drop rows across 0 of 2 records
Bead of Fire,3,942 1029 1165,kept apart,record,"the client records differ, so these are different items that share a display name"
Blood Dragon's Armor,3,1483 1635 1636,kept apart,record,"the client records differ, so these are different items that share a display name"
Blood Dragon's Armor Skirts,3,1487 1637 1638,kept apart,record,"the client records differ, so these are different items that share a display name"
Blood Dragon's DaeChangEau,3,1488 1639 1640,kept apart,record,"the client records differ, so these are different items that share a display name"
Blood Dragon's DaeChangEau Shorts,3,1492 1641 1642,kept apart,record,"the client records differ, so these are different items that share a display name"
Blood Dragon's Scaled Armor,3,1478 1631 1632,kept apart,record,"the client records differ, so these are different items that share a display name"
Blood Dragon's Scaled Armor Shorts,3,1482 1633 1634,kept apart,record,"the client records differ, so these are different items that share a display name"
Blood Dragon's Suit Shorts of thief,3,1769 1770 1771,kept apart,record,"the client records differ, so these are different items that share a display name"
Blood Dragon's Suit of thief,3,1763 1764 1765,kept apart,record,"the client records differ, so these are different items that share a display name"
Blue Dragon Cannon,6,880 881 882 888 889 890,kept apart,record,"the client records differ, so these are different items that share a display name"
Blue Witch Hat,2,999 1014,merged,,canonical 999; 0 drop rows across 0 of 2 records
Bow of Doggebi,4,590 751 862 1224,merged,,canonical 590; 7 drop rows across 3 of 4 records
Bow of Doggebi Lord,4,592 753 864 1226,merged,,canonical 592; 7 drop rows across 3 of 4 records
Bow of High Class Doggebi,4,591 752 863 1225,merged,,canonical 591; 7 drop rows across 3 of 4 records
Certificate of Son of the Sky[1Hr.],3,1178 1264 2609,kept apart,record,"the client records differ, so these are different items that share a display name"
Certificate of Son of the Sky[3Hr.],2,1179 1265,merged,,canonical 1179; 0 drop rows across 0 of 2 records
Certificate of Son of the Sky[5Hr.],2,1180 1266,merged,,canonical 1180; 0 drop rows across 0 of 2 records
Chicken Skewer,2,2175 2368,merged,,canonical 2175; 0 drop rows across 0 of 2 records
ChulTae Bow,2,108 941,merged,,canonical 108; 15 drop rows across 1 of 2 records
DaeChangEau Gloves of Doggebi,5,633 742 853 1211 1516,merged,,canonical 633; 72 drop rows across 3 of 5 records
DaeChangEau Shoes of Doggebi,5,634 743 854 1212 1517,merged,,canonical 634; 72 drop rows across 3 of 5 records
DaeChangEau Shorts of Doggebi,5,635 744 855 1213 1518,merged,,canonical 635; 89 drop rows across 3 of 5 records
DaeChangEau of Doggebi,5,631 740 851 1209 1514,merged,,canonical 631; 89 drop rows across 3 of 5 records
Demon's Sword,3,906 1168 1293,merged,,canonical 906; 0 drop rows across 0 of 3 records
Diamond Armor,3,377 720 831,merged,,canonical 377; 80 drop rows across 1 of 3 records
Diamond Bow,3,463 697 808,merged,,canonical 463; 77 drop rows across 1 of 3 records
Diamond Bow of Pain,3,464 698 809,merged,,canonical 464; 42 drop rows across 1 of 3 records
Diamond Bow of Phantom,3,465 699 810,merged,,canonical 465; 42 drop rows across 1 of 3 records
Diamond Giant Sword,3,460 694 805,merged,,canonical 460; 67 drop rows across 1 of 3 records
Diamond Giant Sword of Pain,2,461 695,merged,,canonical 461; 42 drop rows across 1 of 2 records
Diamond Giant Sword of Phantom,3,462 696 807,merged,,canonical 462; 42 drop rows across 1 of 3 records
Diamond Gloves,3,379 722 833,merged,,canonical 379; 80 drop rows across 1 of 3 records
Diamond Helmet,3,378 721 832,merged,,canonical 378; 80 drop rows across 1 of 3 records
Diamond Scaled Armor,3,372 715 826,merged,,canonical 372; 81 drop rows across 1 of 3 records
Diamond Scaled Gloves,3,374 717 828,merged,,canonical 374; 81 drop rows across 1 of 3 records
Diamond Scaled Helmet,3,373 716 827,merged,,canonical 373; 81 drop rows across 1 of 3 records
Diamond Scaled Shoes,3,375 718 829,merged,,canonical 375; 81 drop rows across 1 of 3 records
Diamond Scaled Shorts,3,376 719 830,merged,,canonical 376; 81 drop rows across 1 of 3 records
Diamond Shoes,3,380 723 834,merged,,canonical 380; 80 drop rows across 1 of 3 records
Diamond Shorts,3,381 724 835,merged,,canonical 381; 80 drop rows across 1 of 3 records
Diamond Stick,3,466 700 811,merged,,canonical 466; 75 drop rows across 1 of 3 records
Diamond Stick of Pain,3,467 701 812,merged,,canonical 467; 42 drop rows across 1 of 3 records
Diamond Stick of Phantom,3,468 702 813,merged,,canonical 468; 42 drop rows across 1 of 3 records
Diamond Sword of Pain,2,458 692,merged,,canonical 458; 42 drop rows across 1 of 2 records
Diamond Sword of Phantom,3,459 693 804,merged,,canonical 459; 42 drop rows across 1 of 3 records
Diamond Treasure Sword,2,457 691,merged,,canonical 457; 66 drop rows across 1 of 2 records
Doggebi Mask,3,1323 1446 1447,kept apart,record,"the client records differ, so these are different items that share a display name"
Dried Fish,2,2174 2367,merged,,canonical 2174; 0 drop rows across 0 of 2 records
Explosive Blow Improvement,2,601 1152,merged,,canonical 601; 0 drop rows across 0 of 2 records
General of Ancient Tribal Mac's Bow,4,567 710 821 1237,merged,,canonical 567; 50 drop rows across 3 of 4 records
General's Giant Sword,4,564 707 818 1234,merged,,canonical 564; 49 drop rows across 3 of 4 records
General's Stick,4,570 713 824 1240,merged,,canonical 570; 48 drop rows across 3 of 4 records
