bango_item_id,bango_item_name,legacy_item_id,legacy_item_name,route,accepted,bango_class,legacy_class,bango_slot,legacy_slot,bango_grade,legacy_grade,grade_agrees,shared_drop_monsters,bango_drop_monsters,legacy_drop_monsters,jaccard,name_similarity,note
31,Zamogeon,276,Geons,curated,yes,,,,Geons,,,unknown,211,221,251,0.808,0.615,money row; match variants by amount
259,SinGak DooSukLin Shoes,93,SinGak DooSukLin Boots,structural,yes,Archer,Archer,Boots,Boots,G46,G46,yes,47,78,62,0.505,0.800,
380,Diamond Shoes,111,Diamond Boots,structural,yes,Archer,Archer,Boots,Boots,G50,G50,yes,41,95,45,0.414,0.667,
629,Shoes of Doggebi,129,Boots of Doggebi,structural,yes,Archer,Archer,Boots,Boots,G55,G55,yes,5,10,8,0.385,0.786,
1486,Blood Dragon's Armor Shoes,147,Blood Dragon Boots,structural,no,Archer,Archer,Boots,Boots,G65,G65,yes,0,5,0,0.000,0.632,legacy item never drops
1892,Heavenly Executioner Armor Shoes,673,Heavenly Executioner Boots,structural,no,Archer,Archer,Boots,Boots,G70,G70,yes,0,1,0,0.000,0.792,legacy item never drops
1131,Golden Armor Gloves,470,Golden Gloves,structural,no,Archer,Archer,Gloves,Gloves,G60,G60,yes,0,3,0,0.000,0.828,legacy item never drops
1485,Blood Dragon's Armor Gloves,148,Blood Dragon Gloves,structural,no,Archer,Archer,Gloves,Gloves,G65,G65,yes,0,5,0,0.000,0.850,legacy item never drops
1891,Heavenly Executioner Armor Gloves,674,Heavenly Executioner Gloves,structural,no,Archer,Archer,Gloves,Gloves,G70,G70,yes,0,1,0,0.000,0.909,legacy item never drops
378,Diamond Helmet,113,Diamond Hood,structural,yes,Archer,Archer,Helmet,Helmet,G50,G50,yes,34,95,37,0.347,0.667,
627,Helmet of Doggebi,131,Hood of Doggebi,structural,yes,Archer,Archer,Helmet,Helmet,G55,G55,yes,5,10,8,0.385,0.714,
1130,Golden Armor Helmet,471,Golden Helmet,structural,no,Archer,Archer,Helmet,Helmet,G60,G60,yes,0,3,0,0.000,0.828,legacy item never drops
1890,Heavenly Executioner Armor Helmet,675,Heavenly Executioner Helmet,structural,no,Archer,Archer,Helmet,Helmet,G70,G70,yes,0,1,0,0.000,0.909,legacy item never drops
1133,Golden Armor Skirts,472,Golden Shorts,structural,no,Archer,Archer,Shorts,Shorts,G60,G60,yes,0,2,0,0.000,0.690,legacy item never drops
254,Intensified Steel Shoes,99,Intensified Steel Boots,structural,yes,Knight,Knight,Boots,Boots,G46,G46,yes,47,76,66,0.495,0.810,
375,Diamond Scaled Shoes,117,Diamond Scaled Boots,structural,yes,Knight,Knight,Boots,Boots,G50,G50,yes,41,93,47,0.414,0.778,
624,Scaled Shoes of Doggebi,135,Scaled Boots of Doggebi,structural,yes,Knight,Knight,Boots,Boots,G55,G55,yes,5,10,8,0.385,0.850,
1481,Blood Dragon's Scaled Armor Shoes,153,Blood Dragon Scaled Boots,structural,no,Knight,Knight,Boots,Boots,G65,G65,yes,0,5,0,0.000,0.760,legacy item never drops
1883,Heavenly Executioner Scaled Armor Shoes,679,Heavenly Executioner Boots,structural,no,Knight,Knight,Boots,Boots,G70,G70,yes,0,1,0,0.000,0.678,legacy item never drops
1480,Blood Dragon's Scaled Armor Gloves,154,Blood Dragon Scaled Gloves,structural,no,Knight,Knight,Gloves,Gloves,G65,G65,yes,0,5,0,0.000,0.885,legacy item never drops
1882,Heavenly Executioner Scaled Armor Gloves,680,Heavenly Executioner Gloves,structural,no,Knight,Knight,Gloves,Gloves,G70,G70,yes,0,1,0,0.000,0.820,legacy item never drops
1881,Heavenly Executioner Scaled Armor Helmet,681,Heavenly Executioner Helmet,structural,no,Knight,Knight,Helmet,Helmet,G70,G70,yes,0,1,0,0.000,0.820,legacy item never drops
30,Medium Steel Shield,165,Mid-Steel Shield,structural,no,Knight,Knight,Shield,Shield,G40,G40,yes,0,7,0,0.000,0.839,legacy item never drops
