bango_item_id,bango_item_name,legacy_item_id,legacy_item_name,route,accepted,bango_class,legacy_class,bango_slot,legacy_slot,bango_grade,legacy_grade,grade_agrees,shared_drop_monsters,bango_drop_monsters,legacy_drop_monsters,jaccard,name_similarity,note
31,Zamogeon,276,Geons,curated,yes,,,,Geons,,,unknown,211,221,251,0.808,0.615,money row; match variants by amount
60,JuckAh Big Steel Sword,181,Red Big Steel Sword,structural,yes,Knight,Knight,Sw.1H,Sw.1H,G29,G29,yes,7,7,7,1.000,0.743,
104,Hwandoo Saehyung Big Sword with Pattern of Leaf,188,Hwandoo Saehyung Big Sword with PoL,spelling,yes,Knight,Knight,Sw.1H,Sw.1H,G45,G45,yes,32,60,50,0.410,0.857,
127,MyungJoo DaeChangEau,86,MyungJoo DaeChangEau Clothes,structural,yes,Magician,Magician,Armor,Armor,G42,G42,yes,7,7,7,1.000,0.844,
254,Intensified Steel Shoes,99,Intensified Steel Boots,structural,yes,Knight,Knight,Boots,Boots,G46,G46,yes,47,76,66,0.495,0.810,
259,SinGak DooSukLin Shoes,93,SinGak DooSukLin Boots,structural,yes,Archer,Archer,Boots,Boots,G46,G46,yes,47,78,62,0.505,0.800,
261,BeeDan DaeChangEau,104,BeeDan DaeChangEau Clothes,structural,yes,Magician,Magician,Armor,Armor,G46,G46,yes,47,78,62,0.505,0.829,
264,BeeDan DaeChangEau Shoes,105,BeeDan DaeChangEau Boots,structural,yes,Magician,Magician,Boots,Boots,G46,G46,yes,47,78,62,0.505,0.818,
375,Diamond Scaled Shoes,117,Diamond Scaled Boots,structural,yes,Knight,Knight,Boots,Boots,G50,G50,yes,41,93,47,0.414,0.778,
378,Diamond Helmet,113,Diamond Hood,structural,yes,Archer,Archer,Helmet,Helmet,G50,G50,yes,34,95,37,0.347,0.667,
380,Diamond Shoes,111,Diamond Boots,structural,yes,Archer,Archer,Boots,Boots,G50,G50,yes,41,95,45,0.414,0.667,
382,White DaeChangEau,122,White DaeChangEau Clothes,structural,yes,Magician,Magician,Armor,Armor,G50,G50,yes,40,95,44,0.404,0.821,
385,White DaeChangEau Shoes,123,White DaeChangEau Boots,structural,yes,Magician,Magician,Boots,Boots,G50,G50,yes,40,95,44,0.404,0.810,
428,Best Boilling Water,312,Best Boiling Water,spelling,yes,,,,Water,G64,G64,yes,14,15,15,0.875,0.970,
624,Scaled Shoes of Doggebi,135,Scaled Boots of Doggebi,structural,yes,Knight,Knight,Boots,Boots,G55,G55,yes,5,10,8,0.385,0.850,
627,Helmet of Doggebi,131,Hood of Doggebi,structural,yes,Archer,Archer,Helmet,Helmet,G55,G55,yes,5,10,8,0.385,0.714,
629,Shoes of Doggebi,129,Boots of Doggebi,structural,yes,Archer,Archer,Boots,Boots,G55,G55,yes,5,10,8,0.385,0.786,
632,Hair Decoration of Doggebi,143,DaeChangEau Hair Decoration of Doggebi,structural,yes,Magician,Magician,Helmet,Helmet,G55,G55,yes,5,10,8,0.385,0.807,
634,DaeChangEau Shoes of Doggebi,141,DaeChangEau Boots of Doggebi,structural,yes,Magician,Magician,Boots,Boots,G55,G55,yes,5,10,8,0.385,0.880,
