ita_azon,ita_name,ita_class,ita_type,ita_grade,ita_lvllim,slot_index,stat_name,value,raw_vector
98,Intensified Steel Armor,Knight,Armor,G46,43,12,Evasion,15,||||||||||||15|36|4
98,Intensified Steel Armor,Knight,Armor,G46,43,13,Defense,36,||||||||||||15|36|4
98,Intensified Steel Armor,Knight,Armor,G46,43,14,Absorb,4,||||||||||||15|36|4
99,Intensified Steel Boots,Knight,Boots,G46,37,12,Evasion,17,||||||||||||17|27|2
99,Intensified Steel Boots,Knight,Boots,G46,37,13,Defense,27,||||||||||||17|27|2
99,Intensified Steel Boots,Knight,Boots,G46,37,14,Absorb,2,||||||||||||17|27|2
100,Intensified Steel Gloves,Knight,Gloves,G46,35,12,Evasion,4,||||||||||||4|33|1
100,Intensified Steel Gloves,Knight,Gloves,G46,35,13,Defense,33,||||||||||||4|33|1
100,Intensified Steel Gloves,Knight,Gloves,G46,35,14,Absorb,1,||||||||||||4|33|1
101,Intensified Steel Helmet,Knight,Helmet,G46,39,12,Evasion,7,||||||||||||7|35|1
101,Intensified Steel Helmet,Knight,Helmet,G46,39,13,Defense,35,||||||||||||7|35|1
101,Intensified Steel Helmet,Knight,Helmet,G46,39,14,Absorb,1,||||||||||||7|35|1
102,Intensified Steel Shorts,Knight,Shorts,G46,41,12,Evasion,17,||||||||||||17|24|2
102,Intensified Steel Shorts,Knight,Shorts,G46,41,13,Defense,24,||||||||||||17|24|2
102,Intensified Steel Shorts,Knight,Shorts,G46,41,14,Absorb,2,||||||||||||17|24|2
103,BeeDan DaeChangEau,Magician,All,G46,35,12,Evasion,75,||||||||||||75|95|0|19|19|19|13|13
103,BeeDan DaeChangEau,Magician,All,G46,35,13,Defense,95,||||||||||||75|95|0|19|19|19|13|13
103,BeeDan DaeChangEau,Magician,All,G46,35,14,Absorb,0,||||||||||||75|95|0|19|19|19|13|13
103,BeeDan DaeChangEau,Magician,All,G46,35,15,Fire,19,||||||||||||75|95|0|19|19|19|13|13
103,BeeDan DaeChangEau,Magician,All,G46,35,16,Ice,19,||||||||||||75|95|0|19|19|19|13|13
103,BeeDan DaeChangEau,Magician,All,G46,35,17,Lightening,19,||||||||||||75|95|0|19|19|19|13|13
103,BeeDan DaeChangEau,Magician,All,G46,35,18,NonElemental,13,||||||||||||75|95|0|19|19|19|13|13
103,BeeDan DaeChangEau,Magician,All,G46,35,19,Curse,13,||||||||||||75|95|0|19|19|19|13|13
104,BeeDan DaeChangEau Clothes,Magician,Armor,G46,43,12,Evasion,19,||||||||||||19|22|0|5|5|5|2|2
104,BeeDan DaeChangEau Clothes,Magician,Armor,G46,43,13,Defense,22,||||||||||||19|22|0|5|5|5|2|2
104,BeeDan DaeChangEau Clothes,Magician,Armor,G46,43,14,Absorb,0,||||||||||||19|22|0|5|5|5|2|2
104,BeeDan DaeChangEau Clothes,Magician,Armor,G46,43,15,Fire,5,||||||||||||19|22|0|5|5|5|2|2
104,BeeDan DaeChangEau Clothes,Magician,Armor,G46,43,16,Ice,5,||||||||||||19|22|0|5|5|5|2|2
104,BeeDan DaeChangEau Clothes,Magician,Armor,G46,43,17,Lightening,5,||||||||||||19|22|0|5|5|5|2|2
104,BeeDan DaeChangEau Clothes,Magician,Armor,G46,43,18,NonElemental,2,||||||||||||19|22|0|5|5|5|2|2
104,BeeDan DaeChangEau Clothes,Magician,Armor,G46,43,19,Curse,2,||||||||||||19|22|0|5|5|5|2|2
105,BeeDan DaeChangEau Boots,Magician,Boots,G46,37,12,Evasion,18,||||||||||||18|20|0|3|3|3|3|3
105,BeeDan DaeChangEau Boots,Magician,Boots,G46,37,13,Defense,20,||||||||||||18|20|0|3|3|3|3|3
105,BeeDan DaeChangEau Boots,Magician,Boots,G46,37,14,Absorb,0,||||||||||||18|20|0|3|3|3|3|3
105,BeeDan DaeChangEau Boots,Magician,Boots,G46,37,15,Fire,3,||||||||||||18|20|0|3|3|3|3|3
105,BeeDan DaeChangEau Boots,Magician,Boots,G46,37,16,Ice,3,||||||||||||18|20|0|3|3|3|3|3
105,BeeDan DaeChangEau Boots,Magician,Boots,G46,37,17,Lightening,3,||||||||||||18|20|0|3|3|3|3|3
105,BeeDan DaeChangEau Boots,Magician,Boots,G46,37,18,NonElemental,3,||||||||||||18|20|0|3|3|3|3|3
105,BeeDan DaeChangEau Boots,Magician,Boots,G46,37,19,Curse,3,||||||||||||18|20|0|3|3|3|3|3
106,BeeDan DaeChangEau Gloves,Magician,Gloves,G46,35,12,Evasion,8,||||||||||||8|18|0|4|4|4|3|3
106,BeeDan DaeChangEau Gloves,Magician,Gloves,G46,35,13,Defense,18,||||||||||||8|18|0|4|4|4|3|3
106,BeeDan DaeChangEau Gloves,Magician,Gloves,G46,35,14,Absorb,0,||||||||||||8|18|0|4|4|4|3|3
106,BeeDan DaeChangEau Gloves,Magician,Gloves,G46,35,15,Fire,4,||||||||||||8|18|0|4|4|4|3|3
106,BeeDan DaeChangEau Gloves,Magician,Gloves,G46,35,16,Ice,4,||||||||||||8|18|0|4|4|4|3|3
106,BeeDan DaeChangEau Gloves,Magician,Gloves,G46,35,17,Lightening,4,||||||||||||8|18|0|4|4|4|3|3
106,BeeDan DaeChangEau Gloves,Magician,Gloves,G46,35,18,NonElemental,3,||||||||||||8|18|0|4|4|4|3|3
106,BeeDan DaeChangEau Gloves,Magician,Gloves,G46,35,19,Curse,3,||||||||||||8|18|0|4|4|4|3|3
107,BeeDan DaeChangEau Hair Decoration,Magician,Helmet,G46,39,12,Evasion,10,||||||||||||10|18|0|4|4|4|2|2
107,BeeDan DaeChangEau Hair Decoration,Magician,Helmet,G46,39,13,Defense,18,||||||||||||10|18|0|4|4|4|2|2
107,BeeDan DaeChangEau Hair Decoration,Magician,Helmet,G46,39,14,Absorb,0,||||||||||||10|18|0|4|4|4|2|2
107,BeeDan DaeChangEau Hair Decoration,Magician,Helmet,G46,39,15,Fire,4,||||||||||||10|18|0|4|4|4|2|2
107,BeeDan DaeChangEau Hair Decoration,Magician,Helmet,G46,39,16,Ice,4,||||||||||||10|18|0|4|4|4|2|2
107,BeeDan DaeChangEau Hair Decoration,Magician,Helmet,G46,39,17,Lightening,4,||||||||||||10|18|0|4|4|4|2|2
107,BeeDan DaeChangEau Hair Decoration,Magician,Helmet,G46,39,18,NonElemental,2,||||||||||||10|18|0|4|4|4|2|2
107,BeeDan DaeChangEau Hair Decoration,Magician,Helmet,G46,39,19,Curse,2,||||||||||||10|18|0|4|4|4|2|2
108,BeeDan DaeChangEau Shorts,Magician,Shorts,G46,41,12,Evasion,20,||||||||||||20|17|0|3|3|3|3|3
108,BeeDan DaeChangEau Shorts,Magician,Shorts,G46,41,13,Defense,17,||||||||||||20|17|0|3|3|3|3|3
108,BeeDan DaeChangEau Shorts,Magician,Shorts,G46,41,14,Absorb,0,||||||||||||20|17|0|3|3|3|3|3
108,BeeDan DaeChangEau Shorts,Magician,Shorts,G46,41,15,Fire,3,||||||||||||20|17|0|3|3|3|3|3
108,BeeDan DaeChangEau Shorts,Magician,Shorts,G46,41,16,Ice,3,||||||||||||20|17|0|3|3|3|3|3
108,BeeDan DaeChangEau Shorts,Magician,Shorts,G46,41,17,Lightening,3,||||||||||||20|17|0|3|3|3|3|3
108,BeeDan DaeChangEau Shorts,Magician,Shorts,G46,41,18,NonElemental,3,||||||||||||20|17|0|3|3|3|3|3
108,BeeDan DaeChangEau Shorts,Magician,Shorts,G46,41,19,Curse,3,||||||||||||20|17|0|3|3|3|3|3
109,Diamond Armor,Archer,All,G50,46,0,Strength,1,1|4|||4||||||||93|151|7
109,Diamond Armor,Archer,All,G50,46,1,Health,4,1|4|||4||||||||93|151|7
109,Diamond Armor,Archer,All,G50,46,4,Agility,4,1|4|||4||||||||93|151|7
109,Diamond Armor,Archer,All,G50,46,12,Evasion,93,1|4|||4||||||||93|151|7
109,Diamond Armor,Archer,All,G50,46,13,Defense,151,1|4|||4||||||||93|151|7
109,Diamond Armor,Archer,All,G50,46,14,Absorb,7,1|4|||4||||||||93|151|7
110,Diamond Armor,Archer,Armor,G50,50,1,Health,2,|2|||3||||||||16|46|3
110,Diamond Armor,Archer,Armor,G50,50,4,Agility,3,|2|||3||||||||16|46|3
110,Diamond Armor,Archer,Armor,G50,50,12,Evasion,16,|2|||3||||||||16|46|3
110,Diamond Armor,Archer,Armor,G50,50,13,Defense,46,|2|||3||||||||16|46|3
110,Diamond Armor,Archer,Armor,G50,50,14,Absorb,3,|2|||3||||||||16|46|3
111,Diamond Boots,Archer,Boots,G50,47,4,Agility,1,||||1||||||||26|28|1
111,Diamond Boots,Archer,Boots,G50,47,12,Evasion,26,||||1||||||||26|28|1
111,Diamond Boots,Archer,Boots,G50,47,13,Defense,28,||||1||||||||26|28|1
111,Diamond Boots,Archer,Boots,G50,47,14,Absorb,1,||||1||||||||26|28|1
112,Diamond Gloves,Archer,Gloves,G50,46,0,Strength,1,1||||||||||||9|28|1
112,Diamond Gloves,Archer,Gloves,G50,46,12,Evasion,9,1||||||||||||9|28|1
112,Diamond Gloves,Archer,Gloves,G50,46,13,Defense,28,1||||||||||||9|28|1
112,Diamond Gloves,Archer,Gloves,G50,46,14,Absorb,1,1||||||||||||9|28|1
113,Diamond Hood,Archer,Helmet,G50,48,1,Health,1,|1|||||||||||10|30|1
113,Diamond Hood,Archer,Helmet,G50,48,12,Evasion,10,|1|||||||||||10|30|1
113,Diamond Hood,Archer,Helmet,G50,48,13,Defense,30,|1|||||||||||10|30|1
113,Diamond Hood,Archer,Helmet,G50,48,14,Absorb,1,|1|||||||||||10|30|1
114,Diamond Shorts,Archer,Shorts,G50,49,1,Health,1,|1|||||||||||32|19|1
114,Diamond Shorts,Archer,Shorts,G50,49,12,Evasion,32,|1|||||||||||32|19|1
114,Diamond Shorts,Archer,Shorts,G50,49,13,Defense,19,|1|||||||||||32|19|1
114,Diamond Shorts,Archer,Shorts,G50,49,14,Absorb,1,|1|||||||||||32|19|1
115,Diamond Scaled Armor,Knight,All,G50,46,0,Strength,4,4|4|||1||||||||70|189|13
115,Diamond Scaled Armor,Knight,All,G50,46,1,Health,4,4|4|||1||||||||70|189|13
115,Diamond Scaled Armor,Knight,All,G50,46,4,Agility,1,4|4|||1||||||||70|189|13
115,Diamond Scaled Armor,Knight,All,G50,46,12,Evasion,70,4|4|||1||||||||70|189|13
115,Diamond Scaled Armor,Knight,All,G50,46,13,Defense,189,4|4|||1||||||||70|189|13
115,Diamond Scaled Armor,Knight,All,G50,46,14,Absorb,13,4|4|||1||||||||70|189|13
116,Diamond Scaled Armor,Knight,Armor,G50,50,0,Strength,3,3|2|||||||||||17|44|5
116,Diamond Scaled Armor,Knight,Armor,G50,50,1,Health,2,3|2|||||||||||17|44|5
116,Diamond Scaled Armor,Knight,Armor,G50,50,12,Evasion,17,3|2|||||||||||17|44|5
116,Diamond Scaled Armor,Knight,Armor,G50,50,13,Defense,44,3|2|||||||||||17|44|5
116,Diamond Scaled Armor,Knight,Armor,G50,50,14,Absorb,5,3|2|||||||||||17|44|5
117,Diamond Scaled Boots,Knight,Boots,G50,47,4,Agility,1,||||1||||||||19|32|2
117,Diamond Scaled Boots,Knight,Boots,G50,47,12,Evasion,19,||||1||||||||19|32|2
117,Diamond Scaled Boots,Knight,Boots,G50,47,13,Defense,32,||||1||||||||19|32|2
117,Diamond Scaled Boots,Knight,Boots,G50,47,14,Absorb,2,||||1||||||||19|32|2
118,Diamond Scaled Gloves,Knight,Gloves,G50,46,0,Strength,1,1||||||||||||6|43|1
118,Diamond Scaled Gloves,Knight,Gloves,G50,46,12,Evasion,6,1||||||||||||6|43|1
118,Diamond Scaled Gloves,Knight,Gloves,G50,46,13,Defense,43,1||||||||||||6|43|1
118,Diamond Scaled Gloves,Knight,Gloves,G50,46,14,Absorb,1,1||||||||||||6|43|1
119,Diamond Scaled Helmet,Knight,Helmet,G50,48,1,Health,1,|1|||||||||||9|42|2
119,Diamond Scaled Helmet,Knight,Helmet,G50,48,12,Evasion,9,|1|||||||||||9|42|2
