skill,grade_before,grade_after,sp_refunded,reason
Chain Lightning,1,0,1,depends on lightningblow
Cold Binding,3,0,3,depends on frost
Cure,1,0,1,depends on heal
Frost,1,0,1,depends on splashyice
Heal,5,0,5,selected reset root
Ice Magic,10,0,10,selected reset root
Ice Restriction,1,0,1,depends on splashyice
Lightning Blow,10,0,10,depends on lightningmagic
Lightning Magic,10,1,9,selected reset root
Lightning Summons,2,0,2,depends on lightningblow
Magic Mastery: Ice,7,0,5,selected reset root
Restore,1,0,1,depends on revival
Revival,2,0,1,depends on cure
Shock Wave,5,0,5,depends on lightningmagic
Splashy Ice,5,0,5,depends on icemagic
Thunder,1,0,1,depends on lightningsummons
