level,level_sp,quest_sp,sp_spent,bank_end,changes
2,1,0,0,1,
3,1,0,1,1,Ice Magic 0->1 (1 SP)
4,1,0,1,1,Ice Magic 1->2 (1 SP)
5,1,0,1,1,Ice Magic 2->3 (1 SP)
6,1,0,1,1,Ice Magic 3->4 (1 SP)
7,1,0,1,1,Ice Magic 4->5 (1 SP)
8,1,0,1,1,Ice Magic 5->6 (1 SP)
9,1,0,1,1,Ice Magic 6->7 (1 SP)
10,1,0,1,1,Ice Magic 7->8 (1 SP)
11,1,1,1,2,Ice Magic 8->9 (1 SP)
12,1,0,1,2,Ice Magic 9->10 (1 SP)
13,1,0,0,3,
14,1,0,0,4,
15,1,1,0,6,
16,1,2,0,9,
17,1,1,0,11,
18,1,2,0,14,
19,1,0,0,15,
20,1,1,0,17,
21,1,0,10,8,Lightning Magic 1->10 (9 SP); Lightning Blow 0->1 (1 SP)
22,1,0,1,8,Lightning Blow 1->2 (1 SP)
23,1,0,1,8,Lightning Blow 2->3 (1 SP)
24,1,0,1,8,Lightning Blow 3->4 (1 SP)
25,1,1,1,9,Lightning Blow 4->5 (1 SP)
26,1,0,1,9,Lightning Blow 5->6 (1 SP)
27,1,1,1,10,Lightning Blow 6->7 (1 SP)
28,1,1,1,11,Lightning Blow 7->8 (1 SP)
29,1,1,1,12,Lightning Blow 8->9 (1 SP)
30,1,0,2,11,Lightning Blow 9->10 (1 SP); Magic Mastery: Lightning 0->1 (1 SP)
31,1,0,1,11,Magic Mastery: Lightning 1->2 (1 SP)
32,1,0,2,10,Magic Mastery: Lightning 2->3 (1 SP); Meditation 0->1 (1 SP)
33,1,2,2,11,Magic Mastery: Lightning 3->4 (1 SP); Meditation 1->2 (1 SP)
34,1,0,8,4,Magic Mastery: Lightning 4->5 (1 SP); Meditation 2->3 (1 SP); Splashy Ice 0->1 (1 SP); Magic Mastery: Ice 0->5 (5 SP)
35,1,0,1,4,Splashy Ice 1->2 (1 SP)
36,1,0,1,4,Splashy Ice 2->3 (1 SP)
37,1,0,2,3,Splashy Ice 3->4 (1 SP); Speed Up 0->1 (1 SP)
38,1,1,2,3,Splashy Ice 4->5 (1 SP); Speed Up 1->2 (1 SP)
39,1,0,1,3,Speed Up 2->3 (1 SP)
40,1,0,1,3,Heal 0->1 (1 SP)
41,1,0,1,3,Heal 1->2 (1 SP)
42,1,0,1,3,Heal 2->3 (1 SP)
43,1,0,1,3,Cure 0->1 (1 SP)
44,1,0,1,3,Revival 0->1 (1 SP)
45,1,0,1,3,Frost 0->1 (1 SP)
46,1,0,1,3,Restore 0->1 (1 SP)
47,1,0,1,3,Shock Wave 0->1 (1 SP)
48,1,0,1,3,Shock Wave 1->2 (1 SP)
49,1,0,1,3,Shock Wave 2->3 (1 SP)
50,1,0,1,3,Refining Weapon 0->1 (1 SP)
51,1,0,1,3,Shock Wave 3->4 (1 SP)
52,1,0,1,3,Shock Wave 4->5 (1 SP)
53,1,0,1,3,Lightning Summons 0->1 (1 SP)
54,1,0,1,3,Cold Binding 0->1 (1 SP)
55,1,0,0,4,
56,1,0,1,4,Ice Restriction 0->1 (1 SP)
57,1,0,2,3,Refining Weapon 1->2 (1 SP); Lightning Summons 1->2 (1 SP)
58,1,0,1,3,Cold Binding 1->2 (1 SP)
59,1,0,1,3,Chain Lightning 0->1 (1 SP)
60,1,0,0,4,Revival 1->2 (0 SP)
61,1,0,0,5,Magic Mastery: Lightning 5->7 (0 SP); Magic Mastery: Ice 5->7 (0 SP); Meditation 3->5 (0 SP)
62,1,0,1,5,Refining Weapon 2->3 (1 SP)
63,1,0,2,4,Cold Binding 2->3 (1 SP); Thunder 0->1 (1 SP)
64,1,0,2,3,Heal 3->5 (2 SP)
65,1,0,63,2,reset refund +61 SP; Lightning Magic 1->10 (9 SP); Ice Magic 0->10 (10 SP); Fire Magic 0->10 (10 SP); Lightning Blow 0->10 (10 SP); Splashy Ice 0->2 (2 SP); Fire Blow 0->5 (5 SP); Frost 0->1 (1 SP); Cold Binding 0->1 (1 SP); Ice Restriction 0->1 (1 SP); Chain Lightning 0->1 (1 SP); Explosive Burst 0->1 (1 SP); Thunder Storm 0->1 (1 SP); Ice Storm 0->1 (1 SP); Fire Storm 0->1 (1 SP); Heal 0->1 (1 SP); Shock Wave 0->5 (5 SP); Lightning Summons 0->2 (2 SP); Thunder 0->1 (1 SP)
66,1,0,2,1,Refining Weapon 3->4 (1 SP); Thunder 1->2 (1 SP)
67,1,0,1,1,Magic Mastery: Ice 0->1 (1 SP)
68,1,0,1,1,Magic Mastery: Ice 1->2 (1 SP)
69,1,0,2,0,Refining Weapon 4->5 (1 SP); Magic Mastery: Ice 2->3 (1 SP)
