rate_id,monster_id,monster_name,monster_level,channel,itemgroup,rolls,item_id,item_name,prefix_id,prefix,quantity,millionths,chance_pct,expected_drops_per_kill,chance_per_kill_pct,status
0,1,Demon Vulgar,1,0,1,2,31,Zamogeon,0,Plain,200,460000,46.0,0.92,70.84,original-2006-base-no-buffs
1,1,Demon Vulgar,1,0,1,2,443,Demon's blood,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
2,1,Demon Vulgar,1,0,1,2,47,Small Medicine,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
3,1,Demon Vulgar,1,0,1,2,31,Zamogeon,0,Plain,400,8000,0.8,0.016,1.5936000000000001,original-2006-base-no-buffs
4,1,Demon Vulgar,1,0,1,2,1,Short Iron Sword,1,Forced,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
5,1,Demon Vulgar,1,0,1,2,1,Short Iron Sword,2,Unlawful,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
6,1,Demon Vulgar,1,0,1,2,90,Bamboo Stick,21,Fictional,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
7,1,Demon Vulgar,1,0,1,2,90,Bamboo Stick,22,Sharp,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
8,1,Demon Vulgar,1,0,1,2,22,Birch Bow,41,Agile,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
9,1,Demon Vulgar,1,0,1,2,22,Birch Bow,42,Reflective,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
10,1,Demon Vulgar,1,0,1,2,315,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
11,1,Demon Vulgar,1,0,1,2,317,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
12,1,Demon Vulgar,1,0,1,2,205,Trinket,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
13,1,Demon Vulgar,1,0,1,2,446,Sea Bream with Blood,0,Plain,1,4000,0.4,0.008,0.7984,original-2006-base-no-buffs
14,2,Demon Scout,3,0,2,2,31,Zamogeon,0,Plain,300,430000,43.0,0.86,67.51,original-2006-base-no-buffs
15,2,Demon Scout,3,0,2,2,443,Demon's blood,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
16,2,Demon Scout,3,0,2,2,2,Short Steel Sword,0,Plain,1,10000,1.0,0.02,1.9900000000000002,original-2006-base-no-buffs
17,2,Demon Scout,3,0,2,2,23,Oak Bow,0,Plain,1,10000,1.0,0.02,1.9900000000000002,original-2006-base-no-buffs
18,2,Demon Scout,3,0,2,2,91,Oak Stick,0,Plain,1,10000,1.0,0.02,1.9900000000000002,original-2006-base-no-buffs
19,2,Demon Scout,3,0,2,2,47,Small Medicine,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
20,2,Demon Scout,3,0,2,2,31,Zamogeon,0,Plain,400,8000,0.8,0.016,1.5936000000000001,original-2006-base-no-buffs
21,2,Demon Scout,3,0,2,2,1,Short Iron Sword,1,Forced,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
22,2,Demon Scout,3,0,2,2,1,Short Iron Sword,2,Unlawful,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
23,2,Demon Scout,3,0,2,2,90,Bamboo Stick,21,Fictional,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
24,2,Demon Scout,3,0,2,2,90,Bamboo Stick,22,Sharp,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
25,2,Demon Scout,3,0,2,2,22,Birch Bow,41,Agile,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
26,2,Demon Scout,3,0,2,2,22,Birch Bow,42,Reflective,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
27,2,Demon Scout,3,0,2,2,315,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
28,2,Demon Scout,3,0,2,2,317,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
29,2,Demon Scout,3,0,2,2,205,Trinket,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
30,2,Demon Scout,3,0,2,2,446,Sea Bream with Blood,0,Plain,1,4000,0.4,0.008,0.7984,original-2006-base-no-buffs
31,3,Demon Spearhead,4,0,3,2,31,Zamogeon,0,Plain,300,428500,42.85,0.857,67.33877500000001,original-2006-base-no-buffs
32,3,Demon Spearhead,4,0,3,2,443,Demon's blood,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
33,3,Demon Spearhead,4,0,3,2,2,Short Steel Sword,0,Plain,1,10500,1.05,0.021,2.088975,original-2006-base-no-buffs
34,3,Demon Spearhead,4,0,3,2,23,Oak Bow,0,Plain,1,10500,1.05,0.021,2.088975,original-2006-base-no-buffs
35,3,Demon Spearhead,4,0,3,2,91,Oak Stick,0,Plain,1,10500,1.05,0.021,2.088975,original-2006-base-no-buffs
36,3,Demon Spearhead,4,0,3,2,47,Small Medicine,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
37,3,Demon Spearhead,4,0,3,2,31,Zamogeon,0,Plain,400,10580,1.058,0.02116,2.1048063600000004,original-2006-base-no-buffs
38,3,Demon Spearhead,4,0,3,2,1,Short Iron Sword,1,Forced,1,3000,0.3,0.006,0.5991,original-2006-base-no-buffs
39,3,Demon Spearhead,4,0,3,2,22,Birch Bow,41,Agile,1,3000,0.3,0.006,0.5991,original-2006-base-no-buffs
40,3,Demon Spearhead,4,0,3,2,90,Bamboo Stick,21,Fictional,1,3000,0.3,0.006,0.5991,original-2006-base-no-buffs
41,3,Demon Spearhead,4,0,3,2,2,Short Steel Sword,1,Forced,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
42,3,Demon Spearhead,4,0,3,2,23,Oak Bow,1,Forced,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
43,3,Demon Spearhead,4,0,3,2,91,Oak Stick,21,Fictional,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
44,3,Demon Spearhead,4,0,3,2,2,Short Steel Sword,41,Agile,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
45,3,Demon Spearhead,4,0,3,2,23,Oak Bow,41,Agile,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
46,3,Demon Spearhead,4,0,3,2,91,Oak Stick,41,Agile,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
47,3,Demon Spearhead,4,0,3,2,6,SaSaEul Armor,12,Vigorous   ,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
48,3,Demon Spearhead,4,0,3,2,32,Leather Armor,12,Vigorous   ,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
49,3,Demon Spearhead,4,0,3,2,70,MyungJoo HakChangEau Clothes,32,Confirmatory,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
50,3,Demon Spearhead,4,0,3,2,3,Small Steel Sword,68,Wondering Knight's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
51,3,Demon Spearhead,4,0,3,2,24,Big Oak Bow,72,Wondering Archer's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
52,3,Demon Spearhead,4,0,3,2,92,Oak Petal Stick,76,Beginning Scholar's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
53,3,Demon Spearhead,4,0,3,2,3,Small Steel Sword,69,Veteran Knight's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
54,3,Demon Spearhead,4,0,3,2,24,Big Oak Bow,73,Veteran Archer's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
55,3,Demon Spearhead,4,0,3,2,92,Oak Petal Stick,77,Veteran Scholar's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
56,3,Demon Spearhead,4,0,3,2,315,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
57,3,Demon Spearhead,4,0,3,2,317,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
58,3,Demon Spearhead,4,0,3,2,205,Trinket,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
59,3,Demon Spearhead,4,0,3,2,446,Sea Bream with Blood,0,Plain,1,4000,0.4,0.008,0.7984,original-2006-base-no-buffs
60,4,Demon Plunderer,5,0,4,2,31,Zamogeon,0,Plain,400,434580,43.458,0.86916,68.03002236,original-2006-base-no-buffs
61,4,Demon Plunderer,5,0,4,2,443,Demon's blood,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
62,4,Demon Plunderer,5,0,4,2,47,Small Medicine,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
63,4,Demon Plunderer,5,0,4,2,2,Short Steel Sword,0,Plain,1,12000,1.2,0.024,2.3856,original-2006-base-no-buffs
64,4,Demon Plunderer,5,0,4,2,23,Oak Bow,0,Plain,1,12000,1.2,0.024,2.3856,original-2006-base-no-buffs
65,4,Demon Plunderer,5,0,4,2,91,Oak Stick,0,Plain,1,12000,1.2,0.024,2.3856,original-2006-base-no-buffs
66,4,Demon Plunderer,5,0,4,2,1,Short Iron Sword,1,Forced,1,3000,0.3,0.006,0.5991,original-2006-base-no-buffs
67,4,Demon Plunderer,5,0,4,2,22,Birch Bow,41,Agile,1,3000,0.3,0.006,0.5991,original-2006-base-no-buffs
68,4,Demon Plunderer,5,0,4,2,90,Bamboo Stick,21,Fictional,1,3000,0.3,0.006,0.5991,original-2006-base-no-buffs
69,4,Demon Plunderer,5,0,4,2,2,Short Steel Sword,1,Forced,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
70,4,Demon Plunderer,5,0,4,2,23,Oak Bow,1,Forced,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
71,4,Demon Plunderer,5,0,4,2,91,Oak Stick,21,Fictional,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
72,4,Demon Plunderer,5,0,4,2,2,Short Steel Sword,41,Agile,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
73,4,Demon Plunderer,5,0,4,2,23,Oak Bow,41,Agile,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
74,4,Demon Plunderer,5,0,4,2,91,Oak Stick,41,Agile,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
75,4,Demon Plunderer,5,0,4,2,6,SaSaEul Armor,12,Vigorous   ,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
76,4,Demon Plunderer,5,0,4,2,32,Leather Armor,12,Vigorous   ,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
77,4,Demon Plunderer,5,0,4,2,70,MyungJoo HakChangEau Clothes,32,Confirmatory,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
78,4,Demon Plunderer,5,0,4,2,3,Small Steel Sword,68,Wondering Knight's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
79,4,Demon Plunderer,5,0,4,2,24,Big Oak Bow,72,Wondering Archer's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
80,4,Demon Plunderer,5,0,4,2,92,Oak Petal Stick,76,Beginning Scholar's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
81,4,Demon Plunderer,5,0,4,2,3,Small Steel Sword,69,Veteran Knight's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
82,4,Demon Plunderer,5,0,4,2,24,Big Oak Bow,73,Veteran Archer's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
83,4,Demon Plunderer,5,0,4,2,92,Oak Petal Stick,77,Veteran Scholar's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
84,4,Demon Plunderer,5,0,4,2,315,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
85,4,Demon Plunderer,5,0,4,2,317,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
86,4,Demon Plunderer,5,0,4,2,205,Trinket,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
87,4,Demon Plunderer,5,0,4,2,446,Sea Bream with Blood,0,Plain,1,4000,0.4,0.008,0.7984,original-2006-base-no-buffs
88,5,Wild Small Demon,6,0,5,2,31,Zamogeon,0,Plain,600,440500,44.05,0.881,68.695975,original-2006-base-no-buffs
89,5,Wild Small Demon,6,0,5,2,443,Demon's blood,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
90,5,Wild Small Demon,6,0,5,2,6,SaSaEul Armor,0,Plain,1,6500,0.65,0.013,1.2957750000000001,original-2006-base-no-buffs
91,5,Wild Small Demon,6,0,5,2,32,Leather Armor,0,Plain,1,6500,0.65,0.013,1.2957750000000001,original-2006-base-no-buffs
92,5,Wild Small Demon,6,0,5,2,70,MyungJoo HakChangEau Clothes,0,Plain,1,6500,0.65,0.013,1.2957750000000001,original-2006-base-no-buffs
93,5,Wild Small Demon,6,0,5,2,47,Small Medicine,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
94,5,Wild Small Demon,6,0,5,2,31,Zamogeon,0,Plain,700,19220,1.922,0.03844,3.80705916,original-2006-base-no-buffs
95,5,Wild Small Demon,6,0,5,2,2,Short Steel Sword,1,Forced,1,120,0.012,0.00024,0.02399856,original-2006-base-no-buffs
96,5,Wild Small Demon,6,0,5,2,2,Short Steel Sword,2,Unlawful,1,120,0.012,0.00024,0.02399856,original-2006-base-no-buffs
97,5,Wild Small Demon,6,0,5,2,91,Oak Stick,21,Fictional,1,120,0.012,0.00024,0.02399856,original-2006-base-no-buffs
98,5,Wild Small Demon,6,0,5,2,91,Oak Stick,22,Sharp,1,120,0.012,0.00024,0.02399856,original-2006-base-no-buffs
99,5,Wild Small Demon,6,0,5,2,23,Oak Bow,41,Agile,1,120,0.012,0.00024,0.02399856,original-2006-base-no-buffs
100,5,Wild Small Demon,6,0,5,2,23,Oak Bow,42,Reflective,1,120,0.012,0.00024,0.02399856,original-2006-base-no-buffs
101,5,Wild Small Demon,6,0,5,2,3,Small Steel Sword,69,Veteran Knight's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
102,5,Wild Small Demon,6,0,5,2,24,Big Oak Bow,73,Veteran Archer's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
103,5,Wild Small Demon,6,0,5,2,92,Oak Petal Stick,77,Veteran Scholar's,1,20,0.002,4e-05,0.003999960000000001,original-2006-base-no-buffs
104,5,Wild Small Demon,6,0,5,2,315,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
105,5,Wild Small Demon,6,0,5,2,317,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
106,5,Wild Small Demon,6,0,5,2,205,Trinket,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
107,5,Wild Small Demon,6,0,5,2,446,Sea Bream with Blood,0,Plain,1,4000,0.4,0.008,0.7984,original-2006-base-no-buffs
108,6,Demon Escort Soldier,8,0,6,2,31,Zamogeon,0,Plain,800,439500,43.95,0.879,68.583975,original-2006-base-no-buffs
109,6,Demon Escort Soldier,8,0,6,2,443,Demon's blood,0,Plain,1,20000,2.0,0.04,3.9600000000000004,original-2006-base-no-buffs
110,6,Demon Escort Soldier,8,0,6,2,3,Small Steel Sword,0,Plain,1,2000,0.2,0.004,0.39960000000000007,original-2006-base-no-buffs
111,6,Demon Escort Soldier,8,0,6,2,92,Oak Petal Stick,0,Plain,1,1000,0.1,0.002,0.1999,original-2006-base-no-buffs
112,6,Demon Escort Soldier,8,0,6,2,47,Small Medicine,0,Plain,1,30000,3.0,0.06,5.910000000000001,original-2006-base-no-buffs
113,6,Demon Escort Soldier,8,0,6,2,6,SaSaEul Armor,0,Plain,1,1000,0.1,0.002,0.1999,original-2006-base-no-buffs
114,6,Demon Escort Soldier,8,0,6,2,7,SaSaEul Helmet,0,Plain,1,1000,0.1,0.002,0.1999,original-2006-base-no-buffs
115,6,Demon Escort Soldier,8,0,6,2,8,SaSaEul Gloves,0,Plain,1,1000,0.1,0.002,0.1999,original-2006-base-no-buffs
116,6,Demon Escort Soldier,8,0,6,2,9,SaSaEul Boots,0,Plain,1,1000,0.1,0.002,0.1999,original-2006-base-no-buffs
117,6,Demon Escort Soldier,8,0,6,2,10,SaSaEul Shorts,0,Plain,1,1000,0.1,0.002,0.1999,original-2006-base-no-buffs
118,6,Demon Escort Soldier,8,0,6,2,70,MyungJoo HakChangEau Clothes,0,Plain,1,500,0.05,0.001,0.09997500000000002,original-2006-base-no-buffs
119,6,Demon Escort Soldier,8,0,6,2,71,MyungJoo HakChangEau Hair Decoration,0,Plain,1,500,0.05,0.001,0.09997500000000002,original-2006-base-no-buffs
120,6,Demon Escort Soldier,8,0,6,2,72,MyungJoo HakChangEau Gloves,0,Plain,1,500,0.05,0.001,0.09997500000000002,original-2006-base-no-buffs
121,6,Demon Escort Soldier,8,0,6,2,73,MyungJoo HakChangEau Boots,0,Plain,1,500,0.05,0.001,0.09997500000000002,original-2006-base-no-buffs
122,6,Demon Escort Soldier,8,0,6,2,74,MyungJoo HakChangEau Shorts,0,Plain,1,500,0.05,0.001,0.09997500000000002,original-2006-base-no-buffs
123,6,Demon Escort Soldier,8,0,6,2,31,Zamogeon,0,Plain,1000,19300,1.93,0.0386,3.8227510000000007,original-2006-base-no-buffs
124,6,Demon Escort Soldier,8,0,6,2,3,Small Steel Sword,51,Heavy Blow's,1,100,0.01,0.0002,0.019999000000000003,original-2006-base-no-buffs
125,6,Demon Escort Soldier,8,0,6,2,3,Small Steel Sword,52,The Powerful,1,80,0.008,0.00016,0.01599936,original-2006-base-no-buffs
126,6,Demon Escort Soldier,8,0,6,2,3,Small Steel Sword,53,Explosive,1,80,0.008,0.00016,0.01599936,original-2006-base-no-buffs
127,6,Demon Escort Soldier,8,0,6,2,3,Small Steel Sword,55,Exterminated,1,80,0.008,0.00016,0.01599936,original-2006-base-no-buffs
128,6,Demon Escort Soldier,8,0,6,2,92,Oak Petal Stick,60,Fundamental,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
129,6,Demon Escort Soldier,8,0,6,2,92,Oak Petal Stick,61,Powerful,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
130,6,Demon Escort Soldier,8,0,6,2,92,Oak Petal Stick,62,Mighty,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
131,6,Demon Escort Soldier,8,0,6,2,92,Oak Petal Stick,64,Cruel,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
132,6,Demon Escort Soldier,8,0,6,2,11,GyungBunGap Armor,11,Healthy,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
133,6,Demon Escort Soldier,8,0,6,2,11,GyungBunGap Armor,12,Vigorous   ,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
134,6,Demon Escort Soldier,8,0,6,2,75,BeeDan HakChangEau Clothes,31,Fixed,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
135,6,Demon Escort Soldier,8,0,6,2,3,Small Steel Sword,69,Veteran Knight's,1,40,0.004,8e-05,0.007999840000000001,original-2006-base-no-buffs
136,6,Demon Escort Soldier,8,0,6,2,3,Small Steel Sword,70,Strong Knight's,1,0,0.0,0.0,-0.0,original-2006-base-no-buffs
137,6,Demon Escort Soldier,8,0,6,2,315,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
138,6,Demon Escort Soldier,8,0,6,2,317,Talisman of Intensification,0,Plain,1,1600,0.16,0.0032,0.31974400000000003,original-2006-base-no-buffs
