bango_item_id,bango_item_name,changeprefix,prefix_a,prefix_b,legacy_item_id,legacy_item_name,outcome,gate_failed,note
275,Talisman of Wonder,ornament|34|3|80|1,3,1,349,"""Harsh"" / ""Forced""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
276,Talisman of Wonder,ornament|32|4|79|1,4,1,350,"""Strong Mans"" / ""Forced""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
277,Talisman of Wonder,ornament|30|5|78|1,5,1,351,"""Strongest Mans"" / ""Forced""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
278,Talisman of Intensification,weapon|24|6|61|2,6,2,316,"""Melees"" / ""Unlawful""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
279,Talisman of Intensification,weapon|20|7|58|2,7,2,317,"""Bloody Fights"" / ""Unlawful""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
280,Talisman of Intensification,weapon|16|8|55|2,8,2,,,rejected,pair,no legacy talisman rolls this prefix pair
281,Talisman of Intensification,weapon|12|9|47|3,9,3,332,"""Barbaric"" / ""Harsh""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
282,Talisman of Intensification,weapon|8|10|44|3,10,3,337,"""Invincible"" / ""Harsh""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
283,Talisman of Wonder,ornament|34|23|80|21,23,21,355,"""Keen"" / ""Fictional""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
284,Talisman of Wonder,ornament|32|24|79|21,24,21,356,"""Ordinary"" / ""Fictional""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
285,Talisman of Wonder,ornament|30|25|78|21,25,21,357,"""Wise"" / ""Fictional""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
286,Talisman of Intensification,weapon|24|26|61|22,26,22,318,"""Mystic"" / ""Sharp""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
287,Talisman of Intensification,weapon|20|27|58|22,27,22,319,"""Worshipful"" / ""Sharp""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
288,Talisman of Intensification,weapon|16|28|55|22,28,22,326,"""Sublime"" / ""Sharp""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
289,Talisman of Intensification,weapon|12|29|47|23,29,23,333,"""Pure"" / ""Keen""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
290,Talisman of Intensification,weapon|8|30|44|23,30,23,338,"""Absolute"" / ""Keen""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
291,Talisman of Wonder,ornament|34|13|80|11,13,11,352,"""Heroic"" / ""Healthy""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
292,Talisman of Wonder,ornament|32|14|79|11,14,11,353,"""Vital"" / ""Healthy""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
293,Talisman of Wonder,ornament|30|15|78|11,15,11,354,"""Ablaze"" / ""Healthy""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
294,Talisman of Intensification,weapon|24|16|61|12,16,12,320,"""Iron legs"" / ""Vigorous""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
295,Talisman of Intensification,weapon|20|17|58|12,17,12,321,"""Steels"" / ""Vigorous""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
296,Talisman of Intensification,weapon|16|18|55|12,18,12,327,"""Limitable"" / ""Vigorous""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
297,Talisman of Intensification,weapon|12|19|47|13,19,13,334,"""Infinitely"" / ""Heroic""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
298,Talisman of Intensification,weapon|8|20|44|13,20,13,339,"""Diamond"" / ""Heroic""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
299,Talisman of Wonder,ornament|34|33|80|31,33,31,358,"""Celebrated"" / ""Fixed""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
300,Talisman of Wonder,ornament|32|34|79|31,34,31,359,"""Dignified"" / ""Fixed""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
301,Talisman of Wonder,ornament|30|35|78|31,35,31,360,"""Merciful"" / ""Fixed""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
302,Talisman of Intensification,weapon|24|36|61|32,36,32,322,"""Predictive"" / ""Confirmatory""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
303,Talisman of Intensification,weapon|20|37|58|32,37,32,323,"""Foreseeable"" / ""Confirmatory""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
304,Talisman of Intensification,weapon|16|38|55|32,38,32,328,"""War Leaders"" / ""Confirmatory""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
305,Talisman of Intensification,weapon|12|39|47|33,39,33,335,"""Reverent"" / ""Celebrated""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
306,Talisman of Intensification,weapon|8|40|44|33,40,33,340,"""Paradoxical"" / ""Celebrated""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
307,Talisman of Wonder,ornament|34|43|80|41,43,41,361,"""Instant"" / ""Agile""",accepted,,"prefix pair, family and 1:1 uniqueness all hold"
