drp_azon,drp_group1,drp_group2,drp_chance1,drp_chance2,drp_item,drp_monst,drp_rev,bango_item_name,bango_monster_name,bango_value,bango_flag,provenance,source_file,source_line
0,,,,,31,1,,Zamogeon,Demon Vulgar,2,n,bango-file,droplist.dat,2
1,,,,,443,1,,Demon's blood,Demon Vulgar,1,n,bango-file,droplist.dat,3
2,,,,,47,1,,Small Medicine,Demon Vulgar,1,n,bango-file,droplist.dat,4
3,,,,,31,1,,Zamogeon,Demon Vulgar,4,n,bango-file,droplist.dat,5
4,,,,,1,1,,Short Iron Sword,Demon Vulgar,1,n,bango-file,droplist.dat,6
5,,,,,90,1,,Bamboo Stick,Demon Vulgar,1,n,bango-file,droplist.dat,7
6,,,,,22,1,,Birch Bow,Demon Vulgar,1,n,bango-file,droplist.dat,8
7,,,,,315,1,,Talisman of Intensification,Demon Vulgar,1,n,bango-file,droplist.dat,9
8,,,,,317,1,,Talisman of Intensification,Demon Vulgar,1,n,bango-file,droplist.dat,10
9,,,,,205,1,,Trinket,Demon Vulgar,1,n,bango-file,droplist.dat,11
10,,,,,446,1,,Sea Bream with Blood,Demon Vulgar,1,n,bango-file,droplist.dat,12
11,,,,,396,1,,Demon Vulgar's Head,Demon Vulgar,1,n,bango-file,droplist.dat,13
12,,,,,399,1,,Small Potato,Demon Vulgar,1,n,bango-file,droplist.dat,14
13,,,,,414,1,,Small Water of Geum-Oh Mountain,Demon Vulgar,1,n,bango-file,droplist.dat,15
14,,,,,140,1,,Shee-Geun's Message,Demon Vulgar,1,q,bango-file,droplist.dat,16
15,,,,,146,1,,Demon's Strategic Map,Demon Vulgar,1,q,bango-file,droplist.dat,17
16,,,,,396,1,,Demon Vulgar's Head,Demon Vulgar,1,q,bango-file,droplist.dat,18
17,,,,,31,2,,Zamogeon,Demon Scout,3,n,bango-file,droplist.dat,20
18,,,,,443,2,,Demon's blood,Demon Scout,1,n,bango-file,droplist.dat,21
19,,,,,1405,2,,Iron dagger,Demon Scout,1,n,bango-file,droplist.dat,22
20,,,,,2,2,,Short Steel Sword,Demon Scout,1,n,bango-file,droplist.dat,23
21,,,,,23,2,,Oak Bow,Demon Scout,1,n,bango-file,droplist.dat,24
22,,,,,91,2,,Oak Stick,Demon Scout,1,n,bango-file,droplist.dat,25
23,,,,,47,2,,Small Medicine,Demon Scout,1,n,bango-file,droplist.dat,26
24,,,,,31,2,,Zamogeon,Demon Scout,4,n,bango-file,droplist.dat,27
25,,,,,1,2,,Short Iron Sword,Demon Scout,1,n,bango-file,droplist.dat,28
26,,,,,90,2,,Bamboo Stick,Demon Scout,1,n,bango-file,droplist.dat,29
27,,,,,22,2,,Birch Bow,Demon Scout,1,n,bango-file,droplist.dat,30
28,,,,,315,2,,Talisman of Intensification,Demon Scout,1,n,bango-file,droplist.dat,31
29,,,,,317,2,,Talisman of Intensification,Demon Scout,1,n,bango-file,droplist.dat,32
30,,,,,205,2,,Trinket,Demon Scout,1,n,bango-file,droplist.dat,33
31,,,,,446,2,,Sea Bream with Blood,Demon Scout,1,n,bango-file,droplist.dat,34
32,,,,,397,2,,Demon Scout's Head,Demon Scout,1,n,bango-file,droplist.dat,35
33,,,,,399,2,,Small Potato,Demon Scout,1,n,bango-file,droplist.dat,36
34,,,,,414,2,,Small Water of Geum-Oh Mountain,Demon Scout,1,n,bango-file,droplist.dat,37
35,,,,,140,2,,Shee-Geun's Message,Demon Scout,1,q,bango-file,droplist.dat,38
36,,,,,146,2,,Demon's Strategic Map,Demon Scout,1,q,bango-file,droplist.dat,39
37,,,,,397,2,,Demon Scout's Head,Demon Scout,1,q,bango-file,droplist.dat,40
38,,,,,31,3,,Zamogeon,Demon Spearhead,3,n,bango-file,droplist.dat,42
39,,,,,443,3,,Demon's blood,Demon Spearhead,1,n,bango-file,droplist.dat,43
40,,,,,1405,3,,Iron dagger,Demon Spearhead,1,n,bango-file,droplist.dat,44
41,,,,,2,3,,Short Steel Sword,Demon Spearhead,1,n,bango-file,droplist.dat,45
42,,,,,23,3,,Oak Bow,Demon Spearhead,1,n,bango-file,droplist.dat,46
43,,,,,91,3,,Oak Stick,Demon Spearhead,1,n,bango-file,droplist.dat,47
44,,,,,47,3,,Small Medicine,Demon Spearhead,1,n,bango-file,droplist.dat,48
45,,,,,31,3,,Zamogeon,Demon Spearhead,4,n,bango-file,droplist.dat,49
46,,,,,1,3,,Short Iron Sword,Demon Spearhead,1,n,bango-file,droplist.dat,50
47,,,,,22,3,,Birch Bow,Demon Spearhead,1,n,bango-file,droplist.dat,51
48,,,,,90,3,,Bamboo Stick,Demon Spearhead,1,n,bango-file,droplist.dat,52
49,,,,,6,3,,SaSaEul Armor,Demon Spearhead,1,n,bango-file,droplist.dat,53
50,,,,,32,3,,Leather Armor,Demon Spearhead,1,n,bango-file,droplist.dat,54
51,,,,,70,3,,MyungJoo HakChangEau Clothes,Demon Spearhead,1,n,bango-file,droplist.dat,55
52,,,,,3,3,,Small Steel Sword,Demon Spearhead,1,n,bango-file,droplist.dat,56
53,,,,,24,3,,Big Oak Bow,Demon Spearhead,1,n,bango-file,droplist.dat,57
54,,,,,92,3,,Oak Petal Stick,Demon Spearhead,1,n,bango-file,droplist.dat,58
55,,,,,315,3,,Talisman of Intensification,Demon Spearhead,1,n,bango-file,droplist.dat,59
56,,,,,317,3,,Talisman of Intensification,Demon Spearhead,1,n,bango-file,droplist.dat,60
57,,,,,205,3,,Trinket,Demon Spearhead,1,n,bango-file,droplist.dat,61
58,,,,,446,3,,Sea Bream with Blood,Demon Spearhead,1,n,bango-file,droplist.dat,62
59,,,,,398,3,,Demon Spearhead's Head,Demon Spearhead,1,n,bango-file,droplist.dat,63
60,,,,,399,3,,Small Potato,Demon Spearhead,1,n,bango-file,droplist.dat,64
61,,,,,414,3,,Small Water of Geum-Oh Mountain,Demon Spearhead,1,n,bango-file,droplist.dat,65
62,,,,,140,3,,Shee-Geun's Message,Demon Spearhead,1,q,bango-file,droplist.dat,66
63,,,,,146,3,,Demon's Strategic Map,Demon Spearhead,1,q,bango-file,droplist.dat,67
64,,,,,398,3,,Demon Spearhead's Head,Demon Spearhead,1,q,bango-file,droplist.dat,68
65,,,,,31,4,,Zamogeon,Demon Plunderer,4,n,bango-file,droplist.dat,70
66,,,,,443,4,,Demon's blood,Demon Plunderer,1,n,bango-file,droplist.dat,71
67,,,,,1405,4,,Iron dagger,Demon Plunderer,1,n,bango-file,droplist.dat,72
68,,,,,47,4,,Small Medicine,Demon Plunderer,1,n,bango-file,droplist.dat,73
69,,,,,2,4,,Short Steel Sword,Demon Plunderer,1,n,bango-file,droplist.dat,74
70,,,,,23,4,,Oak Bow,Demon Plunderer,1,n,bango-file,droplist.dat,75
71,,,,,91,4,,Oak Stick,Demon Plunderer,1,n,bango-file,droplist.dat,76
72,,,,,1,4,,Short Iron Sword,Demon Plunderer,1,n,bango-file,droplist.dat,77
73,,,,,22,4,,Birch Bow,Demon Plunderer,1,n,bango-file,droplist.dat,78
74,,,,,90,4,,Bamboo Stick,Demon Plunderer,1,n,bango-file,droplist.dat,79
75,,,,,6,4,,SaSaEul Armor,Demon Plunderer,1,n,bango-file,droplist.dat,80
76,,,,,32,4,,Leather Armor,Demon Plunderer,1,n,bango-file,droplist.dat,81
77,,,,,70,4,,MyungJoo HakChangEau Clothes,Demon Plunderer,1,n,bango-file,droplist.dat,82
78,,,,,3,4,,Small Steel Sword,Demon Plunderer,1,n,bango-file,droplist.dat,83
79,,,,,24,4,,Big Oak Bow,Demon Plunderer,1,n,bango-file,droplist.dat,84
80,,,,,92,4,,Oak Petal Stick,Demon Plunderer,1,n,bango-file,droplist.dat,85
81,,,,,315,4,,Talisman of Intensification,Demon Plunderer,1,n,bango-file,droplist.dat,86
82,,,,,317,4,,Talisman of Intensification,Demon Plunderer,1,n,bango-file,droplist.dat,87
83,,,,,205,4,,Trinket,Demon Plunderer,1,n,bango-file,droplist.dat,88
84,,,,,446,4,,Sea Bream with Blood,Demon Plunderer,1,n,bango-file,droplist.dat,89
85,,,,,399,4,,Small Potato,Demon Plunderer,1,n,bango-file,droplist.dat,90
86,,,,,414,4,,Small Water of Geum-Oh Mountain,Demon Plunderer,1,n,bango-file,droplist.dat,91
87,,,,,140,4,,Shee-Geun's Message,Demon Plunderer,1,q,bango-file,droplist.dat,92
88,,,,,146,4,,Demon's Strategic Map,Demon Plunderer,1,q,bango-file,droplist.dat,93
89,,,,,169,4,,Chun-SooIn's Stirrup,Demon Plunderer,1,q,bango-file,droplist.dat,94
90,,,,,31,5,,Zamogeon,Wild Small Demon,6,n,bango-file,droplist.dat,96
91,,,,,443,5,,Demon's blood,Wild Small Demon,1,n,bango-file,droplist.dat,97
92,,,,,1550,5,,MyungJoo suit of  low class thief,Wild Small Demon,1,n,bango-file,droplist.dat,98
93,,,,,6,5,,SaSaEul Armor,Wild Small Demon,1,n,bango-file,droplist.dat,99
94,,,,,32,5,,Leather Armor,Wild Small Demon,1,n,bango-file,droplist.dat,100
95,,,,,70,5,,MyungJoo HakChangEau Clothes,Wild Small Demon,1,n,bango-file,droplist.dat,101
96,,,,,47,5,,Small Medicine,Wild Small Demon,1,n,bango-file,droplist.dat,102
97,,,,,31,5,,Zamogeon,Wild Small Demon,7,n,bango-file,droplist.dat,103
98,,,,,2,5,,Short Steel Sword,Wild Small Demon,1,n,bango-file,droplist.dat,104
99,,,,,91,5,,Oak Stick,Wild Small Demon,1,n,bango-file,droplist.dat,105
100,,,,,23,5,,Oak Bow,Wild Small Demon,1,n,bango-file,droplist.dat,106
101,,,,,3,5,,Small Steel Sword,Wild Small Demon,1,n,bango-file,droplist.dat,107
102,,,,,24,5,,Big Oak Bow,Wild Small Demon,1,n,bango-file,droplist.dat,108
103,,,,,92,5,,Oak Petal Stick,Wild Small Demon,1,n,bango-file,droplist.dat,109
104,,,,,315,5,,Talisman of Intensification,Wild Small Demon,1,n,bango-file,droplist.dat,110
105,,,,,317,5,,Talisman of Intensification,Wild Small Demon,1,n,bango-file,droplist.dat,111
106,,,,,205,5,,Trinket,Wild Small Demon,1,n,bango-file,droplist.dat,112
107,,,,,446,5,,Sea Bream with Blood,Wild Small Demon,1,n,bango-file,droplist.dat,113
