prefix_id,enhancement_level,stat_family,application_band,application_band_meaning,bonus_json,prefix_name,provenance,source_file,source_line
1001,1,hp,1,unverified,"[[""hp"",""26""]]",+1,bango-file,prefix.dat,186
1002,2,hp,1,unverified,"[[""hp"",""32""]]",+2,bango-file,prefix.dat,187
1003,3,hp,1,unverified,"[[""hp"",""38""]]",+3,bango-file,prefix.dat,188
1004,4,hp,1,unverified,"[[""hp"",""44""]]",+4,bango-file,prefix.dat,189
1005,5,hp,1,unverified,"[[""hp"",""50""]]",+5,bango-file,prefix.dat,190
1006,6,hp,1,unverified,"[[""hp"",""56""]]",+6,bango-file,prefix.dat,191
1007,7,hp,1,unverified,"[[""hp"",""62""]]",+7,bango-file,prefix.dat,192
1008,8,hp,1,unverified,"[[""hp"",""68""]]",+8,bango-file,prefix.dat,193
1009,9,hp,1,unverified,"[[""hp"",""74""]]",+9,bango-file,prefix.dat,194
1010,10,hp,1,unverified,"[[""hp"",""80""]]",+10,bango-file,prefix.dat,195
1011,11,hp,1,unverified,"[[""hp"",""86""]]",+11,bango-file,prefix.dat,196
1012,12,hp,1,unverified,"[[""hp"",""92""]]",+12,bango-file,prefix.dat,197
1013,13,hp,1,unverified,"[[""hp"",""98""]]",+13,bango-file,prefix.dat,198
1014,14,hp,1,unverified,"[[""hp"",""104""]]",+14,bango-file,prefix.dat,199
1015,15,hp,1,unverified,"[[""hp"",""110""]]",+15,bango-file,prefix.dat,200
1021,1,hp,2,unverified,"[[""hp"",""32""]]",<unresolved prefixname:1021>,bango-file,prefix.dat,202
1022,2,hp,2,unverified,"[[""hp"",""43""]]",<unresolved prefixname:1022>,bango-file,prefix.dat,203
1023,3,hp,2,unverified,"[[""hp"",""53""]]",<unresolved prefixname:1023>,bango-file,prefix.dat,204
1024,4,hp,2,unverified,"[[""hp"",""64""]]",<unresolved prefixname:1024>,bango-file,prefix.dat,205
1025,5,hp,2,unverified,"[[""hp"",""75""]]",<unresolved prefixname:1025>,bango-file,prefix.dat,206
1026,6,hp,2,unverified,"[[""hp"",""86""]]",<unresolved prefixname:1026>,bango-file,prefix.dat,207
1027,7,hp,2,unverified,"[[""hp"",""96""]]",<unresolved prefixname:1027>,bango-file,prefix.dat,208
1028,8,hp,2,unverified,"[[""hp"",""107""]]",<unresolved prefixname:1028>,bango-file,prefix.dat,209
1029,9,hp,2,unverified,"[[""hp"",""118""]]",<unresolved prefixname:1029>,bango-file,prefix.dat,210
1030,10,hp,2,unverified,"[[""hp"",""129""]]",<unresolved prefixname:1030>,bango-file,prefix.dat,211
1031,11,hp,2,unverified,"[[""hp"",""139""]]",<unresolved prefixname:1031>,bango-file,prefix.dat,212
1032,12,hp,2,unverified,"[[""hp"",""150""]]",<unresolved prefixname:1032>,bango-file,prefix.dat,213
1033,13,hp,2,unverified,"[[""hp"",""161""]]",<unresolved prefixname:1033>,bango-file,prefix.dat,214
1034,14,hp,2,unverified,"[[""hp"",""172""]]",<unresolved prefixname:1034>,bango-file,prefix.dat,215
1035,15,hp,2,unverified,"[[""hp"",""182""]]",<unresolved prefixname:1035>,bango-file,prefix.dat,216
1041,1,hp,3,unverified,"[[""hp"",""42""]]",<unresolved prefixname:1041>,bango-file,prefix.dat,218
1042,2,hp,3,unverified,"[[""hp"",""60""]]",<unresolved prefixname:1042>,bango-file,prefix.dat,219
1043,3,hp,3,unverified,"[[""hp"",""77""]]",<unresolved prefixname:1043>,bango-file,prefix.dat,220
1044,4,hp,3,unverified,"[[""hp"",""95""]]",<unresolved prefixname:1044>,bango-file,prefix.dat,221
1045,5,hp,3,unverified,"[[""hp"",""112""]]",<unresolved prefixname:1045>,bango-file,prefix.dat,222
1046,6,hp,3,unverified,"[[""hp"",""130""]]",<unresolved prefixname:1046>,bango-file,prefix.dat,223
1047,7,hp,3,unverified,"[[""hp"",""147""]]",<unresolved prefixname:1047>,bango-file,prefix.dat,224
1048,8,hp,3,unverified,"[[""hp"",""165""]]",<unresolved prefixname:1048>,bango-file,prefix.dat,225
1049,9,hp,3,unverified,"[[""hp"",""182""]]",<unresolved prefixname:1049>,bango-file,prefix.dat,226
1050,10,hp,3,unverified,"[[""hp"",""200""]]",<unresolved prefixname:1050>,bango-file,prefix.dat,227
1051,11,hp,3,unverified,"[[""hp"",""217""]]",<unresolved prefixname:1051>,bango-file,prefix.dat,228
1052,12,hp,3,unverified,"[[""hp"",""235""]]",<unresolved prefixname:1052>,bango-file,prefix.dat,229
1053,13,hp,3,unverified,"[[""hp"",""252""]]",<unresolved prefixname:1053>,bango-file,prefix.dat,230
1054,14,hp,3,unverified,"[[""hp"",""270""]]",<unresolved prefixname:1054>,bango-file,prefix.dat,231
1055,15,hp,3,unverified,"[[""hp"",""287""]]",<unresolved prefixname:1055>,bango-file,prefix.dat,232
1201,1,mp,1,unverified,"[[""mp"",""9""]]",<unresolved prefixname:1201>,bango-file,prefix.dat,236
1202,2,mp,1,unverified,"[[""mp"",""12""]]",<unresolved prefixname:1202>,bango-file,prefix.dat,237
1203,3,mp,1,unverified,"[[""mp"",""14""]]",<unresolved prefixname:1203>,bango-file,prefix.dat,238
1204,4,mp,1,unverified,"[[""mp"",""16""]]",<unresolved prefixname:1204>,bango-file,prefix.dat,239
1205,5,mp,1,unverified,"[[""mp"",""18""]]",<unresolved prefixname:1205>,bango-file,prefix.dat,240
1206,6,mp,1,unverified,"[[""mp"",""21""]]",<unresolved prefixname:1206>,bango-file,prefix.dat,241
1207,7,mp,1,unverified,"[[""mp"",""23""]]",<unresolved prefixname:1207>,bango-file,prefix.dat,242
1208,8,mp,1,unverified,"[[""mp"",""25""]]",<unresolved prefixname:1208>,bango-file,prefix.dat,243
1209,9,mp,1,unverified,"[[""mp"",""27""]]",<unresolved prefixname:1209>,bango-file,prefix.dat,244
1210,10,mp,1,unverified,"[[""mp"",""30""]]",<unresolved prefixname:1210>,bango-file,prefix.dat,245
1211,11,mp,1,unverified,"[[""mp"",""32""]]",<unresolved prefixname:1211>,bango-file,prefix.dat,246
1212,12,mp,1,unverified,"[[""mp"",""34""]]",<unresolved prefixname:1212>,bango-file,prefix.dat,247
1213,13,mp,1,unverified,"[[""mp"",""36""]]",<unresolved prefixname:1213>,bango-file,prefix.dat,248
