ita_azon,ita_itype,ita_grade,ita_class,ita_type,ita_name,ita_lvllim,ita_rev,ita_price,ita_pic,ita_pic2,ita_3d,bango_name_id,bango_description,bango_image,bango_action_json,bango_class_json,bango_code_json,bango_country_json,bango_limit_json,bango_sell,bango_endurance,bango_specialty_json,bango_record_json,provenance,source_file,source_line
1,,G01,Knight,,Short Iron Sword,1,,4,,,,256,,Wea001,"[""1"",""1""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""1""]",1,4,"[""specialty"",[""aspeed"",""700""],[""Attack"",""3"",""10""],[""hit"",""15""]]","[""item"",[""name"",""256""],[""Index"",""1""],[""Image"",""Wea001""],[""Action"",""1"",""1""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""1""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""range"",""16""],[""buy"",""4""],[""sell"",""1""],[""endurance"",""4""],[""specialty"",[""aspeed"",""700""],[""Attack"",""3"",""10""],[""hit"",""15""]]]",bango-file,inititem.dat,3
2,,G05,Knight,,Short Steel Sword,1,,180,,,,257,,Wea002,"[""2"",""1""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""1""]",45,6,"[""specialty"",[""aspeed"",""700""],[""Attack"",""16"",""24""],[""hit"",""18""]]","[""item"",[""name"",""257""],[""Index"",""2""],[""Image"",""Wea002""],[""Action"",""2"",""1""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""5""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""range"",""16""],[""buy"",""180""],[""sell"",""45""],[""endurance"",""6""],[""specialty"",[""aspeed"",""700""],[""Attack"",""16"",""24""],[""hit"",""18""]]]",bango-file,inititem.dat,6
3,,G09,Knight,,Small Steel Sword,1,,1650,,,,258,,Wea003,"[""2"",""2""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""1""]",412,12,"[""specialty"",[""aspeed"",""700""],[""Attack"",""25"",""37""],[""hit"",""21""]]","[""item"",[""name"",""258""],[""Index"",""3""],[""Image"",""Wea003""],[""Action"",""2"",""2""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""9""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""range"",""24""],[""buy"",""1650""],[""sell"",""412""],[""endurance"",""12""],[""specialty"",[""aspeed"",""700""],[""Attack"",""25"",""37""],[""hit"",""21""]]]",bango-file,inititem.dat,9
4,,G13,Knight,,Iron Sword,1,,3120,,,,259,,Wea004,"[""3"",""1""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""1""]",780,7,"[""specialty"",[""aspeed"",""700""],[""Attack"",""34"",""49""],[""hit"",""25""]]","[""item"",[""name"",""259""],[""Index"",""4""],[""Image"",""Wea004""],[""Action"",""3"",""1""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""13""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""range"",""24""],[""buy"",""3120""],[""sell"",""780""],[""endurance"",""7""],[""specialty"",[""aspeed"",""700""],[""Attack"",""34"",""49""],[""hit"",""25""]]]",bango-file,inititem.dat,12
5,,G17,Knight,,Iron Red-blood Sword,1,,6973,,,,260,,Wea005,"[""3"",""2""]","[""weapon"",""sword""]","[""1"",""1"",""1"",""1""]","[""2""]","[""Knight"",""1""]",1743,18,"[""specialty"",[""aspeed"",""700""],[""Attack"",""45"",""65""],[""hit"",""29""]]","[""item"",[""name"",""260""],[""Index"",""5""],[""Image"",""Wea005""],[""Action"",""3"",""2""],[""class"",""weapon"",""sword""],[""code"",""1"",""1"",""1"",""1""],[""country"",""2""],[""level"",""17""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""range"",""24""],[""buy"",""6973""],[""sell"",""1743""],[""endurance"",""18""],[""specialty"",[""aspeed"",""700""],[""Attack"",""45"",""65""],[""hit"",""29""]]]",bango-file,inititem.dat,15
6,,G08,Knight,,SaSaEul Armor,1,,200,,,,261,,Def001,"[""1"",""1""]","[""defense"",""upperarmor""]","[""2"",""3"",""3"",""0""]","[""2""]","[""Knight"",""1""]",50,5,"[""specialty"",[""defense"",""12""],[""dodge"",""1""],[""absorb"",""1""]]","[""item"",[""name"",""261""],[""Index"",""6""],[""Image"",""Def001""],[""Action"",""1"",""1""],[""class"",""defense"",""upperarmor""],[""code"",""2"",""3"",""3"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""200""],[""sell"",""50""],[""endurance"",""5""],[""specialty"",[""defense"",""12""],[""dodge"",""1""],[""absorb"",""1""]]]",bango-file,inititem.dat,20
7,,G08,Knight,,SaSaEul Helmet,1,,90,,,,262,,Def002,"[""1"",""1""]","[""defense"",""helmet""]","[""2"",""3"",""4"",""0""]","[""2""]","[""Knight"",""1""]",22,3,"[""specialty"",[""defense"",""5""],[""dodge"",""1""],[""absorb"",""1""]]","[""item"",[""name"",""262""],[""Index"",""7""],[""Image"",""Def002""],[""Action"",""1"",""1""],[""class"",""defense"",""helmet""],[""code"",""2"",""3"",""4"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""90""],[""sell"",""22""],[""endurance"",""3""],[""specialty"",[""defense"",""5""],[""dodge"",""1""],[""absorb"",""1""]]]",bango-file,inititem.dat,23
8,,G08,Knight,,SaSaEul Gloves,1,,50,,,,263,,Def003,"[""1"",""1""]","[""defense"",""gauntlet""]","[""2"",""3"",""5"",""0""]","[""2""]","[""Knight"",""1""]",12,2,"[""specialty"",[""defense"",""7""],[""dodge"",""1""]]","[""item"",[""name"",""263""],[""Index"",""8""],[""Image"",""Def003""],[""Action"",""1"",""1""],[""class"",""defense"",""gauntlet""],[""code"",""2"",""3"",""5"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""50""],[""sell"",""12""],[""endurance"",""2""],[""specialty"",[""defense"",""7""],[""dodge"",""1""]]]",bango-file,inititem.dat,26
9,,G08,Knight,,SaSaEul Boots,1,,110,,,,264,,Def004,"[""1"",""1""]","[""defense"",""boots""]","[""2"",""3"",""6"",""0""]","[""2""]","[""Knight"",""1""]",27,3,"[""specialty"",[""defense"",""3""],[""dodge"",""4""],[""absorb"",""1""]]","[""item"",[""name"",""264""],[""Index"",""9""],[""Image"",""Def004""],[""Action"",""1"",""1""],[""class"",""defense"",""boots""],[""code"",""2"",""3"",""6"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""110""],[""sell"",""27""],[""endurance"",""3""],[""specialty"",[""defense"",""3""],[""dodge"",""4""],[""absorb"",""1""]]]",bango-file,inititem.dat,29
10,,G08,Knight,,SaSaEul Shorts,1,,60,,,,265,,Def005,"[""1"",""1""]","[""defense"",""lowerarmor""]","[""2"",""3"",""7"",""0""]","[""2""]","[""Knight"",""1""]",15,4,"[""specialty"",[""defense"",""3""],[""dodge"",""5""]]","[""item"",[""name"",""265""],[""Index"",""10""],[""Image"",""Def005""],[""Action"",""1"",""1""],[""class"",""defense"",""lowerarmor""],[""code"",""2"",""3"",""7"",""0""],[""country"",""2""],[""level"",""8""],[""wear"",""1""],[""limit"",""Knight"",""1""],[""buy"",""60""],[""sell"",""15""],[""endurance"",""4""],[""specialty"",[""defense"",""3""],[""dodge"",""5""]]]",bango-file,inititem.dat,32
