ita_azon,attribute_ordinal,attribute,values_json,provenance,source_file,source_line
1,1,aspeed,"[""700""]",bango-file,inititem.dat,3
1,2,Attack,"[""3"",""10""]",bango-file,inititem.dat,3
1,3,hit,"[""15""]",bango-file,inititem.dat,3
2,1,aspeed,"[""700""]",bango-file,inititem.dat,6
2,2,Attack,"[""16"",""24""]",bango-file,inititem.dat,6
2,3,hit,"[""18""]",bango-file,inititem.dat,6
3,1,aspeed,"[""700""]",bango-file,inititem.dat,9
3,2,Attack,"[""25"",""37""]",bango-file,inititem.dat,9
3,3,hit,"[""21""]",bango-file,inititem.dat,9
4,1,aspeed,"[""700""]",bango-file,inititem.dat,12
4,2,Attack,"[""34"",""49""]",bango-file,inititem.dat,12
4,3,hit,"[""25""]",bango-file,inititem.dat,12
5,1,aspeed,"[""700""]",bango-file,inititem.dat,15
5,2,Attack,"[""45"",""65""]",bango-file,inititem.dat,15
5,3,hit,"[""29""]",bango-file,inititem.dat,15
6,1,defense,"[""12""]",bango-file,inititem.dat,20
6,2,dodge,"[""1""]",bango-file,inititem.dat,20
6,3,absorb,"[""1""]",bango-file,inititem.dat,20
7,1,defense,"[""5""]",bango-file,inititem.dat,23
7,2,dodge,"[""1""]",bango-file,inititem.dat,23
7,3,absorb,"[""1""]",bango-file,inititem.dat,23
8,1,defense,"[""7""]",bango-file,inititem.dat,26
8,2,dodge,"[""1""]",bango-file,inititem.dat,26
9,1,defense,"[""3""]",bango-file,inititem.dat,29
9,2,dodge,"[""4""]",bango-file,inititem.dat,29
9,3,absorb,"[""1""]",bango-file,inititem.dat,29
10,1,defense,"[""3""]",bango-file,inititem.dat,32
10,2,dodge,"[""5""]",bango-file,inititem.dat,32
11,1,defense,"[""15""]",bango-file,inititem.dat,35
11,2,dodge,"[""3""]",bango-file,inititem.dat,35
11,3,absorb,"[""2""]",bango-file,inititem.dat,35
12,1,defense,"[""10""]",bango-file,inititem.dat,38
12,2,dodge,"[""3""]",bango-file,inititem.dat,38
12,3,absorb,"[""1""]",bango-file,inititem.dat,38
13,1,defense,"[""11""]",bango-file,inititem.dat,41
13,2,dodge,"[""2""]",bango-file,inititem.dat,41
14,1,defense,"[""8""]",bango-file,inititem.dat,44
14,2,dodge,"[""8""]",bango-file,inititem.dat,44
14,3,absorb,"[""1""]",bango-file,inititem.dat,44
15,1,defense,"[""7""]",bango-file,inititem.dat,47
15,2,dodge,"[""9""]",bango-file,inititem.dat,47
16,1,defense,"[""22""]",bango-file,inititem.dat,50
16,2,dodge,"[""4""]",bango-file,inititem.dat,50
16,3,absorb,"[""2""]",bango-file,inititem.dat,50
17,1,defense,"[""14""]",bango-file,inititem.dat,53
17,2,dodge,"[""4""]",bango-file,inititem.dat,53
17,3,absorb,"[""1""]",bango-file,inititem.dat,53
18,1,defense,"[""15""]",bango-file,inititem.dat,56
18,2,dodge,"[""3""]",bango-file,inititem.dat,56
19,1,defense,"[""12""]",bango-file,inititem.dat,59
19,2,dodge,"[""11""]",bango-file,inititem.dat,59
19,3,absorb,"[""2""]",bango-file,inititem.dat,59
20,1,defense,"[""12""]",bango-file,inititem.dat,62
20,2,dodge,"[""11""]",bango-file,inititem.dat,62
21,1,aspeed,"[""700""]",bango-file,inititem.dat,65
21,2,Attack,"[""55"",""80""]",bango-file,inititem.dat,65
21,3,hit,"[""38""]",bango-file,inititem.dat,65
22,1,aspeed,"[""800""]",bango-file,inititem.dat,70
22,2,Attack,"[""2"",""7""]",bango-file,inititem.dat,70
22,3,hit,"[""12""]",bango-file,inititem.dat,70
23,1,aspeed,"[""800""]",bango-file,inititem.dat,73
23,2,Attack,"[""14"",""22""]",bango-file,inititem.dat,73
23,3,hit,"[""17""]",bango-file,inititem.dat,73
