namespace,message_id,text,definition_ordinal,provenance,source_file,source_line
sys,0,You got %2!d! of damage from the %1,1,bango-file,message.dat,9
sys,1,Please choose your character.,1,bango-file,message.dat,10
sys,2,No more than 16 letters for the ID length.,1,bango-file,message.dat,11
sys,3,No more than 16 letters for the PW length.,1,bango-file,message.dat,12
sys,4,Unable to connect to the server.,1,bango-file,message.dat,13
sys,5,You need 2 points.,1,bango-file,message.dat,14
sys,6,Choose your job.,1,bango-file,message.dat,15
sys,7,No more than 16 letters for the name of your character.,1,bango-file,message.dat,16
sys,8,Problem occurred on creating your character. - NA_ERROR.,1,bango-file,message.dat,17
sys,9,Wrong job number. - NA_WRONGJOB.,1,bango-file,message.dat,18
sys,10,Exceed the maximum number of character that you can create.,1,bango-file,message.dat,19
sys,11,There's a same name in the game.,1,bango-file,message.dat,21
sys,12,All points should be shared to create a character.,1,bango-file,message.dat,22
sys,13,Problem occurred on logging in. - LA_ERROR.,1,bango-file,message.dat,23
sys,14,Wrong ID or doesn't exist.,1,bango-file,message.dat,24
sys,15,Wrong passwords.,1,bango-file,message.dat,25
sys,16,Please try to connect it again later.,1,bango-file,message.dat,27
sys,17,Your ID is blocked. Please contact C/S center in the official homepage. Thanks for enjoying Kal Online.,1,bango-file,message.dat,33
sys,18,The ID has been expired.,1,bango-file,message.dat,35
sys,19,Creating Socket Window failed,1,bango-file,message.dat,36
sys,20,There is a point left. Use all point.,1,bango-file,message.dat,37
sys,21,You can create up to 3 characters.,1,bango-file,message.dat,39
sys,22,Wrong name. Special letter and space can't be used.,1,bango-file,message.dat,40
sys,23,Knight,1,bango-file,message.dat,41
sys,24,Magician,1,bango-file,message.dat,42
sys,25,Archer,1,bango-file,message.dat,43
sys,26,%1 is increased by %2!d!.,1,bango-file,message.dat,44
sys,27,%1 is decreased by %2!d!.,1,bango-file,message.dat,45
sys,28,Fire Resistance,1,bango-file,message.dat,46
sys,29,Ice Resistance,1,bango-file,message.dat,47
sys,30,Lightning Resistance,1,bango-file,message.dat,48
sys,31,Non Elemental Resistance,1,bango-file,message.dat,50
sys,32,Curse Resistance,1,bango-file,message.dat,51
sys,33,Strength,1,bango-file,message.dat,52
sys,34,Health,1,bango-file,message.dat,53
sys,35,Intelligence,1,bango-file,message.dat,54
sys,36,Wisdom,1,bango-file,message.dat,55
sys,37,Agility,1,bango-file,message.dat,56
sys,38,On Target Point,1,bango-file,message.dat,57
sys,39,Evasion Point,1,bango-file,message.dat,58
sys,40,Defense,1,bango-file,message.dat,59
sys,41,Absorption Rate,1,bango-file,message.dat,61
sys,42,Min. Physical Attack,1,bango-file,message.dat,62
sys,43,Max. Physical Attack,1,bango-file,message.dat,63
sys,44,Min. Magical Attack,1,bango-file,message.dat,64
sys,45,Max. Magical Attack,1,bango-file,message.dat,65
sys,46,Wandering %1,1,bango-file,message.dat,66
sys,47,Health Point,1,bango-file,message.dat,67
sys,48,Magic Point,1,bango-file,message.dat,68
sys,49,Max. Health Point,1,bango-file,message.dat,69
sys,50,Max. Magic Point,1,bango-file,message.dat,70
sys,51,Point,1,bango-file,message.dat,72
sys,52,Skill Point,1,bango-file,message.dat,73
sys,53,Level,1,bango-file,message.dat,74
sys,54,Exp,1,bango-file,message.dat,75
sys,55,Money can't be checked in the storage.,1,bango-file,message.dat,78
sys,56,Green Poisoned needle: Health Decrease#nGradually your Health Decreases.,1,bango-file,message.dat,81
sys,57,Green Poisoned needle: Health Decrease,1,bango-file,message.dat,82
sys,58,Brown Poisoned needle: Movement Speed Decrease#nYour body feels like it weighs a Ton.,1,bango-file,message.dat,83
sys,59,Brown Poisoned needle: Movement Speed Decrease,1,bango-file,message.dat,84
sys,60,Defense Penetration#nYour armor is torn out.,1,bango-file,message.dat,85
sys,61,Defense Penetration,1,bango-file,message.dat,86
sys,62,Energy of the Dragon is getting into your body. #nYou are gethering 10% more Money and EXP.,1,bango-file,message.dat,87
sys,63,You can persevere the Energy of the Dragon. #nYou are gathering 10% more Money and EXP.,1,bango-file,message.dat,88
sys,64,You have successfully locked your item. ,1,bango-file,message.dat,91
sys,65,You typed wrong password. A Key is consumed. (%1!d! times left),1,bango-file,message.dat,92
sys,66,You completely unlocked your item. A Key is consumed.,1,bango-file,message.dat,93
sys,67,Error in use of item,1,bango-file,message.dat,94
sys,68,Item is locked.,1,bango-file,message.dat,95
sys,69,You are wearing locked item.,1,bango-file,message.dat,96
sys,70,You may not use your locked item when you are assassin mode.,1,bango-file,message.dat,97
sys,71,Your character in the main server must be 41 or above.,1,bango-file,message.dat,100
sys,72,Doggebi Mask,1,bango-file,message.dat,103
sys,73,47,1,bango-file,message.dat,106
sys,74,Version is not matched with the server. Can't connect to the server,1,bango-file,message.dat,108
sys,75,Grade,1,bango-file,message.dat,109
sys,76,Endurance,1,bango-file,message.dat,110
sys,77,Destroyed,1,bango-file,message.dat,111
sys,78,Evasion Point,1,bango-file,message.dat,112
sys,79,Defense,1,bango-file,message.dat,113
sys,80,Absorption Rate,1,bango-file,message.dat,114
sys,81,Fire Resistance,1,bango-file,message.dat,116
sys,82,Ice Resistance,1,bango-file,message.dat,117
sys,83,Lightning Resistance,1,bango-file,message.dat,118
sys,84,Curse Resistance,1,bango-file,message.dat,119
sys,85,Non Elemental Resistance,1,bango-file,message.dat,120
sys,86,Physical Attack,1,bango-file,message.dat,121
sys,87,Magical Attack,1,bango-file,message.dat,122
sys,88,Effective Range,1,bango-file,message.dat,123
sys,89,On Target Point,1,bango-file,message.dat,124
sys,90,Quality,1,bango-file,message.dat,125
sys,91,Texture Quality,1,bango-file,message.dat,127
sys,92,High,1,bango-file,message.dat,128
sys,93,Medium,1,bango-file,message.dat,129
sys,94,Low,1,bango-file,message.dat,130
sys,95,Enable,1,bango-file,message.dat,131
sys,96,Disable,1,bango-file,message.dat,132
sys,97,Plants,1,bango-file,message.dat,133
sys,98,Water Effect,1,bango-file,message.dat,134
sys,99,OK,1,bango-file,message.dat,135
sys,100,Cancel,1,bango-file,message.dat,136
sys,101,Close,1,bango-file,message.dat,138
sys,102,You gave %2!d! of damage to the %1.,1,bango-file,message.dat,140
sys,103,Shadow,1,bango-file,message.dat,141
sys,104,Do you want to destroy the %1?,1,bango-file,message.dat,142
sys,105,Do you want to delete the character?,1,bango-file,message.dat,143
sys,106,Resolution,1,bango-file,message.dat,144
sys,107,Connection lost with the server,1,bango-file,message.dat,145
sys,108,Connection has lost because the time synchronization was not matched between the server and the client.,1,bango-file,message.dat,146
sys,109,The feature is not supported yet,1,bango-file,message.dat,147
sys,110,Are you sure you want to quit the game?,1,bango-file,message.dat,148
sys,111,Geon(s),1,bango-file,message.dat,150
sys,112, ,1,bango-file,message.dat,151
sys,113,[Notice],1,bango-file,message.dat,152
sys,114,"After %1!d!minute(s), the server is closing",1,bango-file,message.dat,153
sys,115,Server closing process has been canceled,1,bango-file,message.dat,154
sys,116,"After %1!d!second(s), the server is closing",1,bango-file,message.dat,155
sys,117,Server has been Closed,1,bango-file,message.dat,156
sys,118,[Stone of Fire : Grade %1!d!]#nActive Percentage 30%%#nAdditional Fire Damage %2!d!~%3!d!,1,bango-file,message.dat,157
sys,119,[Stone of Ice : Grade %1!d!]#nActive Percentage 30%%#nAdditional Ice Damage %2!d!~%3!d!,1,bango-file,message.dat,158
sys,120,[Stone of Lightning : Grade %1!d!]#nActive Percentage 30%%#nAdditional Lightning Damage %2!d!~%3!d!,1,bango-file,message.dat,159
sys,121,[Stone of Health Absorption : Grade %1!d!]#nExecute after successful attack#n Recovers Health from %2!d!%% of damage,1,bango-file,message.dat,161
sys,122,[Stone of Energy Absorption : Grade %1!d!]#nExecute after successful attack#n Recovers Energy from %2!d!%% of damage,1,bango-file,message.dat,162
sys,123,[Stone of Blow : Grade %1!d!]#nActive Percentage 30%%#nNon Elemental Damage %2!d!~%3!d!,1,bango-file,message.dat,163
sys,124,Topography Quality,1,bango-file,message.dat,164
sys,125,Compass,1,bango-file,message.dat,165
sys,126,%1 skill couldn't be executed,1,bango-file,message.dat,166
sys,127,%1 is activated,1,bango-file,message.dat,167
sys,128,%1 is canceled,1,bango-file,message.dat,168
sys,129,%1 is short,1,bango-file,message.dat,169
sys,130,This program can't be executed alone. Please execute KalOnline.exe again,1,bango-file,message.dat,170
sys,131,MSG_SAMEPLAYERONGAME,1,bango-file,message.dat,172
sys,132,Your character is blocked. Please contact C/S center in the official homepage. Thanks for enjoying Kal Online.,1,bango-file,message.dat,176
sys,133,There's a problem on information of character,1,bango-file,message.dat,178
sys,134,Your ID is not available now. Please contact C/S center in the official homepage. Thanks for enjoying Kal Online.,1,bango-file,message.dat,179
sys,135,You are already wearing an item,1,bango-file,message.dat,180
sys,136,Equipped items can't be deleted,1,bango-file,message.dat,181
sys,137,The item can't be equipped,1,bango-file,message.dat,182
sys,138,This item can't be dropped,1,bango-file,message.dat,183
sys,139,Attacking missed the target,1,bango-file,message.dat,184
sys,140,Evaded the %1's attack,1,bango-file,message.dat,185
sys,141,You're dead. You'll revive after 10 minutes at the latest crow statue you saved.,1,bango-file,message.dat,188
sys,142,Please connect again after few seconds.,1,bango-file,message.dat,189
sys,143,The term of validity has been expired.,1,bango-file,message.dat,190
sys,144,You tried to log in with same account and game Closes automatically.,1,bango-file,message.dat,191
sys,145,You're expelled,1,bango-file,message.dat,192
sys,146,/coordinates,1,bango-file,message.dat,193
sys,147,Price when buying : ,1,bango-file,message.dat,194
sys,148,Deleting the %1.,1,bango-file,message.dat,195
sys,149,Buying the %1.,1,bango-file,message.dat,196
sys,150,Selling them %1.,1,bango-file,message.dat,197
sys,151,DirectX 9.0b or higher must be installed to play KalOnline.,1,bango-file,message.dat,199
sys,152,/time,1,bango-file,message.dat,200
sys,153,Brightness,1,bango-file,message.dat,201
sys,154,You've run it more than once.,1,bango-file,message.dat,202
sys,155,Character sight range,1,bango-file,message.dat,203
sys,156,Price when selling : ,1,bango-file,message.dat,204
sys,157,Not enough money.,1,bango-file,message.dat,205
sys,158,You got %1!d! Geon.,1,bango-file,message.dat,206
sys,159,%1!d! Geon is spent.,1,bango-file,message.dat,207
sys,160,%1 will be dropped.,1,bango-file,message.dat,208
sys,161,Items only can be dropped on the ground.,1,bango-file,message.dat,210
sys,162,Destroying item,1,bango-file,message.dat,211
sys,163,Packet transferring fails,1,bango-file,message.dat,212
sys,164,"During Logging in, an undefined error has occurred.",1,bango-file,message.dat,213
sys,165,You only can upload once on the trading list.,1,bango-file,message.dat,214
sys,166,/trade,1,bango-file,message.dat,215
sys,167,"%1 is wanting to trade, do you accept it?",1,bango-file,message.dat,216
sys,168,The one is on trade. You can't trade in.,1,bango-file,message.dat,217
sys,169,The one canceled the trade.,1,bango-file,message.dat,218
sys,170,"First, select the item please.",1,bango-file,message.dat,219
sys,171,Waiting for the result for trade.,1,bango-file,message.dat,221
sys,172,Cancel can't be made.,1,bango-file,message.dat,222
sys,173,Exceed the number of items that can be traded.,1,bango-file,message.dat,223
sys,174,Trading is ending normally.,1,bango-file,message.dat,224
sys,175,Trading is ending abnormally.,1,bango-file,message.dat,225
sys,176,The item can be traded is on the item list. Registering on trade list has been canceled.,1,bango-file,message.dat,226
sys,177,The other party's inventory space is full.,1,bango-file,message.dat,227
sys,178,Trade has canceled.,1,bango-file,message.dat,228
sys,179,"During trade, wrong reply has been received.",1,bango-file,message.dat,229
sys,180,Ask for trade to %1.,1,bango-file,message.dat,230
sys,181,Asking for trade has failed.,1,bango-file,message.dat,232
sys,182,The other party accept your offer for trade.,1,bango-file,message.dat,233
sys,183,No priority on the item.,1,bango-file,message.dat,234
sys,184,You can't connect to the server because of the limitation of the age.,1,bango-file,message.dat,235
sys,185,You got %2!d! critical damage from the %1,1,bango-file,message.dat,236
sys,186,You gave %2!d! critical damage to the %1.,1,bango-file,message.dat,238
sys,187,The other party refused the trade.,1,bango-file,message.dat,240
sys,188,Trade has started.,1,bango-file,message.dat,241
sys,189,Too far away for trade.,1,bango-file,message.dat,242
sys,190,disconnected or nonexistent player.,1,bango-file,message.dat,243
sys,191,Your ID is not allowed to connect.,1,bango-file,message.dat,245
sys,192,No item can be picked up near you.,1,bango-file,message.dat,246
sys,193,You got %1.,1,bango-file,message.dat,247
sys,194,You got %2!d! %1.,1,bango-file,message.dat,248
sys,195,You need %1!d! point(S).,1,bango-file,message.dat,249
sys,196,Exceed the number that you can choose.,1,bango-file,message.dat,250
sys,197,whisper,1,bango-file,message.dat,251
sys,198,Job Limitation : %1,1,bango-file,message.dat,252
sys,199,Level Limitation : %1!d!,1,bango-file,message.dat,253
sys,200,Government Position Limitation : %1,1,bango-file,message.dat,254
sys,201,Not enough Magic Point.,1,bango-file,message.dat,256
sys,202,[Current Grade %1!d!],1,bango-file,message.dat,257
sys,203,[Next Grade %1!d!],1,bango-file,message.dat,258
sys,204,<Executable Skill>,1,bango-file,message.dat,259
sys,205,<Maintaining Skill>,1,bango-file,message.dat,260
sys,206,<Applied Skill>,1,bango-file,message.dat,261
sys,207,%1 skill has canceled.,1,bango-file,message.dat,262
sys,208,Character Information (Hotkey:C),1,bango-file,message.dat,264
sys,209,Inventory (Hotkey:I),1,bango-file,message.dat,265
sys,210,Skill (Hotkey:S),1,bango-file,message.dat,266
sys,211,Party (Hotkey:P),1,bango-file,message.dat,268
sys,212,Map (Hotkey:M),1,bango-file,message.dat,269
sys,213,Option (Hotkey:ESC),1,bango-file,message.dat,270
sys,214,Rest,1,bango-file,message.dat,271
sys,215,#nSits down on the ground#nand recovers the health point and energy,1,bango-file,message.dat,272
sys,216,Trade,1,bango-file,message.dat,273
sys,217,#nRequests for trade to others,1,bango-file,message.dat,274
sys,218,Pick,1,bango-file,message.dat,275
sys,219,#nPicks up items on the ground#nHotkey: Spacebar,1,bango-file,message.dat,276
sys,220,Wandering Knight,1,bango-file,message.dat,277
sys,221,Apprentice Knight,1,bango-file,message.dat,279
sys,222,Commander,1,bango-file,message.dat,280
sys,223,Vagabond Swordman,1,bango-file,message.dat,281
sys,224,God of Sword,1,bango-file,message.dat,282
sys,225,General,1,bango-file,message.dat,283
sys,226,Scholar,1,bango-file,message.dat,284
sys,227,Literary Man,1,bango-file,message.dat,285
sys,228,Hermit,1,bango-file,message.dat,286
sys,229,Chairperson of Joong-Bang,1,bango-file,message.dat,287
sys,230,Ascetic,1,bango-file,message.dat,288
sys,231,Military Adviser,1,bango-file,message.dat,290
sys,232,Wandering Archer,1,bango-file,message.dat,291
sys,233,Apprentice Archer,1,bango-file,message.dat,292
sys,234,Imperial Commander,1,bango-file,message.dat,293
sys,235,Expert Archer,1,bango-file,message.dat,294
sys,236,God of Bow,1,bango-file,message.dat,295
sys,237,Imperial General,1,bango-file,message.dat,296
sys,238,Party request has been made by %1.,1,bango-file,message.dat,297
sys,239,%1 is already in an another party.,1,bango-file,message.dat,298
sys,240,You have no authority to express the party request.,1,bango-file,message.dat,299
sys,241,"The version of updater is changed, please restart the game",1,bango-file,message.dat,301
sys,242,%1 refused the party request.,1,bango-file,message.dat,303
sys,243,%1 has joined the party.,1,bango-file,message.dat,304
sys,244,No more party member is allowed.,1,bango-file,message.dat,305
sys,245,You have been expelled from the party.,1,bango-file,message.dat,306
sys,246,You became a leader of the party.,1,bango-file,message.dat,307
sys,247,The party has been dispersed.,1,bango-file,message.dat,308
sys,248,%1 has been expelled from the party.,1,bango-file,message.dat,309
sys,249,%1 has left from the party.,1,bango-file,message.dat,310
sys,250,You have left from the party.,1,bango-file,message.dat,311
sys,251,/party,1,bango-file,message.dat,313
sys,252, Party request has been made by %1. Do you accept it?,1,bango-file,message.dat,314
sys,253,%1 has refused the party request.,1,bango-file,message.dat,315
sys,254,/leaveparty,1,bango-file,message.dat,316
sys,255,The target is not selected or found.,1,bango-file,message.dat,317
sys,256,The party request has been made to %1.,1,bango-file,message.dat,318
sys,257,The targeted character is not connected or in range.,1,bango-file,message.dat,319
sys,258,/expelparty,1,bango-file,message.dat,320
sys,259,You have joined to the party.,1,bango-file,message.dat,321
sys,260,Normal,1,bango-file,message.dat,322
sys,261,Party,1,bango-file,message.dat,324
sys,262,Guild,1,bango-file,message.dat,325
