monster_id,monster_name,quest_id,value,provenance,source_file,source_line
1,Demon Vulgar,2,1,bango-file,monster-quest-indicator.dat,1
1,Demon Vulgar,3,1,bango-file,monster-quest-indicator.dat,2
1,Demon Vulgar,54,1,bango-file,monster-quest-indicator.dat,3
1,Demon Vulgar,8001,1,bango-file,monster-quest-indicator.dat,4
2,Demon Scout,2,1,bango-file,monster-quest-indicator.dat,5
2,Demon Scout,3,1,bango-file,monster-quest-indicator.dat,6
2,Demon Scout,55,1,bango-file,monster-quest-indicator.dat,7
2,Demon Scout,8001,1,bango-file,monster-quest-indicator.dat,8
3,Demon Spearhead,2,1,bango-file,monster-quest-indicator.dat,9
3,Demon Spearhead,3,1,bango-file,monster-quest-indicator.dat,10
3,Demon Spearhead,56,1,bango-file,monster-quest-indicator.dat,11
3,Demon Spearhead,8001,1,bango-file,monster-quest-indicator.dat,12
4,Demon Plunderer,2,1,bango-file,monster-quest-indicator.dat,13
4,Demon Plunderer,3,1,bango-file,monster-quest-indicator.dat,14
4,Demon Plunderer,8001,1,bango-file,monster-quest-indicator.dat,15
4,Demon Plunderer,9001,2,bango-file,monster-quest-indicator.dat,16
5,Wild Small Demon,3,1,bango-file,monster-quest-indicator.dat,17
5,Wild Small Demon,8001,1,bango-file,monster-quest-indicator.dat,18
6,Demon Escort Soldier,9002,2,bango-file,monster-quest-indicator.dat,19
6,Demon Escort Soldier,8001,1,bango-file,monster-quest-indicator.dat,20
7,Demon Escort Archer,4,2,bango-file,monster-quest-indicator.dat,21
7,Demon Escort Archer,9002,2,bango-file,monster-quest-indicator.dat,22
7,Demon Escort Archer,8001,1,bango-file,monster-quest-indicator.dat,23
8,Demon Scout Commander,8001,1,bango-file,monster-quest-indicator.dat,24
9,Suicide Bomber,5,2,bango-file,monster-quest-indicator.dat,25
9,Suicide Bomber,8001,1,bango-file,monster-quest-indicator.dat,26
10,Demon Carcass Scavenger,6,5,bango-file,monster-quest-indicator.dat,27
10,Demon Carcass Scavenger,8,1,bango-file,monster-quest-indicator.dat,28
10,Demon Carcass Scavenger,9002,6,bango-file,monster-quest-indicator.dat,29
10,Demon Carcass Scavenger,8001,1,bango-file,monster-quest-indicator.dat,30
11,Demon Soldier,10,2,bango-file,monster-quest-indicator.dat,31
