pre_azon,pre_name,pre_rev,pre_grd,bango_level,bango_sell,bango_stats_json,bango_record_json,provenance,source_file,source_line
1,Forced,,,,5,"[[""str"",""1""]]","[""prefix"",[""index"",""1""],[""sell"",""5""],[""str"",""1""]]",bango-file,prefix.dat,1
2,Unlawful,,,,10,"[[""str"",""2""]]","[""prefix"",[""index"",""2""],[""sell"",""10""],[""str"",""2""]]",bango-file,prefix.dat,2
3,Harsh,,,,15,"[[""str"",""3""]]","[""prefix"",[""index"",""3""],[""sell"",""15""],[""str"",""3""]]",bango-file,prefix.dat,3
4,Strong Man's,,,,20,"[[""str"",""4""]]","[""prefix"",[""index"",""4""],[""sell"",""20""],[""str"",""4""]]",bango-file,prefix.dat,4
5,Strongest Man's,,,,25,"[[""str"",""5""]]","[""prefix"",[""index"",""5""],[""sell"",""25""],[""str"",""5""]]",bango-file,prefix.dat,5
6,Melee's,,,1,30,"[[""str"",""6""]]","[""prefix"",[""index"",""6""],[""level"",""1""],[""sell"",""30""],[""str"",""6""]]",bango-file,prefix.dat,6
7,Bloody Fight's,,,1,35,"[[""str"",""7""]]","[""prefix"",[""index"",""7""],[""level"",""1""],[""sell"",""35""],[""str"",""7""]]",bango-file,prefix.dat,7
8,Slaughterous ,,,1,40,"[[""str"",""8""]]","[""prefix"",[""index"",""8""],[""level"",""1""],[""sell"",""40""],[""str"",""8""]]",bango-file,prefix.dat,8
9,Barbaric,,,1,45,"[[""str"",""9""]]","[""prefix"",[""index"",""9""],[""level"",""1""],[""sell"",""45""],[""str"",""9""]]",bango-file,prefix.dat,9
10,Invincible,,,1,50,"[[""str"",""10""]]","[""prefix"",[""index"",""10""],[""level"",""1""],[""sell"",""50""],[""str"",""10""]]",bango-file,prefix.dat,10
11,Healthy,,,,5,"[[""Hth"",""1""]]","[""prefix"",[""index"",""11""],[""sell"",""5""],[""Hth"",""1""]]",bango-file,prefix.dat,11
