pre_azon,attribute_ordinal,attribute,values_json,provenance,source_file,source_line
1,1,str,"[""1""]",bango-file,prefix.dat,1
2,1,str,"[""2""]",bango-file,prefix.dat,2
3,1,str,"[""3""]",bango-file,prefix.dat,3
4,1,str,"[""4""]",bango-file,prefix.dat,4
5,1,str,"[""5""]",bango-file,prefix.dat,5
6,1,str,"[""6""]",bango-file,prefix.dat,6
7,1,str,"[""7""]",bango-file,prefix.dat,7
8,1,str,"[""8""]",bango-file,prefix.dat,8
9,1,str,"[""9""]",bango-file,prefix.dat,9
10,1,str,"[""10""]",bango-file,prefix.dat,10
11,1,Hth,"[""1""]",bango-file,prefix.dat,11
12,1,Hth,"[""2""]",bango-file,prefix.dat,12
13,1,Hth,"[""3""]",bango-file,prefix.dat,13
14,1,Hth,"[""4""]",bango-file,prefix.dat,14
15,1,Hth,"[""5""]",bango-file,prefix.dat,15
16,1,Hth,"[""6""]",bango-file,prefix.dat,16
17,1,Hth,"[""7""]",bango-file,prefix.dat,17
18,1,Hth,"[""8""]",bango-file,prefix.dat,18
19,1,Hth,"[""9""]",bango-file,prefix.dat,19
20,1,Hth,"[""10""]",bango-file,prefix.dat,20
21,1,Int,"[""1""]",bango-file,prefix.dat,21
22,1,Int,"[""2""]",bango-file,prefix.dat,22
23,1,Int,"[""3""]",bango-file,prefix.dat,23
24,1,Int,"[""4""]",bango-file,prefix.dat,24
25,1,Int,"[""5""]",bango-file,prefix.dat,25
26,1,Int,"[""6""]",bango-file,prefix.dat,26
27,1,Int,"[""7""]",bango-file,prefix.dat,27
28,1,Int,"[""8""]",bango-file,prefix.dat,28
29,1,Int,"[""9""]",bango-file,prefix.dat,29
30,1,Int,"[""10""]",bango-file,prefix.dat,30
31,1,Wis,"[""1""]",bango-file,prefix.dat,31
32,1,Wis,"[""2""]",bango-file,prefix.dat,32
33,1,Wis,"[""3""]",bango-file,prefix.dat,33
34,1,Wis,"[""4""]",bango-file,prefix.dat,34
35,1,Wis,"[""5""]",bango-file,prefix.dat,35
36,1,Wis,"[""6""]",bango-file,prefix.dat,36
37,1,Wis,"[""7""]",bango-file,prefix.dat,37
38,1,Wis,"[""8""]",bango-file,prefix.dat,38
