que_id,que_type,que_lvl,que_name,que_monst,que_item,que_text,que_rew,que_pic1,que_pic2,que_pic3,bango_experience,bango_contribution,bango_skill_points,bango_prerequisite,bango_steps_raw,provenance,source_file,source_line
1,,1,"Sailor, Gwang-Chun's Favor",,,"1. Show Gwang-Chun's letter to Nu-Rook. Nu-Rook will give you Gwang-Chun's goods.
2. Receive the goods from Nu-Rook and submit it to Gwang-Chun in Narootuh village.",,,,,0,0,0,,Show Gwang-Chun's letter to Nu-Rook. Nu-Rook will give you Gwang-Chun's goods.|132:1;Receive the goods from Nu-Rook and submit it to Gwang-Chun in Narootuh village.|142:1,bango-file,questlist.dat,3
2,,1,Message Collection,,,"1. Collect the secret message from lower class demons. Give it back to Chief guard, Sea-Geun and you'll get some reward.",Exp 50,,,,50,0,0,,"Collect the secret message from lower class demons. Give it back to Chief guard, Sea-Geun and you'll get some reward.|140:1",bango-file,questlist.dat,4
3,,1,Grasp the Situation of Demons,,,"1. Chief guard, Mak-Ahnsoo asked you to collect the information of attack. Find the map of demons and go to Mak-Ahnsoo.
2. The demon's target was Jook-Suh Cargo Station not Narootuh. People who doesn't know this situation will be in danger. The chief guard, Mak-Ahnsoo give the information of demons' attack to the general, Sae-won. Go and see the general, Sae-won.
3. general, Sae-won found out the enemies' location but he doesn't have enough force. The general, Sae-won finished writing letter for help to the chief guard, Mak-Ahnsoo so go to see the chief guard, Mak-Ahnsoo.",Contribution 1,,,,0,1,0,,"Chief guard, Mak-Ahnsoo asked you to collect the information of attack. Find the map of demons and go to Mak-Ahnsoo.|146:1;The demon's target was Jook-Suh Cargo Station not Narootuh. People who doesn't know this situation will be in danger. The chief guard, Mak-Ahnsoo give the information of demons' attack to the general, Sae-won. Go and see the general, Sae-won.|133:1;general, Sae-won found out the enemies' location but he doesn't have enough force. The general, Sae-won finished writing letter for help to the chief guard, Mak-Ahnsoo so go to see the chief guard, Mak-Ahnsoo.|134:1",bango-file,questlist.dat,5
54,,1,Eliminating The Demon Vulgar,,,1. Get a Demon Vulgar's head and give it to the guard.,,,,,0,0,0,,Get a Demon Vulgar's head and give it to the guard.|396:1,bango-file,questlist.dat,6
55,,1,Eliminating The Demon Scout,,,1. Get a Demon Scout's head and give it to the guard.,,,,,0,0,0,,Get a Demon Scout's head and give it to the guard.|397:1,bango-file,questlist.dat,7
56,,1,Eliminating The Demon Spear,,,1. Get a Demon Spear's head and give it to the guard.,,,,,0,0,0,,Get a Demon Spear's head and give it to the guard.|398:1,bango-file,questlist.dat,8
9001,,1,[Event] Beginning of Long Journey,,,"1. Go to Chun-Sooin and say thank you. He's your life saver.
2. Chun-Sooin asks you for taking a stirrup back from the demons. The stirrup is taken by the low level of demons(Demon Plunderer). Find the stirrup for helping Chun-Sooin.",Exp 100,,,,100,0,0,,Go to Chun-Sooin and say thank you. He's your life saver.|;Chun-Sooin asks you for taking a stirrup back from the demons. The stirrup is taken by the low level of demons(Demon Plunderer). Find the stirrup for helping Chun-Sooin.|169:1,bango-file,questlist.dat,9
9002,,1,[Event] Appointment of General In-Pill,,,"1. The strategist of general, In-Pill, Sae-Ryu is now accepting the application for being a soldier. Meet Sae-Ryu for the application.
2. Sae-Ryu wants to test your ability. And he asked you to collect 30 Demon Escort's Heads.
3. Sae-Ryu admitted your ability and gave you a recommendation for the general, In-Pill. Meet the general, In-Pill in Jook-Suh Cargo Station.
4. The general, In-Pill hired you and gave you a mission. The mission is to eliminate all the Big Handed Inhabitants located between Geum-Oh Mine and Narootuh. And get its Head as evidence. This is your first mission from the general and you must complete it successfully.
5. The general, In-Pill is proud of your achievement and he gave you the second mission. Get your second mission from Sae-Ryu.
6. Sae-Ryu wants you to take a scabbard back. It's In-Pill占쏙옙s Scabbard and it's lost from the battle. It must be kept by the Demon Carcass Scavenger. Get the scabbard and give it back to the general, In-Pill.",Exp 1200,,,,1200,0,0,9001,"The strategist of general, In-Pill, Sae-Ryu is now accepting the application for being a soldier. Meet Sae-Ryu for the application.|;Sae-Ryu wants to test your ability. And he asked you to collect 30 Demon Escort's Heads.|170:30;Sae-Ryu admitted your ability and gave you a recommendation for the general, In-Pill. Meet the general, In-Pill in Jook-Suh Cargo Station.|;The general, In-Pill hired you and gave you a mission. The mission is to eliminate all the Big Handed Inhabitants located between Geum-Oh Mine and Narootuh. And get its Head as evidence. This is your first mission from the general and you must complete it successfully.|171:1;The general, In-Pill is proud of your achievement and he gave you the second mission. Get your second mission from Sae-Ryu.|;Sae-Ryu wants you to take a scabbard back. It's In-Pill占쏙옙s Scabbard and it's lost from the battle. It must be kept by the Demon Carcass Scavenger. Get the scabbard and give it back to the general, In-Pill.|172:1",bango-file,questlist.dat,10
9003,,1,[Event] Favor of the Governor of Geum-Ohee Castle,,,"1. The Big Handed Blue Warriors are blocking the southern entrance of the Geum-Oh Mine. Eliminate the Big Handed Blue Warriors and bring their heads to HyungJoo-SeungGong in Guem-Oh Mine. He will be happy if you give 40 heads to HyungJoo-SeungGong.
2. HyungJoo-SeungGong want you to get stronger for fighting with the demons. Please go back to HyungJoo-SeungGong if your level comes to 30. HyungJoo-SeungGong will tell you what you can do.",Exp 1000,,,,1000,0,0,9002,The Big Handed Blue Warriors are blocking the southern entrance of the Geum-Oh Mine. Eliminate the Big Handed Blue Warriors and bring their heads to HyungJoo-SeungGong in Guem-Oh Mine. He will be happy if you give 40 heads to HyungJoo-SeungGong.|173:40;HyungJoo-SeungGong want you to get stronger for fighting with the demons. Please go back to HyungJoo-SeungGong if your level comes to 30. HyungJoo-SeungGong will tell you what you can do.|,bango-file,questlist.dat,11
57,,5,Fish Trap Installation,,,"1. Buy a fish trap from the merchant and ask the Fish Grounds Keeper to install your fish trap. If you get a Goby, bring it to the guard.",,,,,0,0,0,,"Buy a fish trap from the merchant and ask the Fish Grounds Keeper to install your fish trap. If you get a Goby, bring it to the guard.|237:1",bango-file,questlist.dat,12
