que_id,step_index,item_ordinal,item_id,item_name,count,provenance,source_file,source_line
1,1,1,132,Gwang-Chun's Letter,1,bango-file,questlist.dat,3
1,2,1,142,MyungJoo,1,bango-file,questlist.dat,3
2,1,1,140,Shee-Geun's Message,1,bango-file,questlist.dat,4
3,1,1,146,Demon's Strategic Map,1,bango-file,questlist.dat,5
3,2,1,133,Mak-AnSoo's Letter,1,bango-file,questlist.dat,5
3,3,1,134,Sae-Won General's Letter,1,bango-file,questlist.dat,5
54,1,1,396,Demon Vulgar's Head,1,bango-file,questlist.dat,6
55,1,1,397,Demon Scout's Head,1,bango-file,questlist.dat,7
56,1,1,398,Demon Spearhead's Head,1,bango-file,questlist.dat,8
9001,2,1,169,Chun-SooIn's Stirrup,1,bango-file,questlist.dat,9
9002,2,1,170,Escort Soldier's Head,30,bango-file,questlist.dat,10
9002,4,1,171,Big Handed Inhabitant's Head,1,bango-file,questlist.dat,10
9002,6,1,172,In-Pill's Scabbard,1,bango-file,questlist.dat,10
9003,1,1,173,Big Handed Warrior's Head,40,bango-file,questlist.dat,11
57,1,1,237,Goby,1,bango-file,questlist.dat,12
4,2,1,147,Demon's Bow,10,bango-file,questlist.dat,13
5,1,1,135,Nou-Woong's Letter,1,bango-file,questlist.dat,14
5,2,1,148,Suicide Bomber's Oil,10,bango-file,questlist.dat,14
5,3,1,143,Nou-Woong's Money,1,bango-file,questlist.dat,14
6,4,1,149,Big Handed Inhabitant's Tooth,15,bango-file,questlist.dat,15
6,5,1,151,Straw Rice Bag,2,bango-file,questlist.dat,15
7,1,1,136,Won-Jung's Letter,1,bango-file,questlist.dat,16
7,2,1,153,White Peony,10,bango-file,questlist.dat,16
7,2,2,154,Milk Vetch,10,bango-file,questlist.dat,16
7,3,1,137,Yae-Jin's Letter,1,bango-file,questlist.dat,16
7,3,2,144,SipJunDaeBoTang,1,bango-file,questlist.dat,16
8,1,1,152,Demon's Carcass,25,bango-file,questlist.dat,17
9,2,1,153,White Peony,12,bango-file,questlist.dat,18
9,2,2,154,Milk Vetch,12,bango-file,questlist.dat,18
9,3,1,144,SipJunDaeBoTang,1,bango-file,questlist.dat,18
10,2,1,150,Demon Soldier's Teeth,20,bango-file,questlist.dat,19
10,3,1,145,Rice Wine,1,bango-file,questlist.dat,19
11,2,1,155,Rice Cake,25,bango-file,questlist.dat,20
11,3,1,155,Rice Cake,25,bango-file,questlist.dat,20
37,1,1,336,Keg of Talisman from Chang,1,bango-file,questlist.dat,21
12,1,1,156,Wa-Ryu's Talisman,1,bango-file,questlist.dat,22
13,2,1,157,Joo-Nong's Gold,30,bango-file,questlist.dat,23
14,1,1,159,Piece of Bamboo Pole,30,bango-file,questlist.dat,24
14,2,1,138,Yoo-An's Letter,1,bango-file,questlist.dat,24
14,4,1,138,Yoo-An's Letter,1,bango-file,questlist.dat,24
14,4,2,139,Father's Letter,1,bango-file,questlist.dat,24
15,2,1,160,Statue,30,bango-file,questlist.dat,25
16,1,1,158,Ja-Gan's Gold,30,bango-file,questlist.dat,26
16,2,1,158,Ja-Gan's Gold,30,bango-file,questlist.dat,26
17,1,1,161,Red Flag,35,bango-file,questlist.dat,27
18,1,1,162,Demon Water Dragon's Head,35,bango-file,questlist.dat,28
19,1,1,165,Demon's Drum,40,bango-file,questlist.dat,29
20,1,1,166,Demon's Armor,40,bango-file,questlist.dat,30
21,1,1,167,Bloodstained Clothes,40,bango-file,questlist.dat,31
22,1,1,164,Demon Water Dragon's Skin,40,bango-file,questlist.dat,32
23,1,1,163,Demon Mad Knight's Head,40,bango-file,questlist.dat,33
9004,2,1,181,Demon Commander's Head,1,bango-file,questlist.dat,35
9005,3,1,226,Sealed Talisman with Spirits,100,bango-file,questlist.dat,36
9006,1,1,234,Petition of A Farmer,1,bango-file,questlist.dat,37
9006,1,2,235,Petition of A Smith,1,bango-file,questlist.dat,37
