source_file,record_ordinal,source_line,record_type,record_json,source_kind,provenance
event.dat,1,2,camera,"[""camera"",[""key"",""1""],[""total"",""8""],[""loop"",""7""],[""target"",""2"",""-5154.16"",""2046.51"",""-2848.26"",""199.57"",""48.12""],[""target"",""4"",""-5022.83"",""1866.42"",""-3085.79"",""245.98"",""40.10""],[""target"",""4"",""-5122.71"",""1714.83"",""-3279.70"",""296.97"",""25.78""],[""target"",""4"",""-5268.19"",""1620.20"",""-3274.12"",""350.83"",""-7.44""],[""target"",""3"",""-5281.13"",""1621.54"",""-3229.29"",""362.29"",""-16.61""],[""target"",""3"",""-5278.67"",""1626.14"",""-3217.51"",""355.41"",""-18.33""],[""target"",""2"",""-5275.75"",""1626.67"",""-3223.07"",""349.11"",""-9.16""],[""target"",""5"",""-5275.75"",""1626.67"",""-3223.07"",""349.11"",""-9.16""]]",decoded-bytes-complete,bango-file
event.dat,2,15,camera,"[""camera"",[""key"",""2""],[""total"",""3""],[""loop"",""1""],[""target"",""1"",""-4893.90"",""1625.83"",""-4107.06"",""5.91"",""-52.13""],[""target"",""4"",""-4893.12"",""1625.72"",""-4107.76"",""0"",""-49.84""],[""target"",""4"",""-4893.90"",""1625.83"",""-4107.06"",""5.91"",""-52.13""]]",decoded-bytes-complete,bango-file
event.dat,3,23,camera,"[""camera"",[""key"",""3""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""-5280.49"",""1624.02"",""-3233.54"",""-4.02"",""-10.88""],[""target"",""4"",""-5280.49"",""1624.02"",""-3233.54"",""-4.02"",""-10.88""]]",decoded-bytes-complete,bango-file
event.dat,4,30,camera,"[""camera"",[""key"",""4""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""-5309.87"",""1632.78"",""-3165.53"",""20.05"",""-12.03""],[""target"",""5"",""-5309.87"",""1632.78"",""-3165.53"",""20.05"",""-12.03""]]",decoded-bytes-complete,bango-file
event.dat,5,37,camera,"[""camera"",[""key"",""5""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""-5684.34"",""1639.36"",""-5038.22"",""139.80"",""1.14""],[""target"",""5"",""-5684.34"",""1639.36"",""-5038.22"",""139.80"",""1.14""]]",decoded-bytes-complete,bango-file
event.dat,6,44,camera,"[""camera"",[""key"",""6""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""-5667.97"",""1649.16"",""-5142.26"",""9.74"",""10.88""],[""target"",""5"",""-5667.97"",""1649.16"",""-5142.26"",""9.74"",""10.88""]]",decoded-bytes-complete,bango-file
event.dat,7,51,camera,"[""camera"",[""key"",""7""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""3495.82"",""1637.29"",""-248.62"",""322.97"",""-3.05""],[""target"",""5"",""3495.82"",""1637.29"",""-248.62"",""322.97"",""-3.05""]]",decoded-bytes-complete,bango-file
event.dat,8,58,camera,"[""camera"",[""key"",""8""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""3402.95"",""1644.29"",""-152.17"",""68.40"",""-16.23""],[""target"",""5"",""3402.95"",""1644.29"",""-152.17"",""68.40"",""-16.23""]]",decoded-bytes-complete,bango-file
event.dat,9,65,camera,"[""camera"",[""key"",""9""],[""total"",""2""],[""loop"",""1""],[""target"",""1"",""3458.62"",""1657.88"",""-99.80"",""216.97"",""6.68""],[""target"",""5"",""3458.62"",""1657.88"",""-99.80"",""216.97"",""6.68""]]",decoded-bytes-complete,bango-file
event.dat,10,72,camera,"[""camera"",[""key"",""10""],[""total"",""11""],[""loop"",""10""],[""target"",""1"",""3933.20"",""2356.70"",""22630.08"",""314.53"",""2.67""],[""target"",""2"",""3546.65"",""2331.35"",""23010.42"",""314.53"",""2.67""],[""target"",""1.2"",""3382.78"",""2520.24"",""23171.66"",""314.53"",""15.42""],[""target"",""1"",""3257.39"",""2701.00"",""23295.05"",""314.53"",""33.61""],[""target"",""1"",""3097.99"",""2741.13"",""23451.90"",""314.53"",""48.51""],[""target"",""1"",""3108.99"",""2544.75"",""23441.07"",""314.53"",""31.89""],[""target"",""1"",""3051.30"",""2405.71"",""23497.84"",""314.53"",""19.86""],[""target"",""1.5"",""2928.58"",""2307.74"",""23618.60"",""314.53"",""8.40""],[""target"",""0.5"",""2880.41"",""2286.66"",""23665.99"",""314.53"",""2.10""],[""target"",""0.5"",""2854.32"",""2301.98"",""23693.40"",""313.39"",""16.99""],[""target"",""4"",""2854.32"",""2301.98"",""23693.40"",""313.39"",""16.99""]]",decoded-bytes-complete,bango-file
