status,monster_name,item_name,normalized_monster,normalized_item
legacy-only-name-pair,1stcommanderoftheroyaltomb,ablazehealthy,1stcommanderoftheroyaltomb,ablazehealthy
legacy-only-name-pair,1stcommanderoftheroyaltomb,absolutekeen,1stcommanderoftheroyaltomb,absolutekeen
legacy-only-name-pair,1stcommanderoftheroyaltomb,breakthroughsstrongestmans,1stcommanderoftheroyaltomb,breakthroughsstrongestmans
legacy-only-name-pair,1stcommanderoftheroyaltomb,dashyagile,1stcommanderoftheroyaltomb,dashyagile
legacy-only-name-pair,1stcommanderoftheroyaltomb,decisionaldashy,1stcommanderoftheroyaltomb,decisionaldashy
legacy-only-name-pair,1stcommanderoftheroyaltomb,despoticforced,1stcommanderoftheroyaltomb,despoticforced
matched-name-pair,1st Commander of The Royal Tomb,Diamond Armor,1stcommanderoftheroyaltomb,diamondarmor
legacy-only-name-pair,1stcommanderoftheroyaltomb,diamondboots,1stcommanderoftheroyaltomb,diamondboots
matched-name-pair,1st Commander of The Royal Tomb,Diamond Gloves,1stcommanderoftheroyaltomb,diamondgloves
bango-only-name-pair,1st Commander of The Royal Tomb,Diamond Helmet,1stcommanderoftheroyaltomb,diamondhelmet
legacy-only-name-pair,1stcommanderoftheroyaltomb,diamondheroic,1stcommanderoftheroyaltomb,diamondheroic
legacy-only-name-pair,1stcommanderoftheroyaltomb,diamondhood,1stcommanderoftheroyaltomb,diamondhood
bango-only-name-pair,1st Commander of The Royal Tomb,Diamond Shoes,1stcommanderoftheroyaltomb,diamondshoes
matched-name-pair,1st Commander of The Royal Tomb,Diamond Shorts,1stcommanderoftheroyaltomb,diamondshorts
legacy-only-name-pair,1stcommanderoftheroyaltomb,dignifiedfixed,1stcommanderoftheroyaltomb,dignifiedfixed
legacy-only-name-pair,1stcommanderoftheroyaltomb,distinctmerciful,1stcommanderoftheroyaltomb,distinctmerciful
legacy-only-name-pair,1stcommanderoftheroyaltomb,explosivedestructive,1stcommanderoftheroyaltomb,explosivedestructive
legacy-only-name-pair,1stcommanderoftheroyaltomb,flexibleagile,1stcommanderoftheroyaltomb,flexibleagile
legacy-only-name-pair,1stcommanderoftheroyaltomb,geons,1stcommanderoftheroyaltomb,geons
legacy-only-name-pair,1stcommanderoftheroyaltomb,glidinginstant,1stcommanderoftheroyaltomb,glidinginstant
legacy-only-name-pair,1stcommanderoftheroyaltomb,gloriousfixed,1stcommanderoftheroyaltomb,gloriousfixed
