normalized_name,status,legacy_ids,bango_ids,legacy_names,bango_names,legacy_grades,bango_grades,grade_equal,legacy_levels,bango_levels,level_equal,legacy_buy_prices,bango_buy_prices,price_equal
100cashticketexchangeableforsilvercash,bango-only-name,,1608,,100 Cash Ticket (Exchangeable for Silver Cash),,,,,,,,0,
10cashticketexchangeableforsilvercash,bango-only-name,,1605,,10 Cash Ticket (Exchangeable for Silver Cash),,,,,,,,0,
30cashticketexchangeableforsilvercash,bango-only-name,,1606,,30 Cash Ticket (Exchangeable for Silver Cash),,,,,,,,0,
3cashticketexchangeableforsilvercash,bango-only-name,,1603,,3 Cash Ticket (Exchangeable for Silver Cash),,,,,,,,0,
50cashticketexchangeableforsilvercash,bango-only-name,,1607,,50 Cash Ticket (Exchangeable for Silver Cash),,,,,,,,0,
5cashticketexchangeableforsilvercash,bango-only-name,,1604,,5 Cash Ticket (Exchangeable for Silver Cash),,,,,,,,0,
a,bango-only-name,,943|1096,,[ A ],,,,,,,,0,
ablazehealthy,legacy-only-name,354,,"""Ablaze"" / ""Healthy""",,,,,0,,,,,
absolutekeen,legacy-only-name,338,,"""Absolute"" / ""Keen""",,,,,0,,,,,
ambitiousnecklace,bango-only-name,,2448,,Ambitious Necklace,,G75,,,,,,0,
anchovy,bango-only-name,,1273|1276|1279|1282,,Anchovy,,,,,,,,0,
ancientbird,bango-only-name,,338,,Ancient Bird,,,,,,,,0,
ancientdagger,matched-name,596,1426,Ancient Dagger,Ancient dagger,G56,G56,True,56,56,True,,0,False
ancientdrum,bango-only-name,,183,,Ancient Drum,,,,,,,,0,
ancientdynastyoftribalmacsbow,matched-name,242,568|711|822|1238,Ancient Dynasty of Tribal Macs Bow,Ancient Dynasty of Tribal Mac's Bow,G56,G56,True,56,56,True,0,0,True
ancientdynastysdagger,matched-name,598,1428,Ancient Dynastys Dagger,Ancient Dynasty's dagger,G56,G56,True,56,56,True,,0,False
ancientdynastysgiantsword,matched-name,209,565|708|819|1235,Ancient Dynastys Giant Sword,Ancient Dynasty's Giant Sword|Ancient Dynasty's Giant sword,G56,G56,True,56,56,True,0,0,True
ancientdynastysstick,matched-name,272,571|714|825|1241,Ancient Dynastys Stick,Ancient Dynasty's Stick,G56,G56,True,56,56,True,0,0,True
ancientdynastystreasuresword,matched-name,206,562|705|816|1232,Ancient Dynastys Treasure Sword,Ancient Dynasty's Treasure Sword,G56,G56,True,56,56,True,0,0,True
ancientgiantsword,matched-name,207,563|706|817|1233,Ancient Giant Sword,Ancient Giant Sword|Ancient Giant sword,G56,G56,True,56,56,True,0,0,True
ancientpanther,bango-only-name,,339,,Ancient Panther,,,,,,,,0,
ancientstick,matched-name,270,569|712|823|1239,Ancient Stick,Ancient Stick,G56,G56,True,56,56,True,0,0,True
ancienttiger,bango-only-name,,337,,Ancient Tiger,,,,,,,,0,
ancienttreasuresword,matched-name,204,560|703|814|1230,Ancient Treasure Sword,Ancient Treasure Sword,G56,G56,True,56,56,True,0,0,True
ancienttribalmacsbow,matched-name,240,566|709|820|1236,Ancient Tribal Macs Bow,Ancient Tribal Mac's Bow,G56,G56,True,56,56,True,0,0,True
angola,bango-only-name,,923,,Angola,,,,,,,,0,
apprenticearcherstrinket,matched-name,391,203,Apprentice Archers Trinket,Apprentice Archer's Trinket,G0,,False,0,,False,,0,False
apprenticeknightstrinket,bango-only-name,,202,,Apprentice Knight's Trinket,,,,,,,,0,
apprenticeknighttrinket,legacy-only-name,392,,Apprentice Knight Trinket,,G0,,,0,,,,,
apprenticescholarstrinket,legacy-only-name,393,,Apprentice Scholars Trinket,,G0,,,0,,,,,
apprenticethiefstrinket,bango-only-name,,1595,,Apprentice thief's Trinket,,,,,,,,0,
apprenticethieftrinket,legacy-only-name,612,,Apprentice Thief Trinket,,G0,,,0,,,,,
argentina,bango-only-name,,917,,Argentina,,,,,,,,0,
armorofdarkness,matched-name,497|498|503|504|509|510,678,Armor of Darkness,Armor of Darkness,G90,G60,False,90,60,False,0,0,True
armorofdoggebi,matched-name,127|128,626|735|846|1204|1509,Armor of Doggebi,Armor of Doggebi,G55,G55,True,51|55,55,False,0,0,True
artilleryflag,bango-only-name,,879|887,,Artillery Flag,,,,,,,,0|1,
artisansfixingtool,bango-only-name,,992,,Artisan's Fixing Tool,,,,,,,,12000,
auctioncertificate1day,bango-only-name,,1827,,Auction Certificate(1 day),,,,,,,,0,
auctioncertificate3day,bango-only-name,,1828,,Auction Certificate(3 day),,,,,,,,0,
auctioncertificate7day,bango-only-name,,1829,,Auction Certificate(7 day),,,,,,,,0,
australia,bango-only-name,,931,,Australia,,,,,,,,0,
automaticfirstjobquestcompletion,bango-only-name,,2638,,Automatic First Job Quest Completion,,,,,,,,0,
automaticsecondjobquestcompletion1,bango-only-name,,2639,,Automatic Second Job Quest Completion (1),,,,,,,,0,
automaticsecondjobquestcompletion2,bango-only-name,,2640,,Automatic Second Job Quest Completion (2),,,,,,,,0,
automaticthirdjobquestcompletion,bango-only-name,,2641,,Automatic Third Job Quest Completion,,,,,,,,0,
autopick15days,bango-only-name,,2611,,Auto Pick - 15 days,,,,,,,,0,
axepumpkinhead,bango-only-name,,996|1011,,Axe Pumpkin Head,,G01,,,1,,,30000,
b,bango-only-name,,944,,[ B ],,,,,,,,0,
babybackribs,bango-only-name,,2171,,Baby Back Ribs,,,,,,,,0,
baekdaesteelbow,matched-name,229,109,Baek Dae Steel Bow,Baek Dae Steel Bow,G45,G45,True,40,40,True,0,0,True
bakedcarpwithsilverscalesofgeumohvalley,bango-only-name,,1628,,Baked Carp with silver scales of Geum-Oh Valley,,G72,,,72,,,243,
bakedeel,bango-only-name,,271,,Baked Eel,,,,,,,,0,
bakedmackerelinsoysauce,bango-only-name,,266,,Baked Mackerel in Soy Sauce,,,,,,,,0,
bakedmackerelwithspicysauce,bango-only-name,,267,,Baked Mackerel with Spicy Sauce,,,,,,,,0,
balcksesamefood,bango-only-name,,878,,balck sesame food,,,,,,,,0,
bamboo,bango-only-name,,1283,,Bamboo,,,,,,,,0,
bambookeg,bango-only-name,,445,,Bamboo Keg,,,,,,,,98,
bamboostick,matched-name,246,90,Bamboo Stick,Bamboo Stick,G01,G01,True,1,1,True,4,4,True
