pre_azon,status,legacy_name,bango_name,name_equal_normalized,legacy_pre_rev,bango_stats_json
1,matched-id,Forced,Forced,True,1,"[[""str"",""1""]]"
2,matched-id,Unlawful,Unlawful,True,2,"[[""str"",""2""]]"
3,matched-id,Harsh,Harsh,True,3,"[[""str"",""3""]]"
4,matched-id,Strong mans,Strong Man's,True,4,"[[""str"",""4""]]"
5,matched-id,Strongest mans,Strongest Man's,True,5,"[[""str"",""5""]]"
6,matched-id,Melees,Melee's,True,6,"[[""str"",""6""]]"
7,matched-id,Bloody fights,Bloody Fight's,True,7,"[[""str"",""7""]]"
8,matched-id,Slaughterous,Slaughterous ,True,8,"[[""str"",""8""]]"
9,matched-id,Barbaric,Barbaric,True,9,"[[""str"",""9""]]"
10,matched-id,Invincible,Invincible,True,10,"[[""str"",""10""]]"
11,matched-id,Healthy,Healthy,True,|1,"[[""Hth"",""1""]]"
12,matched-id,Vigorous,Vigorous   ,True,|2,"[[""Hth"",""2""]]"
13,matched-id,Heroic,Heroic,True,|3,"[[""Hth"",""3""]]"
14,matched-id,Vital,Vital,True,|4,"[[""Hth"",""4""]]"
15,matched-id,Ablaze,Ablaze,True,|5,"[[""Hth"",""5""]]"
16,matched-id,Iron legs,Iron legs'',True,|6,"[[""Hth"",""6""]]"
17,matched-id,Steels,Steel's,True,|7,"[[""Hth"",""7""]]"
18,matched-id,Limitable,limitable,True,|8,"[[""Hth"",""8""]]"
19,matched-id,Infinitely,Infinitely,True,|9,"[[""Hth"",""9""]]"
20,matched-id,Diamond,Diamond,True,|10,"[[""Hth"",""10""]]"
21,matched-id,Fictional,Fictional,True,||1,"[[""Int"",""1""]]"
22,matched-id,Sharp,Sharp,True,||2,"[[""Int"",""2""]]"
23,matched-id,Keen,Keen,True,||3,"[[""Int"",""3""]]"
24,matched-id,Ordinary,Ordinary,True,||4,"[[""Int"",""4""]]"
25,matched-id,Wise,Wise,True,||5,"[[""Int"",""5""]]"
26,matched-id,Mystic,Mystic,True,||6,"[[""Int"",""6""]]"
27,matched-id,Worshipful,Worshipful,True,||7,"[[""Int"",""7""]]"
28,matched-id,Sublime,Sublime,True,||8,"[[""Int"",""8""]]"
29,matched-id,Pure,Pure,True,||9,"[[""Int"",""9""]]"
30,matched-id,Absolute,Absolute,True,||10,"[[""Int"",""10""]]"
31,matched-id,Fixed,Fixed,True,|||1,"[[""Wis"",""1""]]"
32,matched-id,Confirmatory,Confirmatory,True,|||2,"[[""Wis"",""2""]]"
33,matched-id,Celebrated,Celebrated,True,|||3,"[[""Wis"",""3""]]"
34,matched-id,Dignified,Dignified,True,|||4,"[[""Wis"",""4""]]"
35,matched-id,Merciful,Merciful,True,|||5,"[[""Wis"",""5""]]"
36,matched-id,Predictive,Predictive,True,|||6,"[[""Wis"",""6""]]"
37,matched-id,Foreseeable,Foreseeable,True,|||7,"[[""Wis"",""7""]]"
38,matched-id,Noble,War Leader's,False,|||8,"[[""Wis"",""8""]]"
39,matched-id,Reverent,Reverent,True,|||9,"[[""Wis"",""9""]]"
40,matched-id,Paradoxic,Paradoxical,False,|||10,"[[""Wis"",""10""]]"
41,matched-id,Agile,Agile,True,||||1,"[[""Dex"",""1""]]"
42,matched-id,Reflective,Reflective,True,||||2,"[[""Dex"",""2""]]"
43,matched-id,Instant,Instant,True,||||3,"[[""Dex"",""3""]]"
44,matched-id,Flexible,Flexible,True,||||4,"[[""Dex"",""4""]]"
45,matched-id,Dashy,Dashy,True,||||5,"[[""Dex"",""5""]]"
46,matched-id,Rush,Rush,True,||||6,"[[""Dex"",""6""]]"
47,matched-id,Fierce,Fierce,True,||||7,"[[""Dex"",""7""]]"
48,matched-id,Flashy,Flashy,True,||||8,"[[""Dex"",""8""]]"
49,matched-id,Unlimited,Unlimited,True,||||9,"[[""Dex"",""9""]]"
50,matched-id,Gliding,Gliding,True,||||10,"[[""Dex"",""10""]]"
51,matched-id,Heavy blows,Heavy Blow's,True,||||||||4,"[[""attack"",""0"",""4""]]"
52,matched-id,Powerful,The Powerful,False,|||||||2|2,"[[""attack"",""2"",""2""]]"
53,matched-id,Explosive,Explosive,True,||||||||6,"[[""attack"",""0"",""6""]]"
54,matched-id,Fierc,Fierce,False,|||||||3|3,"[[""attack"",""3"",""3""]]"
55,matched-id,Exterminable,Exterminated,False,||||||||8,"[[""attack"",""0"",""8""]]"
56,matched-id,Feathery,Feathery,True,|2|||1,"[[""Hth"",""2""],[""Dex"",""1""]]"
57,matched-id,Mans,Man's,True,1|2,"[[""str"",""1""],[""Hth"",""2""]]"
58,matched-id,Extreme,Extreme,True,||||||||12,"[[""attack"",""0"",""12""]]"
59,matched-id,Destructive,Destructive,True,||||||||14,"[[""attack"",""0"",""14""]]"
60,matched-id,Fundamental,Fundamental,True,||||||||||4,"[[""magic"",""0"",""4""]]"
61,matched-id,Powerfull,Powerful,False,|||||||||2|2,"[[""magic"",""2"",""2""]]"
62,matched-id,Mighty,Mighty,True,||||||||||6,"[[""magic"",""0"",""6""]]"
63,matched-id,Considerable,Considerable,True,|||||||||3|3,"[[""magic"",""3"",""3""]]"
64,matched-id,Cruel,Cruel,True,||||||||||8,"[[""magic"",""0"",""8""]]"
65,matched-id,Wisdoms,Wisdom's,True,|2|1,"[[""Hth"",""2""],[""Int"",""1""]]"
66,matched-id,High class,High Class',True,||||||||||12,"[[""magic"",""0"",""12""]]"
67,matched-id,Absoluteness,Absoluteness',True,||||||||||14,"[[""magic"",""0"",""14""]]"
68,matched-id,Wandering Knights,Wandering Knight's,True,1|1|||1||||1,"[[""str"",""1""],[""Hth"",""1""],[""Dex"",""1""],[""attack"",""0"",""1""]]"
69,matched-id,Skillful Knights,Veteran Knight's,False,2|2|||1|||1|2,"[[""str"",""2""],[""Hth"",""2""],[""Dex"",""1""],[""attack"",""1"",""2""]]"
70,matched-id,Veteran  Knights,Strong Knight's,False,3|2|||2|50||2|3,"[[""str"",""3""],[""Hth"",""2""],[""Dex"",""2""],[""attack"",""2"",""3""],[""hp"",""50""]]"
71,matched-id,Expert Knights,Expert Knight's,True,4|3|||3|75|25|2|5,"[[""str"",""4""],[""Hth"",""3""],[""Dex"",""3""],[""attack"",""2"",""5""],[""hp"",""75""],[""mp"",""25""]]"
72,matched-id,Wandering Archers,Wandering Archer's,True,1|1|||1||||1,"[[""str"",""1""],[""Wis"",""1""],[""Dex"",""1""],[""attack"",""0"",""1""]]"
73,matched-id,Skillful Archers,Veteran Archer's,False,2|1|||2|||1|2,"[[""str"",""2""],[""Hth"",""1""],[""Dex"",""2""],[""attack"",""1"",""2""]]"
74,matched-id,Veteran  Archers,Skillful Archer's ,False,2|2|||3|50||2|3,"[[""str"",""2""],[""Hth"",""2""],[""Dex"",""3""],[""attack"",""2"",""3""],[""hp"",""50""]]"
75,matched-id,Expert Archers,Expert Archer's,True,3|3|||4|75|25|2|5,"[[""str"",""3""],[""Hth"",""3""],[""Dex"",""4""],[""attack"",""2"",""5""],[""hp"",""75""],[""mp"",""25""]]"
76,matched-id,Beginning Scholars,Beginning Scholar's,True,||1|1|||||||1,"[[""Int"",""1""],[""Wis"",""1""],[""Dex"",""1""],[""magic"",""0"",""1""]]"
77,matched-id,Skillful Scholars,Veteran Scholar's,False,||1|2|1|||||1|2,"[[""Int"",""2""],[""Wis"",""2""],[""Dex"",""1""],[""magic"",""1"",""2""]]"
78,matched-id,Veteran Scholars,Skillful Scholar's,False,||3|2|2|50||||2|3,"[[""Int"",""3""],[""Wis"",""2""],[""Dex"",""2""],[""magic"",""2"",""3""],[""mp"",""50""]]"
79,matched-id,Expert Scholars,Expert Scholar's,True,||4|3|3|50|50|||2|5,"[[""Int"",""4""],[""Wis"",""3""],[""Dex"",""3""],[""magic"",""2"",""5""],[""hp"",""50""],[""mp"",""50""]]"
80,matched-id,Distinct,Distinct,True,|2|3|5|2|90|110|||||||2,"[[""Hth"",""2""],[""Int"",""3""],[""Wis"",""5""],[""Dex"",""2""],[""hp"",""90""],[""mp"",""110""],[""defense"",""2""]]"
81,matched-id,Steely,Steely,True,2|5||2|3|150||||||||5,"[[""str"",""2""],[""Hth"",""5""],[""Wis"",""2""],[""Dex"",""3""],[""hp"",""150""],[""defense"",""5""]]"
82,matched-id,Breakthroughs,Breakthrough's,True,5|2||2|3|100|100|||||1,"[[""str"",""5""],[""Hth"",""2""],[""Wis"",""2""],[""Dex"",""3""],[""hp"",""100""],[""mp"",""100""],[""hit"",""1""]]"
83,matched-id,Despotic,Despotic,True,2|1||||||||||1,"[[""str"",""2""],[""Hth"",""1""],[""hit"",""1""]]"
84,matched-id,Revenges,Revenge's,True,|||1|2|||||||1,"[[""Wis"",""1""],[""Dex"",""2""],[""hit"",""1""]]"
85,matched-id,Prideful,Prideful,True,|2|||1|60||||||||1,"[[""Hth"",""2""],[""Dex"",""1""],[""hp"",""60""],[""defense"",""1""]]"
86,matched-id,Ruinous,Ruinous,True,|1|2||||30|||||||2,"[[""Hth"",""1""],[""Int"",""2""],[""mp"",""30""],[""defense"",""2""]]"
87,matched-id,Glorious,Glorious,True,|||2|1||30|||||||2,"[[""Wis"",""2""],[""Dex"",""1""],[""mp"",""30""],[""defense"",""2""]]"
88,matched-id,Decisional,Decisional,True,3|2||2|5|120|80|||||||2,"[[""str"",""3""],[""Hth"",""2""],[""Wis"",""2""],[""Dex"",""5""],[""hp"",""120""],[""mp"",""80""],[""defense"",""2""]]"
