normalized_name,status,legacy_keys,bango_ids,legacy_names,bango_names,legacy_levels,bango_levels
afavorofthedoggebiwhowantstobeafriendwithhumans,bango-only-name,,44,,A Favor of the Doggebi Who Wants To Be a Friend with Humans,,45
ancientsanimals,legacy-only-name,Event:00,,Ancients Animals,,15,
angrydoggebitroop,legacy-only-name,Event:12,,Angry Doggebi Troop,,44,
anurgentsession,bango-only-name,,90,,An urgent session,,80
anurgentssession,legacy-only-name,Quest:69,,An urgent ssession,,70,
appointmentofgeneralinpilla,legacy-only-name,Event:02,,Appointment of General In-Pill /a,,1,
appointmentofgeneralinpillb,legacy-only-name,Event:03,,Appointment of General In-Pill /b,,1,
appointmentofgeneralinpillc,legacy-only-name,Event:04,,Appointment of General In-Pill /c,,1,
assassins,legacy-only-name,Quest:37,,Assassins,,42,
beadofghost,matched-name,Quest:26,29,Bead of Ghost,Bead of Ghost,32,32
bearwipeoperation,bango-only-name,,78,,Bear wipe operation,,76
beginningoflongjourney,legacy-only-name,Event:01,,Beginning of Long Journey,,1,
beheadingthedemonwaterdragon,matched-name,Quest:18,18,Beheading the Demon Water Dragon,Beheading the Demon Water Dragon,23,23
bighandedinhabitantsdeadbody,legacy-only-name,RQ:01,,Big Handed Inhabitants dead body,,10,
bighandedwarriorsdeadbody,legacy-only-name,RQ:02,,Big Handed Warriors dead body,,12,
blindmansfavor,legacy-only-name,Quest:46,,Blind Man's Favor,,47,
blockupgoblinsinformationinterchange,matched-name,Quest:61,82,Block up Goblins information interchange,Block up Goblins' information interchange,70,79
bluebeastofdemoncracktroopshead,legacy-only-name,RQ:52,,Blue Beast of Demon Crack Troops Head,,66,
brokendollofdoggebi,legacy-only-name,Quest:43,,Broken Doll of Doggebi,,45,
ceremonyforelements1,legacy-only-name,Event:19,,Ceremony for elements1,,70,
ceremonyforelements2,legacy-only-name,Event:20,,Ceremony for elements2,,70,
chiefofdemoncracktroopshead,legacy-only-name,RQ:40,,Chief of Demon Crack Troops head,,60,
chooseyournewgovernmentposition,legacy-only-name,Event:14,,Choose your new government position,,50,
clothraise,bango-only-name,,72,,Cloth raise,,75
collectingarmor,bango-only-name,,20,,Collecting Armor,,26
collectingarmors,legacy-only-name,Quest:20,,Collecting Armors,,26,
