normalized_name,status,legacy_names,bango_names,legacy_row_count,bango_row_count,legacy_positions,bango_keys,bango_limits
4thgangshin,bango-only-name,,4th Gangshin,0,1,,shaman-93,"[""shaman""]"
4thrisingking,bango-only-name,,4th Rising King,0,1,,shaman-91,"[""shaman""]"
acrobatic,matched-name,Acrobatic,Acrobatic,1,1,23,thief-25,"[""thief""]"
adamant,bango-only-name,,Adamant,0,1,,tuguk-72,"[""tuguk""]"
adulttransformation,bango-only-name,,Adult Transformation,0,1,,common-102,[]
amnesia,matched-name,Amnesia,Amnesia,1,1,4,mage-60,"[""mage""]"
amogaetransformation,bango-only-name,,Amogae Transformation,0,1,,common-103,[]
amplificationofblood,bango-only-name,,Amplification of Blood,0,1,,shaman-38,"[""shaman""]"
ankleamputate,matched-name,Ankle Amputate,Ankle Amputate,1,1,24,thief-15,"[""thief""]"
armorbreaker,matched-name,Armor Breaker,Armor Breaker,1,1,25,thief-22,"[""thief""]"
arrowexplosion,matched-name,Arrow Explosion,Arrow Explosion,1,1,20,archer-46,"[""archer""]"
arrowofsilence,matched-name,Arrow of Silence,Arrow of Silence,1,1,21,archer-14,"[""archer""]"
arrowrain,matched-name,Arrow Rain,Arrow rain,1,1,19,archer-48,"[""archer""]"
arrowsofthemaster,bango-only-name,,Arrows of the Master,0,1,,archer-92,"[""archer""]"
artillery,matched-name,Artillery,Artillery,8,10,10|11|17|18|24|25|3|4,thief-80|thief-81|knight-80|knight-81|mage-80|mage-81|archer-80|archer-81|shaman-34|shaman-42,"[""thief""]|[""thief""]|[""knight""]|[""knight""]|[""mage""]|[""mage""]|[""archer""]|[""archer""]|[""shaman""]|[""shaman""]"
assault,matched-name,Assault,Assault,1,1,22,thief-7,"[""thief""]"
attackofdarkshadow,bango-only-name,,Attack of Dark Shadow,0,5,,thief-94|knight-94|mage-94|archer-94|shaman-94,"[""thief""]|[""knight""]|[""mage""]|[""archer""]|[""shaman""]"
attackpowerup,matched-name,Attack Power Up,Attack Power Up,1,1,22,thief-2,"[""thief""]"
babytransformation,bango-only-name,,Baby Transformation,0,1,,common-100,[]
beheading,bango-only-name,,Beheading,0,1,,common-1,[]
berserk,matched-name,Berserk,Berserk,1,1,10,knight-24,"[""knight""]"
bleedingfortification,bango-only-name,,Bleeding Fortification,0,1,,shaman-41,"[""shaman""]"
blessing,matched-name,Blessing,Blessing,1,1,6,mage-64,"[""mage""]"
blessingofagility,matched-name,Blessing of Agility,Blessing of Agility,1,1,4,mage-50,"[""mage""]"
blessingofhealth,matched-name,Blessing of Health,Blessing of Health,1,1,4,mage-49,"[""mage""]"
blessingofintelligence,matched-name,Blessing of Intelligence,Blessing of Intelligence,1,1,4,mage-51,"[""mage""]"
blessingofsonofthesky,bango-only-name,,Blessing of Son of the Sky,0,10,,thief-70|thief-71|knight-70|knight-71|mage-70|mage-71|archer-70|archer-71|shaman-70|shaman-71,"[""thief""]|[""thief""]|[""knight""]|[""knight""]|[""mage""]|[""mage""]|[""archer""]|[""archer""]|[""shaman""]|[""shaman""]"
blessingofsonoftheskyae,legacy-only-name,Blessing of son of the Sky (AE),,1,0,19,,
blessingofsonoftheskyai,legacy-only-name,Blessing of son of the Sky (AI),,1,0,20,,
blessingofsonoftheskykc,legacy-only-name,Blessing of son of the Sky (KC),,1,0,13,,
blessingofsonoftheskykv,legacy-only-name,Blessing of son of the Sky (KV),,1,0,12,,
blessingofsonoftheskyma,legacy-only-name,Blessing of son of the Sky (MA),,1,0,5,,
blessingofsonoftheskymm,legacy-only-name,Blessing of son of the Sky (MM),,1,0,6,,
blessingofsonoftheskyth,legacy-only-name,Blessing of son of the Sky (TH),,1,0,26,,
blessingofsonoftheskytu,legacy-only-name,Blessing of son of the Sky (TU),,1,0,27,,
blessingofstrength,matched-name,Blessing of Strength,Blessing of Strength,1,1,4,mage-48,"[""mage""]"
