normalized_name,legacy_name,bango_name,bango_key,bango_definition_ordinal,skill_class,legacy_positions,match_basis,field,meaning,unit,compare_index,label_verification,bango_level_json,bango_grade_json,legacy_rpn,bango_prefix_json,bango_rpn_json,legacy_canonical_json,bango_canonical_json,verdict,attribution,notes
hiding,Hiding,Hiding,thief-6,1,thief,22,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""15"",""0""]","[""1"",""0""]",10 sk_lvl 10 * +,"[[""plus"",""10"",[""mul"",""10"",""skill_level""]]]","[""10 10 skill_level * +""]","[""add"",[""multiply"",[""number"",""10""],[""variable"",""skill_level""]],[""number"",""10""]]","[[""add"",[""multiply"",[""number"",""10""],[""variable"",""skill_level""]],[""number"",""10""]]]",same,,Canonical arithmetic expressions are semantically identical.
hiding,Hiding,Hiding,thief-6,1,thief,22,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""15"",""0""]","[""1"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
hiding,Hiding,Hiding,thief-6,1,thief,22,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""15"",""0""]","[""1"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
hiding,Hiding,Hiding,thief-6,1,thief,22,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""15"",""0""]","[""1"",""0""]",60000,"[""60000""]","[""60000""]","[""number"",""60000""]","[[""number"",""60000""]]",same,,Canonical arithmetic expressions are semantically identical.
assault,Assault,Assault,thief-7,1,thief,22,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""19"",""0""]","[""1"",""0""]",25 sk_lvl 20 * +,"[[""plus"",""25"",[""mul"",""20"",""skill_level""]]]","[""25 20 skill_level * +""]","[""add"",[""multiply"",[""number"",""20""],[""variable"",""skill_level""]],[""number"",""25""]]","[[""add"",[""multiply"",[""number"",""20""],[""variable"",""skill_level""]],[""number"",""25""]]]",same,,Canonical arithmetic expressions are semantically identical.
assault,Assault,Assault,thief-7,1,thief,22,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""19"",""0""]","[""1"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
assault,Assault,Assault,thief-7,1,thief,22,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""19"",""0""]","[""1"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
assault,Assault,Assault,thief-7,1,thief,22,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""19"",""0""]","[""1"",""0""]",30000,"[""30000""]","[""30000""]","[""number"",""30000""]","[[""number"",""30000""]]",same,,Canonical arithmetic expressions are semantically identical.
stun,Stun,Stun,thief-8,1,thief,23,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""30"",""0""]","[""3"",""0""]",10 sk_lvl 10 * +,"[[""plus"",""10"",[""mul"",""10"",""skill_level""]]]","[""10 10 skill_level * +""]","[""add"",[""multiply"",[""number"",""10""],[""variable"",""skill_level""]],[""number"",""10""]]","[[""add"",[""multiply"",[""number"",""10""],[""variable"",""skill_level""]],[""number"",""10""]]]",same,,Canonical arithmetic expressions are semantically identical.
stun,Stun,Stun,thief-8,1,thief,23,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""30"",""0""]","[""3"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
stun,Stun,Stun,thief-8,1,thief,23,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""30"",""0""]","[""3"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
stun,Stun,Stun,thief-8,1,thief,23,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""30"",""0""]","[""3"",""0""]",10000,"[""10000""]","[""10000""]","[""number"",""10000""]","[[""number"",""10000""]]",same,,Canonical arithmetic expressions are semantically identical.
confusion,Confusion,Confusion,thief-9,1,thief,23,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""30"",""0""]","[""3"",""0""]",10 sk_lvl 20 * +,"[[""plus"",""10"",[""mul"",""20"",""skill_level""]]]","[""10 20 skill_level * +""]","[""add"",[""multiply"",[""number"",""20""],[""variable"",""skill_level""]],[""number"",""10""]]","[[""add"",[""multiply"",[""number"",""20""],[""variable"",""skill_level""]],[""number"",""10""]]]",same,,Canonical arithmetic expressions are semantically identical.
confusion,Confusion,Confusion,thief-9,1,thief,23,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""30"",""0""]","[""3"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
confusion,Confusion,Confusion,thief-9,1,thief,23,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""30"",""0""]","[""3"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
confusion,Confusion,Confusion,thief-9,1,thief,23,normalized-name-and-class,sk_coold,cooldown,milliseconds,4,unverified-for-class,"[""30"",""0""]","[""3"",""0""]",300000,"[""300000""]","[""300000""]","[""number"",""300000""]","[[""number"",""300000""]]",same,,Canonical arithmetic expressions are semantically identical.
strangle,Strangle,Strangle,thief-10,1,thief,23,normalized-name-and-class,sk_mana,mana_or_energy,game_units,1,verified-ability-text-and-gitbook,"[""35"",""0""]","[""3"",""0""]",10 sk_lvl 5 * +,"[[""plus"",""10"",[""mul"",""5"",""skill_level""]]]","[""10 5 skill_level * +""]","[""add"",[""multiply"",[""number"",""5""],[""variable"",""skill_level""]],[""number"",""10""]]","[[""add"",[""multiply"",[""number"",""5""],[""variable"",""skill_level""]],[""number"",""10""]]]",same,,Canonical arithmetic expressions are semantically identical.
strangle,Strangle,Strangle,thief-10,1,thief,23,normalized-name-and-class,sk_range,range,game_units,2,unverified-for-class,"[""35"",""0""]","[""3"",""0""]",0,"[""weapon_range""]","[""weapon_range""]","[""number"",""0""]","[[""variable"",""weapon_range""]]",encoding-only,,Legacy melee range sentinel 0; Bango names the dynamic weapon_range symbol.
strangle,Strangle,Strangle,thief-10,1,thief,23,normalized-name-and-class,sk_charge,cast_time,milliseconds,3,unverified-for-class,"[""35"",""0""]","[""3"",""0""]",0,"[""0""]","[""0""]","[""number"",""0""]","[[""number"",""0""]]",same,,Canonical arithmetic expressions are semantically identical.
