sk_megn,sk_type,sk_poz,sk_desc,sk_order,sk_pic,sk_lvl,sk_pre,sk_form,sk_pars,sk_maxpars,sk_mana,sk_charge,sk_coold,sk_range,sk_lasting,sk_honor,bango_key,bango_definition_ordinal,bango_limit_json,bango_action_json,bango_level_json,bango_grade_json,bango_maxlevel_json,bango_type_json,bango_property_json,bango_parameters_json,bango_parameter_rpn_json,bango_compares_json,bango_mana_rpn_json,bango_range_rpn_json,bango_cast_ms_rpn_json,bango_cooldown_ms_rpn_json,bango_compare_label_status_json,bango_conditions_json,bango_record_json,provenance,source_file,source_line
Rest,2,,#nSit down for recovering health and energy.#nHotkey: X,,action002,,,,,,,0,0,,,,common-11,1,[],"[""11""]","[""1""]","[""1"",""1""]","[""3"",""0""]","[""active"",""once""]","[""0"",""0"",""1"",""0"",""9"",""0"",""0"",""0""]",[],[],"[[""compare"",""3"",""0""],[""compare"",""4"",""0""]]",[],[],"[""0""]","[""0""]","{""3"":""unverified-for-class"",""4"":""unverified-for-class""}",[],"[""skill"",[""key"",""common-11""],[""action"",""11""],[""index"",""11""],[""image"",""action002""],[""name"",""Rest""],[""desc"",""#nSit down for recovering health and energy.#nHotkey: X""],[""level"",""1""],[""grade"",""1"",""1""],[""maxlevel"",""3"",""0""],[""type"",""active"",""once""],[""compare"",""3"",""0""],[""compare"",""4"",""0""],[""battleride"",""0""],[""property"",""0"",""0"",""1"",""0"",""9"",""0"",""0"",""0""]]",bango-file,jobsystem.dat,53
Run,,,#nMove faster than normal#nand you can escape from the danger.#nHotkey: Z,,active002,,,,,,6,,,,,,common-0,1,[],"[""0""]",[],[],"[""1""]","[""chant"",""once""]","[""0"",""0"",""1"",""0"",""9"",""0"",""0"",""0""]",[],[],"[[""compare"",""1"",""6""]]","[""6""]",[],[],[],"{""1"":""verified-ability-text-and-gitbook""}",[],"[""skill"",[""key"",""common-0""],[""action"",""0""],[""name"",""Run""],[""index"",""0""],[""image"",""active002""],[""desc"",""#nMove faster than normal#nand you can escape from the danger.#nHotkey: Z""],[""type"",""chant"",""once""],[""compare"",""1"",""6""],[""maxlevel"",""1""],[""battleride"",""0""],[""property"",""0"",""0"",""1"",""0"",""9"",""0"",""0"",""0""]]",bango-file,jobsystem.dat,68
Beheading,2,,#nCut the demon's neck#n for eternal rest#nRecovers health and energy.,,active001,,,,,,,0,700,32,,,common-1,1,[],"[""1""]",[],[],"[""1""]","[""active"",""use""]","[""0"",""0"",""1"",""0"",""9"",""0"",""5"",""0""]",[],[],"[[""compare"",""2"",""32""],[""compare"",""3"",""0""],[""compare"",""4"",""700""]]",[],"[""32""]","[""0""]","[""700""]","{""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}",[],"[""skill"",[""key"",""common-1""],[""action"",""1""],[""name"",""Beheading"",""Removing Soul""],[""index"",""1""],[""damagetype"",""1""],[""image"",""active001"",""active001-tin""],[""desc"",""#nCut the demon's neck#n for eternal rest#nRecovers health and energy."",""#nRemoves the demon's soul#nfor eternal rest#nRecovers health and energy.""],[""type"",""active"",""use""],[""compare"",""2"",""32""],[""compare"",""3"",""0""],[""compare"",""4"",""700""],[""motion"",""0"",""1"",""none""],[""battleride"",""1""],[""ridemotion"",""0"",""1"",""none""],[""effect"","""",""Skill_R_1_1"",""Skill_R_1_2""],[""maxlevel"",""1""],[""property"",""0"",""0"",""1"",""0"",""9"",""0"",""5"",""0""]]",bango-file,jobsystem.dat,81
Baby Transformation,,,#nTransForm to baby animal#nRage gauge of level 1 required,,sinsu001,,,,,,,1000,,,,,common-100,1,[],"[""200""]",[],[],"[""1""]","[""chant"",""once""]","[""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0""]",[],[],"[[""compare"",""3"",""1000""]]",[],[],"[""1000""]",[],"{""3"":""unverified-for-class""}",[],"[""skill"",[""key"",""common-100""],[""action"",""200""],[""name"",""Baby Transformation""],[""index"",""200""],[""image"",""sinsu001""],[""desc"",""#nTransForm to baby animal#nRage gauge of level 1 required""],[""type"",""chant"",""once""],[""compare"",""3"",""1000""],[""maxlevel"",""1""],[""type"",""active"",""once""],[""motion"",""64"",""64"",""none""],[""battleride"",""0""],[""damagetype"",""0""],[""property"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0""]]",bango-file,jobsystem.dat,109
Young Transformation,,,#nTransform to young adult#nRage gauge of level 2 required,,sinsu002,,,,,,,1000,,,,,common-101,1,[],"[""201""]",[],[],"[""1""]","[""chant"",""once""]","[""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0""]",[],[],"[[""compare"",""3"",""1000""]]",[],[],"[""1000""]",[],"{""3"":""unverified-for-class""}",[],"[""skill"",[""key"",""common-101""],[""action"",""201""],[""name"",""Young Transformation""],[""index"",""201""],[""image"",""sinsu002""],[""desc"",""#nTransform to young adult#nRage gauge of level 2 required""],[""type"",""chant"",""once""],[""compare"",""3"",""1000""],[""maxlevel"",""1""],[""type"",""active"",""once""],[""motion"",""64"",""64"",""none""],[""battleride"",""0""],[""damagetype"",""0""],[""property"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0""]]",bango-file,jobsystem.dat,125
Adult Transformation,,,#nTransform to ancient animal#nRage gauge of level 3 required,,sinsu003,,,,,,,1000,,,,,common-102,1,[],"[""202""]",[],[],"[""1""]","[""chant"",""once""]","[""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0""]",[],[],"[[""compare"",""3"",""1000""]]",[],[],"[""1000""]",[],"{""3"":""unverified-for-class""}",[],"[""skill"",[""key"",""common-102""],[""action"",""202""],[""name"",""Adult Transformation""],[""index"",""202""],[""image"",""sinsu003""],[""desc"",""#nTransform to ancient animal#nRage gauge of level 3 required""],[""type"",""chant"",""once""],[""compare"",""3"",""1000""],[""maxlevel"",""1""],[""type"",""active"",""once""],[""motion"",""64"",""64"",""none""],[""battleride"",""0""],[""damagetype"",""0""],[""property"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0""]]",bango-file,jobsystem.dat,141
Amogae Transformation,,,#nTransform to Amogae#nRage gauge of level 4 requred,,sinsu004,,,,,,,1000,,,,,common-103,1,[],"[""203""]",[],[],"[""1""]","[""chant"",""once""]","[""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0""]",[],[],"[[""compare"",""3"",""1000""]]",[],[],"[""1000""]",[],"{""3"":""unverified-for-class""}",[],"[""skill"",[""key"",""common-103""],[""action"",""203""],[""index"",""203""],[""name"",""Amogae Transformation""],[""image"",""sinsu004""],[""maxlevel"",""1""],[""property"",""0"",""0"",""1"",""0"",""0"",""0"",""0"",""0""],[""type"",""chant"",""once""],[""type"",""active"",""once""],[""motion"",""64"",""64"",""none""],[""battleride"",""0""],[""damagetype"",""0""],[""compare"",""3"",""1000""],[""desc"",""#nTransform to Amogae#nRage gauge of level 4 requred""]]",bango-file,jobsystem.dat,157
Attack Power Up,1,,#nIncrease your basic Power.,,passive028,,,#nMax Attack + %1!d!#nMin Attack + %2!d!,,,,,,,,,thief-2,1,"[""thief""]","[""2""]","[""1"",""0""]","[""1"",""0""]","[""10"",""0""]","[""passive"",""etc""]","[""5"",""1"",""1"",""2"",""3"",""0"",""0"",""0""]","[[""parameter"",""1"",""skill_level""],[""parameter"",""2"",""skill_level""]]","[""skill_level"",""skill_level""]",[],[],[],[],[],{},[],"[""skill"",[""key"",""thief-2""],[""name"",""Attack Power Up""],[""limit"",""thief""],[""action"",""2""],[""image"",""passive028""],[""level"",""1"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""10"",""0""],[""type"",""passive"",""etc""],[""property"",""5"",""1"",""1"",""2"",""3"",""0"",""0"",""0""],[""parameter"",""1"",""skill_level""],[""parameter"",""2"",""skill_level""],[""ability"",""#nMax Attack + %1!d!#nMin Attack + %2!d!""],[""desc"",""#nIncrease your basic Power.""]]",bango-file,jobsystem.dat,205
Increase Target Rate,1,,#nIncrease your basic Target Points,,passive029,,,#nOn Target Point + %1!d!,,,,,,,,,thief-3,1,"[""thief""]","[""3""]","[""5"",""0""]","[""1"",""0""]","[""10"",""0""]","[""passive"",""etc""]","[""5"",""1"",""1"",""2"",""3"",""0"",""0"",""0""]","[[""parameter"",""1"",[""mul"",""2"",""skill_level""]]]","[""2 skill_level *""]",[],[],[],[],[],{},[],"[""skill"",[""key"",""thief-3""],[""name"",""Increase Target Rate""],[""limit"",""thief""],[""action"",""3""],[""image"",""passive029""],[""level"",""5"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""10"",""0""],[""type"",""passive"",""etc""],[""property"",""5"",""1"",""1"",""2"",""3"",""0"",""0"",""0""],[""parameter"",""1"",[""mul"",""2"",""skill_level""]],[""ability"",""#nOn Target Point + %1!d!""],[""desc"",""#nIncrease your basic Target Points""]]",bango-file,jobsystem.dat,206
Increase Critical Rate,1,,#nIncrease your basic Critical Attack Rate,,passive030,,,#nFatal attack percentage is increased : %1!d! %%,,,,,,,,,thief-4,1,"[""thief""]","[""4""]","[""19"",""0""]","[""1"",""0""]","[""10"",""0""]","[""passive"",""etc""]","[""5"",""1"",""1"",""2"",""3"",""0"",""0"",""0""]","[[""parameter"",""1"",""skill_level""]]","[""skill_level""]",[],[],[],[],[],{},[],"[""skill"",[""key"",""thief-4""],[""name"",""Increase Critical Rate""],[""limit"",""thief""],[""action"",""4""],[""image"",""passive030""],[""level"",""19"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""10"",""0""],[""type"",""passive"",""etc""],[""property"",""5"",""1"",""1"",""2"",""3"",""0"",""0"",""0""],[""parameter"",""1"",""skill_level""],[""ability"",""#nFatal attack percentage is increased : %1!d! %%""],[""desc"",""#nIncrease your basic Critical Attack Rate""]]",bango-file,jobsystem.dat,207
Increase Critical Damage,1,,#nIncrease your basic Critical Attack damage.,,passive031,,,#n,,,,,,,,,thief-5,1,"[""thief""]","[""5""]","[""24"",""0""]","[""1"",""0""]","[""10"",""0""]","[""passive"",""etc""]","[""5"",""1"",""1"",""2"",""3"",""0"",""0"",""0""]",[],[],[],[],[],[],[],{},[],"[""skill"",[""key"",""thief-5""],[""name"",""Increase Critical Damage""],[""limit"",""thief""],[""action"",""5""],[""image"",""passive031""],[""level"",""24"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""10"",""0""],[""type"",""passive"",""etc""],[""property"",""5"",""1"",""1"",""2"",""3"",""0"",""0"",""0""],[""ability"",""#n""],[""desc"",""#nIncrease your basic Critical Attack damage.""]]",bango-file,jobsystem.dat,208
Hiding,2,,#nConceal yourself from the detection of enemy. #nThis skill reduces your Movement.,,active134,,,#nMaintaining Time : %1!d!#nMove Speed  : 70 %%#nEnergy used : %2!d!,,,10 10 skill_level * +,0,60000,weapon_range,,,thief-6,1,"[""thief""]","[""6""]","[""15"",""0""]","[""1"",""0""]","[""3"",""0""]","[""active"",""once""]","[""5"",""1"",""1"",""1"",""3"",""0"",""0"",""0""]","[[""parameter"",""1"",[""plus"",""15"",[""mul"",""5"",""skill_level""]]],[""parameter"",""2"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]]]","[""15 5 skill_level * +"",""10 10 skill_level * +""]","[[""compare"",""1"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""]]","[""10 10 skill_level * +""]","[""weapon_range""]","[""0""]","[""60000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}",[],"[""skill"",[""key"",""thief-6""],[""name"",""Hiding""],[""battleride"",""0""],[""limit"",""thief""],[""action"",""6""],[""image"",""active134""],[""level"",""15"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""3"",""0""],[""type"",""active"",""once""],[""property"",""5"",""1"",""1"",""1"",""3"",""0"",""0"",""0""],[""motion"",""0"",""0"",""none""],[""effect"","""","""",""""],[""sound"","""","""",""""],[""damagetype"",""0""],[""compare"",""1"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""60000""],[""parameter"",""1"",[""plus"",""15"",[""mul"",""5"",""skill_level""]]],[""parameter"",""2"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""ability"",""#nMaintaining Time : %1!d!#nMove Speed  : 70 %%#nEnergy used : %2!d!""],[""desc"",""#nConceal yourself from the detection of enemy. #nThis skill reduces your Movement.""]]",bango-file,jobsystem.dat,209
Assault,2,,#nDeliver a powerful blow to an enemy.#ncan be used only while Hiding.,,active135,,,#nAdd Power : %1!d!#nOn Target Point : %2!d!#nFatal attack percentage is increased : 10 %%#nEnergy used : %3!d!,,,25 20 skill_level * +,0,30000,weapon_range,,,thief-7,1,"[""thief""]","[""7""]","[""19"",""0""]","[""1"",""0""]","[""5"",""0""]","[""active"",""use""]","[""5"",""1"",""0"",""1"",""0"",""0"",""5"",""0""]","[[""parameter"",""1"",[""plus"",""50"",[""div"",[""mul"",[""div"",[""mul"",""7"",""char_dex""],""4""],""skill_level""],""2""]]],[""parameter"",""2"",[""mul"",""2"",""skill_level""]],[""parameter"",""3"",[""plus"",""25"",[""mul"",""20"",""skill_level""]]]]","[""50 7 char_dex * 4 / skill_level * 2 / +"",""2 skill_level *"",""25 20 skill_level * +""]","[[""compare"",""1"",[""plus"",""25"",[""mul"",""20"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""30000""]]","[""25 20 skill_level * +""]","[""weapon_range""]","[""0""]","[""30000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}","[[""condition"",""6"",""1""]]","[""skill"",[""key"",""thief-7""],[""name"",""Assault""],[""battleride"",""0""],[""limit"",""thief""],[""action"",""7""],[""image"",""active135""],[""level"",""19"",""0""],[""grade"",""1"",""0""],[""maxlevel"",""5"",""0""],[""type"",""active"",""use""],[""property"",""5"",""1"",""0"",""1"",""0"",""0"",""5"",""0""],[""motion"",""0"",""3"",""none""],[""effect"","""","""",""""],[""sound"","""","""",""""],[""damagetype"",""1""],[""condition"",""6"",""1""],[""compare"",""1"",[""plus"",""25"",[""mul"",""20"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""30000""],[""parameter"",""1"",[""plus"",""50"",[""div"",[""mul"",[""div"",[""mul"",""7"",""char_dex""],""4""],""skill_level""],""2""]]],[""parameter"",""2"",[""mul"",""2"",""skill_level""]],[""parameter"",""3"",[""plus"",""25"",[""mul"",""20"",""skill_level""]]],[""ability"",""#nAdd Power : %1!d!#nOn Target Point : %2!d!#nFatal attack percentage is increased : 10 %%#nEnergy used : %3!d!""],[""exist"",""6""],[""desc"",""#nDeliver a powerful blow to an enemy.#ncan be used only while Hiding.""]]",bango-file,jobsystem.dat,210
Stun,2,,"#nStun an enemy.#nCan be used only while Hiding.#nThe Stun effect lasts for a set duration, but is canceled if the target receives damage.",,active136,,,#nEnergy used : %1!d!,,,10 10 skill_level * +,0,10000,weapon_range,,,thief-8,1,"[""thief""]","[""8""]","[""30"",""0""]","[""3"",""0""]","[""3"",""0""]","[""active"",""use""]","[""5"",""1"",""0"",""1"",""2"",""0"",""5"",""0""]","[[""parameter"",""1"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]]]","[""10 10 skill_level * +""]","[[""compare"",""1"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""10000""]]","[""10 10 skill_level * +""]","[""weapon_range""]","[""0""]","[""10000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}","[[""condition"",""7"",""1""]]","[""skill"",[""key"",""thief-8""],[""name"",""Stun""],[""battleride"",""0""],[""limit"",""thief""],[""action"",""8""],[""image"",""active136""],[""level"",""30"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""3"",""0""],[""type"",""active"",""use""],[""property"",""5"",""1"",""0"",""1"",""2"",""0"",""5"",""0""],[""motion"",""0"",""4"",""none""],[""effect"","""","""",""""],[""sound"","""","""",""""],[""damagetype"",""3""],[""condition"",""7"",""1""],[""compare"",""1"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""10000""],[""parameter"",""1"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""ability"",""#nEnergy used : %1!d!""],[""exist"",""6""],[""desc"",""#nStun an enemy.#nCan be used only while Hiding.#nThe Stun effect lasts for a set duration, but is canceled if the target receives damage.""]]",bango-file,jobsystem.dat,212
Confusion,2,,"#nConfuse a target.#nWhen confused, enemy cannot attack you for a set duration,but can perform other actions except attack",,active137,,,#nEnergy used : %1!d!,,,10 20 skill_level * +,0,300000,weapon_range,,,thief-9,1,"[""thief""]","[""9""]","[""30"",""0""]","[""3"",""0""]","[""3"",""0""]","[""active"",""use""]","[""5"",""1"",""0"",""1"",""2"",""0"",""5"",""0""]","[[""parameter"",""1"",[""plus"",""10"",[""mul"",""20"",""skill_level""]]]]","[""10 20 skill_level * +""]","[[""compare"",""1"",[""plus"",""10"",[""mul"",""20"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""300000""]]","[""10 20 skill_level * +""]","[""weapon_range""]","[""0""]","[""300000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}","[[""condition"",""7"",""1""]]","[""skill"",[""key"",""thief-9""],[""name"",""Confusion""],[""battleride"",""1""],[""riderange"",""10""],[""ridemotion"",""29"",""30"",""none""],[""limit"",""thief""],[""action"",""9""],[""image"",""active137""],[""level"",""30"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""3"",""0""],[""type"",""active"",""use""],[""property"",""5"",""1"",""0"",""1"",""2"",""0"",""5"",""0""],[""motion"",""0"",""5"",""none""],[""effect"","""","""",""""],[""sound"","""","""",""""],[""damagetype"",""2""],[""condition"",""7"",""1""],[""compare"",""1"",[""plus"",""10"",[""mul"",""20"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""300000""],[""parameter"",""1"",[""plus"",""10"",[""mul"",""20"",""skill_level""]]],[""ability"",""#nEnergy used : %1!d!""],[""desc"",""#nConfuse a target.#nWhen confused, enemy cannot attack you for a set duration,but can perform other actions except attack""]]",bango-file,jobsystem.dat,213
Strangle,2,,#nStrangle an enemy to inflict damage and cause the Stun effect.#ncan be used only while Hiding.,,active138,,,#nMaintaining Time : %1!d!#nAdd Power : %2!d!#nOn Target Point : %3!d!#nEnergy used : %4!d!,,,10 5 skill_level * +,0,20000,weapon_range,,,thief-10,1,"[""thief""]","[""10""]","[""35"",""0""]","[""3"",""0""]","[""5"",""0""]","[""active"",""use""]","[""5"",""1"",""0"",""1"",""2"",""0"",""5"",""0""]","[[""parameter"",""1"",[""plus"",""1"",""skill_level""]],[""parameter"",""2"",[""plus"",""50"",[""mul"",""10"",""skill_level""]]],[""parameter"",""3"",[""plus"",""9"",""skill_level""]],[""parameter"",""4"",[""plus"",""10"",[""mul"",""5"",""skill_level""]]]]","[""1 skill_level +"",""50 10 skill_level * +"",""9 skill_level +"",""10 5 skill_level * +""]","[[""compare"",""1"",[""plus"",""10"",[""mul"",""5"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""20000""]]","[""10 5 skill_level * +""]","[""weapon_range""]","[""0""]","[""20000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}","[[""condition"",""7"",""2""]]","[""skill"",[""key"",""thief-10""],[""name"",""Strangle""],[""battleride"",""0""],[""limit"",""thief""],[""action"",""10""],[""image"",""active138""],[""level"",""35"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""5"",""0""],[""type"",""active"",""use""],[""property"",""5"",""1"",""0"",""1"",""2"",""0"",""5"",""0""],[""motion"",""0"",""6"",""none""],[""effect"","""","""",""""],[""sound"","""","""",""""],[""damagetype"",""1""],[""condition"",""7"",""2""],[""compare"",""1"",[""plus"",""10"",[""mul"",""5"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""20000""],[""parameter"",""1"",[""plus"",""1"",""skill_level""]],[""parameter"",""2"",[""plus"",""50"",[""mul"",""10"",""skill_level""]]],[""parameter"",""3"",[""plus"",""9"",""skill_level""]],[""parameter"",""4"",[""plus"",""10"",[""mul"",""5"",""skill_level""]]],[""ability"",""#nMaintaining Time : %1!d!#nAdd Power : %2!d!#nOn Target Point : %3!d!#nEnergy used : %4!d!""],[""exist"",""6""],[""desc"",""#nStrangle an enemy to inflict damage and cause the Stun effect.#ncan be used only while Hiding.""]]",bango-file,jobsystem.dat,214
Dual Shadow,2,,#nInflict damage and increase your On Target Point and Evasion Rate.,,active139,,,#nAdd Power : Assault + %1!d!#nOn Target Rate : %2!d!#nAdd Target rate : %3!d!#nMaintaining Time 20sec#nEnergy used : %4!d!,,,10 10 skill_level * +,0,600000,weapon_range,,,thief-12,1,"[""thief""]","[""12""]","[""40"",""0""]","[""3"",""0""]","[""5"",""0""]","[""active"",""use""]","[""5"",""1"",""0"",""1"",""4"",""0"",""5"",""0""]","[[""parameter"",""1"",[""mul"",""12"",""skill_level""]],[""parameter"",""2"",[""mul"",""2"",""skill_level""]],[""parameter"",""3"",[""mul"",""3"",""skill_level""]],[""parameter"",""4"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]]]","[""12 skill_level *"",""2 skill_level *"",""3 skill_level *"",""10 10 skill_level * +""]","[[""compare"",""1"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""600000""]]","[""10 10 skill_level * +""]","[""weapon_range""]","[""0""]","[""600000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}","[[""condition"",""10"",""1""]]","[""skill"",[""key"",""thief-12""],[""name"",""Dual Shadow""],[""battleride"",""1""],[""riderange"",""10""],[""ridemotion"",""29"",""30"",""none""],[""limit"",""thief""],[""action"",""12""],[""image"",""active139""],[""level"",""40"",""0""],[""grade"",""3"",""0""],[""maxlevel"",""5"",""0""],[""type"",""active"",""use""],[""property"",""5"",""1"",""0"",""1"",""4"",""0"",""5"",""0""],[""motion"",""0"",""7"",""none""],[""effect"","""","""",""""],[""sound"","""","""",""""],[""damagetype"",""1""],[""condition"",""10"",""1""],[""compare"",""1"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""600000""],[""parameter"",""1"",[""mul"",""12"",""skill_level""]],[""parameter"",""2"",[""mul"",""2"",""skill_level""]],[""parameter"",""3"",[""mul"",""3"",""skill_level""]],[""parameter"",""4"",[""plus"",""10"",[""mul"",""10"",""skill_level""]]],[""ability"",""#nAdd Power : Assault + %1!d!#nOn Target Rate : %2!d!#nAdd Target rate : %3!d!#nMaintaining Time 20sec#nEnergy used : %4!d!""],[""desc"",""#nInflict damage and increase your On Target Point and Evasion Rate.""]]",bango-file,jobsystem.dat,215
Fatal Wound,2,,#nAmbush an enemy to inflict fatal wound that causes continuous damage for a set duration.,,active141,,,#nAttack single target every 2 seconds for 16 seconds.#nEnergy used : %1!d!,,,15 30 skill_level * +,0,30000,weapon_range,,,thief-14,1,"[""thief""]","[""14""]","[""53"",""0""]","[""7"",""0""]","[""3"",""0""]","[""active"",""use""]","[""5"",""1"",""0"",""1"",""0"",""0"",""5"",""0""]","[[""parameter"",""1"",[""plus"",""15"",[""mul"",""30"",""skill_level""]]]]","[""15 30 skill_level * +""]","[[""compare"",""1"",[""plus"",""15"",[""mul"",""30"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""30000""]]","[""15 30 skill_level * +""]","[""weapon_range""]","[""0""]","[""30000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}",[],"[""skill"",[""key"",""thief-14""],[""name"",""Fatal Wound""],[""battleride"",""1""],[""riderange"",""10""],[""ridemotion"",""29"",""30"",""none""],[""limit"",""thief""],[""action"",""14""],[""image"",""active141""],[""level"",""53"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""3"",""0""],[""type"",""active"",""use""],[""property"",""5"",""1"",""0"",""1"",""0"",""0"",""5"",""0""],[""motion"",""0"",""9"",""none""],[""effect"","""","""",""""],[""sound"","""","""",""""],[""damagetype"",""2""],[""compare"",""1"",[""plus"",""15"",[""mul"",""30"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""30000""],[""parameter"",""1"",[""plus"",""15"",[""mul"",""30"",""skill_level""]]],[""ability"",""#nAttack single target every 2 seconds for 16 seconds.#nEnergy used : %1!d!""],[""desc"",""#nAmbush an enemy to inflict fatal wound that causes continuous damage for a set duration.""]]",bango-file,jobsystem.dat,217
Ankle Amputate,2,,#nAttack the ankle of an enemy to slow down the Movement Speed.,,active142,,,#nMove Speed 50%% Down#nEnergy used : %1!d!,,,45 10 skill_level * +,0,20000,weapon_range,,,thief-15,1,"[""thief""]","[""15""]","[""54"",""0""]","[""7"",""0""]","[""3"",""0""]","[""active"",""use""]","[""5"",""1"",""0"",""1"",""2"",""0"",""5"",""0""]","[[""parameter"",""1"",[""plus"",""45"",[""mul"",""10"",""skill_level""]]]]","[""45 10 skill_level * +""]","[[""compare"",""1"",[""plus"",""45"",[""mul"",""10"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""20000""]]","[""45 10 skill_level * +""]","[""weapon_range""]","[""0""]","[""20000""]","{""1"":""verified-ability-text-and-gitbook"",""2"":""unverified-for-class"",""3"":""unverified-for-class"",""4"":""unverified-for-class""}","[[""condition"",""14"",""1""]]","[""skill"",[""key"",""thief-15""],[""name"",""Ankle Amputate""],[""battleride"",""1""],[""riderange"",""10""],[""ridemotion"",""29"",""30"",""none""],[""limit"",""thief""],[""action"",""15""],[""image"",""active142""],[""level"",""54"",""0""],[""grade"",""7"",""0""],[""maxlevel"",""3"",""0""],[""type"",""active"",""use""],[""property"",""5"",""1"",""0"",""1"",""2"",""0"",""5"",""0""],[""motion"",""0"",""10"",""none""],[""effect"","""","""",""""],[""sound"","""","""",""""],[""damagetype"",""2""],[""condition"",""14"",""1""],[""compare"",""1"",[""plus"",""45"",[""mul"",""10"",""skill_level""]]],[""compare"",""2"",""weapon_range""],[""compare"",""3"",""0""],[""compare"",""4"",""20000""],[""parameter"",""1"",[""plus"",""45"",[""mul"",""10"",""skill_level""]]],[""ability"",""#nMove Speed 50%% Down#nEnergy used : %1!d!""],[""desc"",""#nAttack the ankle of an enemy to slow down the Movement Speed.""]]",bango-file,jobsystem.dat,218
