skill_key,skill_name,skill_action_ids_json,skill_limit_json,prerequisite_action_id,required_grade,prerequisite_skill_key,prerequisite_skill_name,resolution_status,candidate_skill_keys_json,condition_json,provenance,source_file,source_line
thief-7,Assault,"[""7""]","[""thief""]",6,1,thief-6,Hiding,resolved,"[""thief-6""]","[""condition"",""6"",""1""]",bango-file,jobsystem.dat,210
thief-8,Stun,"[""8""]","[""thief""]",7,1,thief-7,Assault,resolved,"[""thief-7""]","[""condition"",""7"",""1""]",bango-file,jobsystem.dat,212
thief-9,Confusion,"[""9""]","[""thief""]",7,1,thief-7,Assault,resolved,"[""thief-7""]","[""condition"",""7"",""1""]",bango-file,jobsystem.dat,213
thief-10,Strangle,"[""10""]","[""thief""]",7,2,thief-7,Assault,resolved,"[""thief-7""]","[""condition"",""7"",""2""]",bango-file,jobsystem.dat,214
thief-12,Dual Shadow,"[""12""]","[""thief""]",10,1,thief-10,Strangle,resolved,"[""thief-10""]","[""condition"",""10"",""1""]",bango-file,jobsystem.dat,215
thief-15,Ankle Amputate,"[""15""]","[""thief""]",14,1,thief-14,Fatal Wound,resolved,"[""thief-14""]","[""condition"",""14"",""1""]",bango-file,jobsystem.dat,218
thief-17,Rupture,"[""17""]","[""thief""]",15,1,thief-15,Ankle Amputate,resolved,"[""thief-15""]","[""condition"",""15"",""1""]",bango-file,jobsystem.dat,220
thief-18,Final Blow,"[""18""]","[""thief""]",17,2,thief-17,Rupture,resolved,"[""thief-17""]","[""condition"",""17"",""2""]",bango-file,jobsystem.dat,221
thief-27,Silence Step,"[""27""]","[""thief""]",6,1,thief-6,Hiding,resolved,"[""thief-6""]","[""condition"",""6"",""1""]",bango-file,jobsystem.dat,314
thief-33,Wrath of Heaven,"[""33""]","[""thief""]",6,1,thief-6,Hiding,resolved,"[""thief-6""]","[""condition"",""6"",""1""]",bango-file,jobsystem.dat,329
knight-7,Upward Slash,"[""7""]","[""knight""]",3,5,knight-3,Lightning Slash,resolved,"[""knight-3""]","[""condition"",""3"",""5""]",bango-file,jobsystem.dat,836
knight-8,Provocation,"[""8""]","[""knight""]",4,5,knight-4,Mockery ,resolved,"[""knight-4""]","[""condition"",""4"",""5""]",bango-file,jobsystem.dat,861
knight-9,Flashing Slash,"[""9""]","[""knight""]",5,1,knight-5,Transcendental Blow,resolved,"[""knight-5""]","[""condition"",""5"",""1""]",bango-file,jobsystem.dat,886
knight-12,Widening Wound,"[""13""]","[""knight""]",7,1,knight-7,Upward Slash,resolved,"[""knight-7""]","[""condition"",""7"",""1""]",bango-file,jobsystem.dat,950
knight-35,Increase of Critical Hit,"[""36""]","[""knight""]",12,15,knight-11,Critical Hit,resolved,"[""knight-11""]","[""condition"",""12"",""15""]",bango-file,jobsystem.dat,1466
knight-41,Powerful Widening Wound,"[""41""]","[""knight""]",13,1,knight-12,Widening Wound,resolved,"[""knight-12""]","[""condition"",""13"",""1""]",bango-file,jobsystem.dat,1579
mage-9,Shock Wave,"[""9""]","[""mage""]",4,5,mage-4,Lightning Magic,resolved,"[""mage-4""]","[""condition"",""4"",""5""]",bango-file,jobsystem.dat,2081
mage-10,Cure,"[""10""]","[""mage""]",8,3,mage-8,Heal,resolved,"[""mage-8""]","[""condition"",""8"",""3""]",bango-file,jobsystem.dat,2109
mage-15,Revival,"[""16""]","[""mage""]",10,1,mage-10,Cure,resolved,"[""mage-10""]","[""condition"",""10"",""1""]",bango-file,jobsystem.dat,2195
mage-21,Cure 2,"[""22""]","[""mage""]",10,10,mage-10,Cure,resolved,"[""mage-10""]","[""condition"",""10"",""10""]",bango-file,jobsystem.dat,2309
mage-22,Lightning Blow,"[""23""]","[""mage""]",4,10,mage-4,Lightning Magic,resolved,"[""mage-4""]","[""condition"",""4"",""10""]",bango-file,jobsystem.dat,2336
mage-23,Splashy Ice,"[""24""]","[""mage""]",3,10,mage-3,Ice Magic,resolved,"[""mage-3""]","[""condition"",""3"",""10""]",bango-file,jobsystem.dat,2365
mage-24,Fire Blow,"[""25""]","[""mage""]",2,10,mage-2,Fire Magic,resolved,"[""mage-2""]","[""condition"",""2"",""10""]",bango-file,jobsystem.dat,2392
mage-26,Frost,"[""27""]","[""mage""]",24,1,mage-23,Splashy Ice,resolved,"[""mage-23""]","[""condition"",""24"",""1""]",bango-file,jobsystem.dat,2444
mage-27,Group Cure,"[""28""]","[""mage""]",22,5,mage-21,Cure 2,resolved,"[""mage-21""]","[""condition"",""22"",""5""]",bango-file,jobsystem.dat,2468
mage-28,Restore,"[""29""]","[""mage""]",16,1,mage-15,Revival,resolved,"[""mage-15""]","[""condition"",""16"",""1""]",bango-file,jobsystem.dat,2495
mage-29,Lightning Summons,"[""31""]","[""mage""]",23,10,mage-22,Lightning Blow,resolved,"[""mage-22""]","[""condition"",""23"",""10""]",bango-file,jobsystem.dat,2521
mage-30,Hail,"[""32""]","[""mage""]",3,20,mage-3,Ice Magic,resolved,"[""mage-3""]","[""condition"",""3"",""20""]",bango-file,jobsystem.dat,2547
mage-31,Flame Bomb,"[""33""]","[""mage""]",2,20,mage-2,Fire Magic,resolved,"[""mage-2""]","[""condition"",""2"",""20""]",bango-file,jobsystem.dat,2572
mage-33,Summons,"[""34""]","[""mage""]",16,1,mage-15,Revival,resolved,"[""mage-15""]","[""condition"",""16"",""1""]",bango-file,jobsystem.dat,2614
mage-36,Cold Binding,"[""37""]","[""mage""]",27,1,mage-26,Frost,resolved,"[""mage-26""]","[""condition"",""27"",""1""]",bango-file,jobsystem.dat,2690
mage-40,Chain Lightning,"[""41""]","[""mage""]",23,10,mage-22,Lightning Blow,resolved,"[""mage-22""]","[""condition"",""23"",""10""]",bango-file,jobsystem.dat,2795
mage-41,Thunder,"[""42""]","[""mage""]",31,2,mage-29,Lightning Summons,resolved,"[""mage-29""]","[""condition"",""31"",""2""]",bango-file,jobsystem.dat,2832
