taskquest_key,script,item_ordinal,item_id,item_name,count,provenance,source_file,source_line
1,s600001,1,171,Big Handed Inhabitant's Head,25,bango-file,taskquest.dat,12
2,s600002,1,173,Big Handed Warrior's Head,15,bango-file,taskquest.dat,13
3,s600003,1,174,Demon Soldier's Head,10,bango-file,taskquest.dat,14
4,s600004,1,175,Demon Throwing Soldier's Head,10,bango-file,taskquest.dat,15
5,s600005,1,176,Wild Demon Soldier's Head,10,bango-file,taskquest.dat,16
6,s600006,1,177,Demon Shock Trooper's Head,10,bango-file,taskquest.dat,17
7,s600007,1,178,Demon Flag Bearer's Head,10,bango-file,taskquest.dat,18
8,s600008,1,179,Demon Band's Head,10,bango-file,taskquest.dat,19
9,s600009,1,162,Demon Water Dragon's Head,10,bango-file,taskquest.dat,20
10,s600010,1,180,Demon Armored Knight's Head,10,bango-file,taskquest.dat,21
11,s600011,1,163,Demon Mad Knight's Head,10,bango-file,taskquest.dat,22
12,s600012,1,181,Demon Commander's Head,5,bango-file,taskquest.dat,23
13,s600013,1,227,Devil Soldier's Head,20,bango-file,taskquest.dat,24
14,s600014,1,228,Devil Soldier Twin Blades' Head,10,bango-file,taskquest.dat,25
15,s600015,1,229,Devil Soldier Bow's Head,10,bango-file,taskquest.dat,26
16,s600016,1,230,Devil Soldier Sword's Head,5,bango-file,taskquest.dat,27
17,s600017,1,231,Devil Soldier Spear's Head,5,bango-file,taskquest.dat,28
18,s600018,1,232,Devil Soldier Sub-boss' Head,10,bango-file,taskquest.dat,29
19,s600019,1,233,Devil Soldier Boss' Head,5,bango-file,taskquest.dat,30
20,s600020,1,1366,Devil Troop of Jealousy Mask,50,bango-file,taskquest.dat,33
21,s600021,1,1367,Devil Troop of Hatred Mask,40,bango-file,taskquest.dat,34
22,s600022,1,1368,Devil Troop of Madness Mask,40,bango-file,taskquest.dat,35
23,s600023,1,1369,Devil Troop of Anger Mask,45,bango-file,taskquest.dat,36
24,s600024,1,1370,Devil Troop of Absorbing Green Mask,15,bango-file,taskquest.dat,37
25,s600025,1,1371,The Cave of The Giant Bird Demon's Head,60,bango-file,taskquest.dat,39
26,s600026,1,1372,Rotten Skeleton of Warrior of the Royal Tomb,30,bango-file,taskquest.dat,40
27,s600027,1,1373,Doggebi of Monster Face Fire,20,bango-file,taskquest.dat,41
28,s600028,1,1374,Doggebi with a Gong Fire,10,bango-file,taskquest.dat,42
29,s600029,1,1375,Drunken Doggebi Fire,20,bango-file,taskquest.dat,43
30,s600030,1,1376,Doggebi with a Mask of Black Fire,20,bango-file,taskquest.dat,45
31,s600031,1,1377,Doggebi with a Mask of Black Panther Fire,20,bango-file,taskquest.dat,46
32,s600032,1,1378,Giant Doggebi Fire,40,bango-file,taskquest.dat,47
33,s600033,1,1379,High Class Doggebi with a Gong Fire,20,bango-file,taskquest.dat,48
34,s600034,1,1380,The Royal Tobm Keeper's first certificate,10,bango-file,taskquest.dat,49
35,s600035,1,1381,High Class Drunken Doggebi  Fire,10,bango-file,taskquest.dat,51
36,s600036,1,1382,The Royal Tobm Keeper's second certificate,10,bango-file,taskquest.dat,52
37,s600037,1,1383,High Class Doggebi with a Mask of Black Crow Fire,10,bango-file,taskquest.dat,53
38,s600038,1,1384,Demon Crack Soldier's head,20,bango-file,taskquest.dat,54
39,s600039,1,1385,Traitor Warrior's Talisman,20,bango-file,taskquest.dat,55
40,s600040,1,1386,Chief of Demon Crack Troop's head,40,bango-file,taskquest.dat,57
41,s600041,1,1387,E-Mok Island Blacksmith's rings,30,bango-file,taskquest.dat,58
42,s600042,1,1388,Trained Traitor Warrior's Talisman,10,bango-file,taskquest.dat,59
43,s600043,1,1389,Small Green E-Moogi's teeth,30,bango-file,taskquest.dat,60
