source_file,record_ordinal,source_line,text,source_kind,provenance
Dic.dat,1,1,18,inspection-text-partial,bango-file
Dic.dat,2,3,60,inspection-text-partial,bango-file
Dic.dat,3,5,69,inspection-text-partial,bango-file
Dic.dat,4,7,$,inspection-text-partial,bango-file
Dic.dat,5,9,(* )( *),inspection-text-partial,bango-file
Dic.dat,6,11,(*),inspection-text-partial,bango-file
Dic.dat,7,13,(O),inspection-text-partial,bango-file
Dic.dat,8,15,.G.,inspection-text-partial,bango-file
Dic.dat,9,17,???,inspection-text-partial,bango-file
Dic.dat,10,19,??6 ??,inspection-text-partial,bango-file
Dic.dat,11,21,??????,inspection-text-partial,bango-file
Dic.dat,12,23,??6 ??,inspection-text-partial,bango-file
Dic.dat,13,25,????,inspection-text-partial,bango-file
Dic.dat,14,27,??0 6 0,inspection-text-partial,bango-file
Dic.dat,15,29,0 6 0,inspection-text-partial,bango-file
Dic.dat,16,31,0 ??0,inspection-text-partial,bango-file
Dic.dat,17,33,0??,inspection-text-partial,bango-file
Dic.dat,18,35,1 8,inspection-text-partial,bango-file
Dic.dat,19,37,10 8,inspection-text-partial,bango-file
Dic.dat,20,39,10 ??,inspection-text-partial,bango-file
Dic.dat,21,41,10 ??,inspection-text-partial,bango-file
Dic.dat,22,43,10 ????,inspection-text-partial,bango-file
Dic.dat,23,45,10 ??치,inspection-text-partial,bango-file
Dic.dat,24,47,10 ??,inspection-text-partial,bango-file
Dic.dat,25,49,10 ??,inspection-text-partial,bango-file
Dic.dat,26,51,10??,inspection-text-partial,bango-file
Dic.dat,27,53,10??,inspection-text-partial,bango-file
Dic.dat,28,55,10발넘,inspection-text-partial,bango-file
Dic.dat,29,57,10발년,inspection-text-partial,bango-file
Dic.dat,30,59,10발놈,inspection-text-partial,bango-file
Dic.dat,31,61,10발눔,inspection-text-partial,bango-file
Dic.dat,32,63,10밸넘,inspection-text-partial,bango-file
Dic.dat,33,65,10밸놈,inspection-text-partial,bango-file
Dic.dat,34,67,10밸늠,inspection-text-partial,bango-file
Dic.dat,35,69,10버??,inspection-text-partial,bango-file
Dic.dat,36,71,10??끼,inspection-text-partial,bango-file
Dic.dat,37,73,10??리,inspection-text-partial,bango-file
Dic.dat,38,75,10??끼,inspection-text-partial,bango-file
Dic.dat,39,77,10????,inspection-text-partial,bango-file
Dic.dat,40,79,10??치,inspection-text-partial,bango-file
Dic.dat,41,81,10??,inspection-text-partial,bango-file
Dic.dat,42,83,10??넘,inspection-text-partial,bango-file
Dic.dat,43,85,10??놈,inspection-text-partial,bango-file
Dic.dat,44,87,10??늠,inspection-text-partial,bango-file
Dic.dat,45,89,10??,inspection-text-partial,bango-file
Dic.dat,46,91,10??,inspection-text-partial,bango-file
Dic.dat,47,93,10??,inspection-text-partial,bango-file
Dic.dat,48,95,10??아,inspection-text-partial,bango-file
Dic.dat,49,97,10??,inspection-text-partial,bango-file
Dic.dat,50,99,10??년,inspection-text-partial,bango-file
Dic.dat,51,101,10??놈,inspection-text-partial,bango-file
Dic.dat,52,103,10??연,inspection-text-partial,bango-file
Dic.dat,53,105,10??년,inspection-text-partial,bango-file
Dic.dat,54,107,10??연,inspection-text-partial,bango-file
Dic.dat,55,109,10JIL,inspection-text-partial,bango-file
Dic.dat,56,111,18 ??,inspection-text-partial,bango-file
Dic.dat,57,113,18 ????,inspection-text-partial,bango-file
Dic.dat,58,115,18 ??끼,inspection-text-partial,bango-file
Dic.dat,59,117,18 ????,inspection-text-partial,bango-file
Dic.dat,60,119,18 ??리,inspection-text-partial,bango-file
Dic.dat,61,121,18 ????,inspection-text-partial,bango-file
Dic.dat,62,123,18 ????,inspection-text-partial,bango-file
Dic.dat,63,125,18 ??끼,inspection-text-partial,bango-file
Dic.dat,64,127,18 ??리,inspection-text-partial,bango-file
Dic.dat,65,129,18 ??끼,inspection-text-partial,bango-file
Dic.dat,66,131,18 ????,inspection-text-partial,bango-file
Dic.dat,67,133,18 ??끼,inspection-text-partial,bango-file
Dic.dat,68,135,18??,inspection-text-partial,bango-file
Dic.dat,69,137,18??,inspection-text-partial,bango-file
Dic.dat,70,139,18??,inspection-text-partial,bango-file
Dic.dat,71,141,18??,inspection-text-partial,bango-file
Dic.dat,72,143,18??,inspection-text-partial,bango-file
Dic.dat,73,145,18??끼,inspection-text-partial,bango-file
Dic.dat,74,147,18??끼,inspection-text-partial,bango-file
Dic.dat,75,149,18????,inspection-text-partial,bango-file
Dic.dat,76,151,18??리,inspection-text-partial,bango-file
Dic.dat,77,153,18????,inspection-text-partial,bango-file
Dic.dat,78,155,18????,inspection-text-partial,bango-file
Dic.dat,79,157,18??리,inspection-text-partial,bango-file
Dic.dat,80,159,18????,inspection-text-partial,bango-file
Dic.dat,81,161,18??끼,inspection-text-partial,bango-file
Dic.dat,82,163,18????,inspection-text-partial,bango-file
Dic.dat,83,165,18??끼,inspection-text-partial,bango-file
Dic.dat,84,167,1??간 10만원,inspection-text-partial,bango-file
Dic.dat,85,169,1??간 15만원,inspection-text-partial,bango-file
Dic.dat,86,171,1??간10,inspection-text-partial,bango-file
Dic.dat,87,173,1??리,inspection-text-partial,bango-file
Dic.dat,88,175,??자??,inspection-text-partial,bango-file
Dic.dat,89,177,2/30,inspection-text-partial,bango-file
Dic.dat,90,179,2??간 20만원,inspection-text-partial,bango-file
Dic.dat,91,181,2??간 30만원,inspection-text-partial,bango-file
Dic.dat,92,183,2C ??,inspection-text-partial,bango-file
Dic.dat,93,185,2C8,inspection-text-partial,bango-file
Dic.dat,94,187,2C??,inspection-text-partial,bango-file
Dic.dat,95,189,4KKASI,inspection-text-partial,bango-file
Dic.dat,96,191,588,inspection-text-partial,bango-file
Dic.dat,97,193,892,inspection-text-partial,bango-file
Dic.dat,98,195,99BB,inspection-text-partial,bango-file
Dic.dat,99,197,????????????,inspection-text-partial,bango-file
Dic.dat,100,199,??????,inspection-text-partial,bango-file
Dic.dat,101,201,??????,inspection-text-partial,bango-file
Dic.dat,102,203,??????,inspection-text-partial,bango-file
Dic.dat,103,205,??????,inspection-text-partial,bango-file
Dic.dat,104,207,????????????,inspection-text-partial,bango-file
Dic.dat,105,209,??????????,inspection-text-partial,bango-file
Dic.dat,106,211,??????ㅐ ??,inspection-text-partial,bango-file
Dic.dat,107,213,????지 ??,inspection-text-partial,bango-file
Dic.dat,108,215,????지??,inspection-text-partial,bango-file
Dic.dat,109,217,????넘,inspection-text-partial,bango-file
Dic.dat,110,219,????년,inspection-text-partial,bango-file
Dic.dat,111,221,????놈,inspection-text-partial,bango-file
Dic.dat,112,223,????늠,inspection-text-partial,bango-file
Dic.dat,113,225,?????? ??,inspection-text-partial,bango-file
Dic.dat,114,227,????????,inspection-text-partial,bango-file
Dic.dat,115,229,??ㅏ??,inspection-text-partial,bango-file
Dic.dat,116,231,??ㅐ 가 ,inspection-text-partial,bango-file
Dic.dat,117,233,??ㅐ ??,inspection-text-partial,bango-file
Dic.dat,118,235,??ㅐ ??,inspection-text-partial,bango-file
Dic.dat,119,237,??ㅐ ??,inspection-text-partial,bango-file
Dic.dat,120,239,??ㅐ ??,inspection-text-partial,bango-file
Dic.dat,121,241,??ㅐ ??,inspection-text-partial,bango-file
Dic.dat,122,243,??ㅐ ??ㅑ,inspection-text-partial,bango-file
Dic.dat,123,245,??ㅐ ????,inspection-text-partial,bango-file
Dic.dat,124,247,??ㅐ 조옷,inspection-text-partial,bango-file
Dic.dat,125,249,??ㅐ 지 ??,inspection-text-partial,bango-file
Dic.dat,126,251,??ㅐ 지??,inspection-text-partial,bango-file
Dic.dat,127,253,??ㅐ??ㅏ,inspection-text-partial,bango-file
Dic.dat,128,255,??ㅐ가,inspection-text-partial,bango-file
Dic.dat,129,257,??ㅐ??,inspection-text-partial,bango-file
Dic.dat,130,259,??ㅐ??,inspection-text-partial,bango-file
Dic.dat,131,261,??ㅐ??,inspection-text-partial,bango-file
Dic.dat,132,263,??ㅐ??,inspection-text-partial,bango-file
Dic.dat,133,265,??ㅐ??,inspection-text-partial,bango-file
Dic.dat,134,267,??ㅐ??ㅐ??ㅣ,inspection-text-partial,bango-file
Dic.dat,135,269,??ㅐ??ㅐ??,inspection-text-partial,bango-file
Dic.dat,136,271,??ㅐ??ㅑ,inspection-text-partial,bango-file
Dic.dat,137,273,??ㅐ??ㄲ??,inspection-text-partial,bango-file
Dic.dat,138,275,??ㅐ??끼,inspection-text-partial,bango-file
Dic.dat,139,277,??ㅐ????,inspection-text-partial,bango-file
Dic.dat,140,279,??ㅐ조옷,inspection-text-partial,bango-file
Dic.dat,141,281,??ㅐ지 ??,inspection-text-partial,bango-file
Dic.dat,142,283,??ㅐ지??,inspection-text-partial,bango-file
Dic.dat,143,285,??ㅣ ????,inspection-text-partial,bango-file
Dic.dat,144,287,??ㅣ집애,inspection-text-partial,bango-file
Dic.dat,145,289,??H??,inspection-text-partial,bango-file
Dic.dat,146,291,??R??,inspection-text-partial,bango-file
Dic.dat,147,293,??R??R??,inspection-text-partial,bango-file
Dic.dat,148,295,????,inspection-text-partial,bango-file
Dic.dat,149,297,가??이,inspection-text-partial,bango-file
Dic.dat,150,299,가????,inspection-text-partial,bango-file
Dic.dat,151,301,가??,inspection-text-partial,bango-file
Dic.dat,152,303,가??,inspection-text-partial,bango-file
Dic.dat,153,305,가??슴,inspection-text-partial,bango-file
Dic.dat,154,307,가??교??,inspection-text-partial,bango-file
Dic.dat,155,309,가??,inspection-text-partial,bango-file
Dic.dat,156,311,가??년,inspection-text-partial,bango-file
Dic.dat,157,313,가??놈,inspection-text-partial,bango-file
Dic.dat,158,315,갈보,inspection-text-partial,bango-file
Dic.dat,159,317,갈켜줄??,inspection-text-partial,bango-file
Dic.dat,160,319,갈켜줄여,inspection-text-partial,bango-file
Dic.dat,161,321,강간,inspection-text-partial,bango-file
Dic.dat,162,323,강간??,inspection-text-partial,bango-file
Dic.dat,163,325,같?? ??,inspection-text-partial,bango-file
Dic.dat,164,327,같?? ??,inspection-text-partial,bango-file
Dic.dat,165,329,같????,inspection-text-partial,bango-file
Dic.dat,166,331,같????,inspection-text-partial,bango-file
Dic.dat,167,333,같이 ??자,inspection-text-partial,bango-file
Dic.dat,168,335,같이??자,inspection-text-partial,bango-file
Dic.dat,169,337,??가 ??,inspection-text-partial,bango-file
Dic.dat,170,339,??꼬치,inspection-text-partial,bango-file
Dic.dat,171,341,????,inspection-text-partial,bango-file
Dic.dat,172,343,????,inspection-text-partial,bango-file
Dic.dat,173,345,????,inspection-text-partial,bango-file
Dic.dat,174,347,????,inspection-text-partial,bango-file
Dic.dat,175,349,????,inspection-text-partial,bango-file
Dic.dat,176,351,????,inspection-text-partial,bango-file
Dic.dat,177,353,??????,inspection-text-partial,bango-file
Dic.dat,178,355,????슥,inspection-text-partial,bango-file
Dic.dat,179,357,??????????,inspection-text-partial,bango-file
Dic.dat,180,359,????,inspection-text-partial,bango-file
Dic.dat,181,361,??????,inspection-text-partial,bango-file
Dic.dat,182,363,??????,inspection-text-partial,bango-file
Dic.dat,183,365,????끼,inspection-text-partial,bango-file
Dic.dat,184,367,????,inspection-text-partial,bango-file
Dic.dat,185,369,??????,inspection-text-partial,bango-file
Dic.dat,186,371,????끼,inspection-text-partial,bango-file
Dic.dat,187,373,??????,inspection-text-partial,bango-file
Dic.dat,188,375,????끼,inspection-text-partial,bango-file
Dic.dat,189,377,????키,inspection-text-partial,bango-file
Dic.dat,190,379,??????,inspection-text-partial,bango-file
Dic.dat,191,381,??????,inspection-text-partial,bango-file
Dic.dat,192,383,????끼,inspection-text-partial,bango-file
Dic.dat,193,385,????,inspection-text-partial,bango-file
Dic.dat,194,387,????,inspection-text-partial,bango-file
Dic.dat,195,389,????,inspection-text-partial,bango-file
Dic.dat,196,391,????,inspection-text-partial,bango-file
Dic.dat,197,393,????,inspection-text-partial,bango-file
Dic.dat,198,395,????키,inspection-text-partial,bango-file
Dic.dat,199,397,????,inspection-text-partial,bango-file
Dic.dat,200,399,????,inspection-text-partial,bango-file
Dic.dat,201,401,????,inspection-text-partial,bango-file
Dic.dat,202,403,????,inspection-text-partial,bango-file
Dic.dat,203,405,????,inspection-text-partial,bango-file
Dic.dat,204,407,????,inspection-text-partial,bango-file
Dic.dat,205,409,??????,inspection-text-partial,bango-file
Dic.dat,206,411,??????,inspection-text-partial,bango-file
Dic.dat,207,413,????리,inspection-text-partial,bango-file
Dic.dat,208,415,????,inspection-text-partial,bango-file
Dic.dat,209,417,??????,inspection-text-partial,bango-file
Dic.dat,210,419,??????,inspection-text-partial,bango-file
Dic.dat,211,421,????기,inspection-text-partial,bango-file
Dic.dat,212,423,????끼,inspection-text-partial,bango-file
Dic.dat,213,425,????키,inspection-text-partial,bango-file
Dic.dat,214,427,????,inspection-text-partial,bango-file
Dic.dat,215,429,????,inspection-text-partial,bango-file
Dic.dat,216,431,???? ??,inspection-text-partial,bango-file
Dic.dat,217,433,???? ??,inspection-text-partial,bango-file
Dic.dat,218,435,???? ??,inspection-text-partial,bango-file
Dic.dat,219,437,???? ??,inspection-text-partial,bango-file
Dic.dat,220,439,???? ??,inspection-text-partial,bango-file
Dic.dat,221,441,??????,inspection-text-partial,bango-file
Dic.dat,222,443,??????,inspection-text-partial,bango-file
Dic.dat,223,445,??????,inspection-text-partial,bango-file
Dic.dat,224,447,??????,inspection-text-partial,bango-file
Dic.dat,225,449,??????,inspection-text-partial,bango-file
Dic.dat,226,451,????,inspection-text-partial,bango-file
Dic.dat,227,453,????,inspection-text-partial,bango-file
Dic.dat,228,455,??????,inspection-text-partial,bango-file
Dic.dat,229,457,????키,inspection-text-partial,bango-file
Dic.dat,230,459,??????,inspection-text-partial,bango-file
Dic.dat,231,461,??????,inspection-text-partial,bango-file
Dic.dat,232,463,??????,inspection-text-partial,bango-file
Dic.dat,233,465,????,inspection-text-partial,bango-file
Dic.dat,234,467,??????,inspection-text-partial,bango-file
Dic.dat,235,469,??????,inspection-text-partial,bango-file
