drp_azon,drp_group1,drp_group2,drp_chance1,drp_chance2,drp_item,drp_monst,drp_rev
0,1,1,60,92,276,1,"2"
1,1,1,60,4,277,1,
2,1,1,60,4,278,1,
3,1,2,10,40,276,1,"4"
4,1,2,10,10,174,1,"Forced"
5,1,2,10,10,174,1,"Unlawful"
6,1,2,10,10,246,1,"Fictional"
7,1,2,10,10,246,1,"Sharp"
8,1,2,10,10,216,1,"Agile"
9,1,2,10,10,216,1,"Reflective"
10,1,3,1,2,314,1,
11,1,3,1,2,315,1,
12,1,3,1,2,376,1,
13,1,3,1,5,379,1,
14,1,4,20,50,280,1,
15,1,4,20,5,281,1,
16,1,4,20,5,298,1,
17,2,1,60,86,276,2,"3"
18,2,1,60,4,277,2,
19,2,1,60,2,175,2,
20,2,1,60,2,217,2,
21,2,1,60,2,247,2,
22,2,1,60,4,278,2,
23,2,2,10,40,276,2,"4"
24,2,2,10,10,174,2,"Forced"
25,2,2,10,10,174,2,"Unlawful"
26,2,2,10,10,246,2,"Fictional"
27,2,2,10,10,246,2,"Sharp"
28,2,2,10,10,216,2,"Agile"
29,2,2,10,10,216,2,"Reflective"
30,2,3,1,2,314,2,
31,2,3,1,2,315,2,
32,2,3,1,2,376,2,
33,2,3,1,5,379,2,
34,2,4,20,50,280,2,
35,2,4,20,5,281,2,
36,2,4,20,5,298,2,
37,3,1,60,85.699997,276,3,"3"
38,3,1,60,4,277,3,
39,3,1,60,2.0999999,175,3,
40,3,1,60,2.0999999,217,3,
41,3,1,60,2.0999999,247,3,
42,3,1,60,4,278,3,
43,3,2,10,52.900002,276,3,"4"
44,3,2,10,15,174,3,"Forced"
45,3,2,10,15,216,3,"Agile"
46,3,2,10,15,246,3,"Fictional"
47,3,2,10,0.2,175,3,"Forced"
48,3,2,10,0.2,217,3,"Forced"
49,3,2,10,0.2,247,3,"Fictional"
50,3,2,10,0.2,175,3,"Agile"
51,3,2,10,0.2,217,3,"Agile"
52,3,2,10,0.2,247,3,"Agile"
53,3,2,10,0.1,8,3,"Vigorous"
54,3,2,10,0.1,2,3,"Vigorous"
55,3,2,10,0.1,14,3,"Confirmatory"
56,3,2,10,0.1,176,3,"Wondering Knights"
57,3,2,10,0.1,218,3,"Wondering Archers"
58,3,2,10,0.1,248,3,"Beginning Scholars"
59,3,2,10,0.1,176,3,"Veteran Knights"
60,3,2,10,0.1,218,3,"Veteran Archers"
61,3,2,10,0.1,248,3,"Veteran Scholars"
62,3,3,1,2,314,3,
63,3,3,1,2,315,3,
64,3,3,1,2,376,3,
65,3,3,1,5,379,3,
66,3,4,20,50,280,3,
67,3,4,20,5,281,3,
68,3,4,20,5,298,3,
69,4,1,60,84.800003,276,4,"4"
70,4,1,60,4,277,4,
71,4,1,60,4,278,4,
72,4,1,60,2.4000001,175,4,
73,4,1,60,2.4000001,217,4,
74,4,1,60,2.4000001,247,4,
75,4,2,11,52.900002,276,4,"4"
76,4,2,11,15,174,4,"Forced"
77,4,2,11,15,216,4,"Agile"
78,4,2,11,15,246,4,"Fictional"
79,4,2,11,0.2,175,4,"Forced"
80,4,2,11,0.2,217,4,"Forced"
81,4,2,11,0.2,247,4,"Fictional"
82,4,2,11,0.2,175,4,"Agile"
83,4,2,11,0.2,217,4,"Agile"
84,4,2,11,0.2,247,4,"Agile"
85,4,2,11,0.1,8,4,"Vigorous"
86,4,2,11,0.1,2,4,"Vigorous"
87,4,2,11,0.1,14,4,"Confirmatory"
88,4,2,11,0.1,176,4,"Wondering Knights"
89,4,2,11,0.1,218,4,"Wondering Archers"
90,4,2,11,0.1,248,4,"Beginning Scholars"
91,4,2,11,0.1,176,4,"Veteran Knights"
92,4,2,11,0.1,218,4,"Veteran Archers"
93,4,2,11,0.1,248,4,"Veteran Scholars"
94,4,3,1,2,314,4,
95,4,3,1,2,315,4,
96,4,3,1,2,376,4,
97,4,3,1,5,379,4,
98,4,4,10,10,281,4,
99,4,4,10,10,298,4,
100,5,1,60,88.099998,276,5,"6"
101,5,1,60,4,277,5,
102,5,1,60,1.3,8,5,
103,5,1,60,1.3,2,5,
104,5,1,60,1.3,14,5,
105,5,1,60,4,278,5,
106,5,2,10,96.099998,276,5,"7"
107,5,2,10,0.60000002,175,5,"Forced"
108,5,2,10,0.60000002,175,5,"Unlawful"
109,5,2,10,0.60000002,247,5,"Fictional"
110,5,2,10,0.60000002,247,5,"Sharp"
111,5,2,10,0.60000002,217,5,"Agile"
112,5,2,10,0.60000002,217,5,"Reflective"
113,5,2,10,0.1,176,5,"Veteran Knights"
114,5,2,10,0.1,218,5,"Veteran Archers"
115,5,2,10,0.1,248,5,"Veteran Scholars"
116,5,3,1,2,314,5,
117,5,3,1,2,315,5,
118,5,3,1,2,376,5,
119,5,3,1,5,379,5,
120,5,4,10,10,281,5,
121,5,4,10,10,298,5,
122,6,1,60,87.900002,276,6,"8"
123,6,1,60,4,277,6,
124,6,1,60,0.40000001,176,6,
125,6,1,60,0.2,248,6,
126,6,1,60,6,278,6,
127,6,1,60,0.2,8,6,
128,6,1,60,0.2,11,6,
129,6,1,60,0.2,10,6,
130,6,1,60,0.2,9,6,
131,6,1,60,0.2,12,6,
132,6,1,60,0.1,14,6,
133,6,1,60,0.1,17,6,
134,6,1,60,0.1,16,6,
135,6,1,60,0.1,15,6,
136,6,1,60,0.1,18,6,
137,6,2,1,96.5,276,6,"10"
138,6,2,1,0.5,176,6,"Heavy Blows"
139,6,2,1,0.40000001,176,6,"The Powerful"
140,6,2,1,0.40000001,176,6,"Explosive"
141,6,2,1,0.40000001,176,6,"Exterminated"
142,6,2,1,0.2,248,6,"Fundamental"
143,6,2,1,0.2,248,6,"Powerful"
144,6,2,1,0.2,248,6,"Mighty"
145,6,2,1,0.2,248,6,"Cruel"
146,6,2,1,0.2,26,6,"Healthy"
147,6,2,1,0.2,26,6,"Vigorous"
148,6,2,1,0.2,32,6,"Fixed"
149,6,2,1,0.2,176,6,"Veteran Knights"
150,6,2,1,0.2,176,6,"Strong Knights"
151,6,3,1,2,314,6,
152,6,3,1,2,315,6,
153,6,3,1,2,376,6,
154,6,3,1,5,379,6,
155,6,4,10,10,281,6,
156,6,4,10,10,298,6,
157,7,1,60,97.900002,276,7,"8"
158,7,1,60,6,277,7,
159,7,1,60,0.40000001,218,7,
160,7,1,60,0.2,248,7,
161,7,1,60,6,278,7,
162,7,1,60,0.2,2,7,
163,7,1,60,0.2,5,7,
164,7,1,60,0.2,4,7,
165,7,1,60,0.2,3,7,
166,7,1,60,0.2,6,7,
167,7,1,60,0.1,14,7,
168,7,1,60,0.1,17,7,
169,7,1,60,0.1,16,7,
170,7,1,60,0.1,15,7,
171,7,1,60,0.1,18,7,
172,7,2,1,96.400002,276,7,"11"
