ita_azon,ita_itype,ita_grade,ita_class,ita_type,ita_name,ita_lvllim,ita_rev,ita_price,ita_pic,ita_pic2,ita_3d
98,1,"G46","Knight","Armor","Intensified Steel Armor",43,"||||||||||||15|36|4","210.800","-",26,"CW_6_a01.gb#111$Tex\CW_6_a01.GTX#Tex\CW_6_a02.GTX$0#0#1#1$-1$0"
99,1,"G46","Knight","Boots","Intensified Steel Boots",37,"||||||||||||17|27|2","102.400","-",29,"CW_6_s01.gb#200$Tex\CW_6_s01.GTX$0#0$0$0"
100,1,"G46","Knight","Gloves","Intensified Steel Gloves",35,"||||||||||||4|33|1","87.200","-",28,"CW_6_g01.gb#182$Tex\CW_6_g01.GTX$0$0$0"
101,1,"G46","Knight","Helmet","Intensified Steel Helmet",39,"||||||||||||7|35|1","117.200","-",27,"CW_6_h01.gb#200$Tex\CW_6_h01=.GTX$0#0$0$0"
102,1,"G46","Knight","Shorts","Intensified Steel Shorts",41,"||||||||||||17|24|2","178.000","-",30,"CW_6_p01.gb#200$Tex\CW_6_p01.GTX$0#0$0$0"
103,0,"G46","Magician","All","BeeDan DaeChangEau",35,"||||||||||||75|95|0|19|19|19|13|13","695.600","ita_m06",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
104,1,"G46","Magician","Armor","BeeDan DaeChangEau Clothes",43,"||||||||||||19|22|0|5|5|5|2|2","210.800","-",116,"CR_6_a01.gb#236$Tex\CR_6_a01.GTX$0#0#0#0$0$0"
105,1,"G46","Magician","Boots","BeeDan DaeChangEau Boots",37,"||||||||||||18|20|0|3|3|3|3|3","102.400","-",119,"CR_6_s01.gb#182$Tex\CR_6_s01.GTX$0$0$0"
106,1,"G46","Magician","Gloves","BeeDan DaeChangEau Gloves",35,"||||||||||||8|18|0|4|4|4|3|3","87.200","-",118,"CR_6_g01.gb#200$Tex\CR_6_g01.GTX$0#0$0$0"
107,1,"G46","Magician","Helmet","BeeDan DaeChangEau Hair Decoration",39,"||||||||||||10|18|0|4|4|4|2|2","117.200","-",117,"CR_6_h01.gb#200$Tex\CR_6_h01.GTX$0#0$0$0"
108,1,"G46","Magician","Shorts","BeeDan DaeChangEau Shorts",41,"||||||||||||20|17|0|3|3|3|3|3","178.000","-",120,"CR_6_p01.gb#182$Tex\CR_6_p01.GTX$0$0$0"
109,0,"G50","Archer","All","Diamond Armor",46,"1|4|||4||||||||93|151|7","0","ita_a07",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
110,1,"G50","Archer","Armor","Diamond Armor",50,"|2|||3||||||||16|46|3","0","-",76,"CM_7_a01.gb#200$Tex\CM_7_a01.GTX$0#0$0$0"
111,1,"G50","Archer","Boots","Diamond Boots",47,"||||1||||||||26|28|1","0","-",79,"CM_7_s01.gb#200$Tex\CM_7_s01.GTX$0#0$0$0"
112,1,"G50","Archer","Gloves","Diamond Gloves",46,"1||||||||||||9|28|1","0","-",78,"CM_7_g01.gb#182$Tex\CM_7_g01.GTX$0$0$0"
113,1,"G50","Archer","Helmet","Diamond Hood",48,"|1|||||||||||10|30|1","0","-",77,"CM_7_h01.gb#218$Tex\CM_7_h01.GTX#Tex\CM_7_h02.GTX$1#0#0$0$0"
114,1,"G50","Archer","Shorts","Diamond Shorts",49,"|1|||||||||||32|19|1","0","-",80,"CM_7_p01.gb#200$Tex\CM_7_p01.GTX$0#0$0$0"
115,0,"G50","Knight","All","Diamond Scaled Armor",46,"4|4|||1||||||||70|189|13","0","ita_k07",,"CW_0_f01.gb#182$Tex\CW_0_f01.GTX$0$0$0"
116,1,"G50","Knight","Armor","Diamond Scaled Armor",50,"3|2|||||||||||17|44|5","0","-",31,"CW_7_a01.gb#290$Tex\CW_7_a01.GTX#Tex\CW_7_a02.GTX#Tex\CW_7_g01.GTX$0#1#1#1#0#0#2$0$0"
117,1,"G50","Knight","Boots","Diamond Scaled Boots",47,"||||1||||||||19|32|2","0","-",34,"CW_7_s01.gb#182$Tex\CW_7_s01.GTX$0$0$0"
118,1,"G50","Knight","Gloves","Diamond Scaled Gloves",46,"1||||||||||||6|43|1","0","-",33,"CW_7_g01.gb#182$Tex\CW_7_g01.GTX$0$0$0"
119,1,"G50","Knight","Helmet","Diamond Scaled Helmet",48,"|1|||||||||||9|42|2","0","-",32,"CW_7_h01.gb#200$Tex\CW_7_h01.GTX$0#0$0$0"
120,1,"G50","Knight","Shorts","Diamond Scaled Shorts",49,"|1|||||||||||19|28|3","0","-",35,"CW_7_p01.gb#200$Tex\CW_7_p01.GTX$0#0$0$0"
121,0,"G50","Magician","All","White DaeChangEau",46,"|4|3|2|||||||||91|122|0|21|21|21|15|15","0","ita_m07",,"CR_0_f01.gb#182$Tex\CR_0_f01.GTX$0$0$0"
122,1,"G50","Magician","Armor","White DaeChangEau Clothes",50,"|2|3||||||||||23|29|0|6|6|6|3|3","0","-",121,"CR_7_a01.gb#308$Tex\CR_7_a01.GTX#Tex\CR_7_a02.GTX$0#0#0#0#1#1#1#1$0$0"
123,1,"G50","Magician","Boots","White DaeChangEau Boots",47,"|||1|||||||||21|26|0|3|3|3|3|3","0","-",124,"CR_7_s01.gb#200$Tex\CR_7_s01.GTX$0#0$0$0"
124,1,"G50","Magician","Gloves","White DaeChangEau Gloves",46,"|||1|||||||||10|23|0|4|4|4|3|3","0","-",123,"CR_7_g01.gb#200$Tex\CR_7_g01.GTX$0#0$0$0"
125,1,"G50","Magician","Helmet","White DaeChangEau Hair Decoration",48,"|1|||||||||||12|23|0|5|5|5|2|2","0","-",122,"CR_7_h01.gb#200$Tex\CR_7_h01.GTX$0#0$0$0"
126,1,"G50","Magician","Shorts","White DaeChangEau Shorts",49,"|1|||||||||||25|21|0|3|3|3|3|3","0","-",125,"CR_7_p01.gb#200$Tex\CR_7_p01.GTX$0#0$0$0"
127,0,"G55","Archer","All","Armor of Doggebi",51,"2|7|||6||||||||115|176|11","0","ita_a08",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
128,1,"G55","Archer","Armor","Armor of Doggebi",55,"|3|||4||||||||19|54|4","0","-",81,"CM_8_a01.gb#200$Tex\CM_8_a01.GTX$0#0$0$0"
129,1,"G55","Archer","Boots","Boots of Doggebi",52,"||||2||||||||34|32|1","0","-",84,"CM_8_s01.gb#182$Tex\CM_8_s01.GTX$0$0$0"
130,1,"G55","Archer","Gloves","Gloves of Doggebi",51,"2||||||||||||11|33|2","0","-",83,"CM_8_g01.gb#182$Tex\CM_8_g01.GTX$0$0$0"
1,0,"G08","Archer","All","Leather Armor",1,"||||||||||||15|23|0","510","ita_a01",,"CM_0_f01.gb#182$Tex\CM_0_f01.GTX$0$0$0"
2,1,"G08","Archer","Armor","Leather Armor",1,"||||||||||||0|9|0","200","-",46,"CM_1_a01.gb#182$Tex\CM_1_a01.GTX$0$0$0"
3,1,"G08","Archer","Boots","Leather Armor Boots",1,"||||||||||||5|4|0","110","-",49,"CM_1_s01.gb#182$Tex\CM_1_s01.GTX$0$0$0"
4,1,"G08","Archer","Gloves","Leather Armor Gloves",1,"||||||||||||1|4|0","50","-",48,"CM_1_g01.gb#182$Tex\CM_1_g01.GTX$0$0$0"
5,1,"G08","Archer","Helmet","Leather Armor Hood",1,"||||||||||||2|4|0","90","-",47,"CM_1_h01.gb#182$Tex\CM_1_h01_1.GTX$0$0$0"
