leg_id,leg_stat
"G01","1 / 1 / 1"
"G02","2 / 1 / 1"
"G03","2 / 1 / 1"
"G04","3 / 2 / 1"
"G05","3 / 2 / 1"
"G06","4 / 2 / 2"
"G07","4 / 2 / 2"
"G08","5 / 3 / 2"
"G09","5 / 3 / 2"
"G10","6 / 3 / 2"
"G11","6 / 3 / 2"
"G12","7 / 4 / 3"
"G13","7 / 4 / 3"
"G14","8 / 4 / 3"
"G15","8 / 4 / 3"
"G16","9 / 5 / 3"
"G17","9 / 5 / 3"
"G18","10 / 5 / 4"
"G19","10 / 5 / 4"
"G20","11 / 6 / 4"
"G21","11 / 6 / 4"
"G22","12 / 6 / 4"
"G23","12 / 6 / 4"
"G24","13 / 7 / 5"
"G25","13 / 7 / 5"
"G26","14 / 7 / 5"
"G27","14 / 7 / 5"
"G28","15 / 8 / 5"
"G29","15 / 8 / 5"
"G30","16 / 8 / 6"
"G31","16 / 8 / 6"
"G32","17 / 9 / 6"
"G33","17 / 9 / 6"
"G34","18 / 9 / 6"
"G35","18 / 9 / 6"
"G36","19 / 10 / 7"
"G37","19 / 10 / 7"
"G38","20 / 10 / 7"
"G39","20 / 10 / 7"
"G40","22 / 12 / 8"
"G41","22 / 12 / 8"
"G42","23 / 12 / 8"
"G43","23 / 12 / 8"
"G44","23 / 13 / 8"
"G45","23 / 13 / 8"
"G46","23 / 13 / 9"
"G47","23 / 13 / 9"
"G48","24 / 14 / 9"
"G49","24 / 14 / 9"
"G50","25 / 14 / 9"
"G51","25 / 14 / 9"
"G52","27 / 17 / 11"
"G53","27 / 17 / 11"
"G54","27 / 17 / 12"
"G55","27 / 17 / 12"
"G56","27 / 18 / 13"
"G57","27 / 18 / 13"
"G58","28 / 18 / 13"
"G59","28 / 18 / 13"
"G60","28 / 19 / 13"
"G61","28 / 19 / 13"
"G62","31 / 22 / 17"
"G63","31 / 22 / 17"
"G64","32 / 22 / 18"
"G65","32 / 22 / 18"
"G66","33 / 23 / 19"
"G67","33 / 23 / 19"
"G68","34 / 24 / 20"
"G69","34 / 24 / 20"
"G70","35 / 25 / 21"
"G71","35 / 25 / 21"
"G72","37 / 26 / 22"
"G73","37 / 26 / 22"
"G74","39 / 27 / 23"
"G75","39 / 27 / 23"
"G76","41 / 28 / 24"
"G77","41 / 28 / 24"
"G78","43 / 29 / 25"
"G79","43 / 29 / 25"
"G80","45 / 30 / 26"
