lpl_id,lpl_exp
"L01","5"
"L02","24"
"L03","60"
"L04","80"
"L05","164"
"L06","271"
"L07","407"
"L08","579"
"L09","794"
"L10","1125"
"L11","1543"
"L12","2068"
"L13","2722"
"L14","3534"
"L15","4563"
"L16","5830"
"L17","7385"
"L18","9286"
"L19","11607"
"L20","17493"
"L21","21845"
"L22","27147"
"L23","33593"
"L24","41416"
"L25","51341"
"L26","63394"
"L27","78005"
"L28","95696"
"L29","117090"
"L30","166758"
"L31","203151"
"L32","247043"
"L33","299942"
"L34","363659"
"L35","440404"
"L36","532757"
"L37","643849"
"L38","777437"
"L39","938032"
"L40","1211834"
"L41","1460324"
"L42","1758856"
"L43","2117449"
"L44","2548126"
"L45","3065315"
"L46","3686331"
"L47","4431950"
"L48","5327106"
"L49","6401717"
"L50","10255633"
"L51","12320243"
"L52","14798389"
"L53","17772795"
"L54","21342730"
"L55","25627317"
"L56","30769501"
"L57","36940820"
"L58","44347118"
"L59","53235407"
"L60","63902104"
"L61","76702906"
"L62","92064653"
"L63","110499551"
"L64","132622249"
"L65","159170373"
"L66","191028978"
"L67","229260177"
"L68","275138508"
"L69","330193415"
"L70","396260232"
"L71","1188853398"
"L72","1426699190"
"L73","1712116603"
"L74","2054620005"
"L75","2465626643"
"L76","2958837208"
"L77","3550692535"
"L78","4260921625"
"L79","5113199283"
"L80","12271870776"
"L81","14726443120"
"L82","17671935710"
"L83","21206532706"
"L84","31810068850"
"L85","38172360013"
"L86","45807117133"
"L87","54968833525"
"L88","65962901170"
"L89","94986948540"
"L90","113984718984"
"L91","136782053544"
"L92","164138865195"
"L93","196967049519"
"L94","315147841592"
"L95","378177986472"
"L96","453814174732"
"L97","544577615260"
"L98","653493758732"
"L99","980241432400"
