mon_azon,mon_name,mon_group,mon_lvl,mon_hp,mon_ai,mon_range,mon_sight1,mon_sight2,mon_exp,mon_str,mon_hea,mon_int,mon_wis,mon_agi,mon_mp,mon_attspd,mon_otp,mon_eva,mon_minatt,mon_maxatt,mon_mag1,mon_mag2,mon_def1,mon_def2,mon_absorb,mon_move1,mon_move2,mon_res1,mon_res2,mon_res3,mon_res4,mon_res5,mon_pic,mon_3d
1,"Demon Vulgar",1,1,133,1,20,160,240,2,21,1,10,10,2,70,2400,0,0,7,7,0,0,0,0,0,1600,800,,,,,,1,"M001_B1.gb#57$Tex\M001.GTX$0$-1$0 M001_H1.gb#57$Tex\M001.GTX$0$-1$0"
2,"Demon Scout",1,3,168,1,16,160,240,4,27,2,10,10,4,70,2400,0,0,8,8,0,0,1,1,0,1600,800,0,0,1,1,1,2,"M002_B1.gb#57$Tex\M002.GTX$0$-1$0 M002_H1.gb#57$Tex\M002.GTX$0$-1$0"
3,"Demon Spearhead",1,4,186,1,20,160,240,6,30,3,10,10,6,70,2400,2,0,9,9,0,0,2,2,0,1600,800,0,0,1,1,1,3,"M003_B1.gb#57$Tex\M003.GTX$0$-1$0 M003_H1.gb#57$Tex\M003.GTX$0$-1$0"
4,"Demon Plunderer",1,5,207,1,16,160,240,9,33,4,10,10,8,70,2000,5,0,12,12,0,0,4,4,0,1600,800,1,1,2,2,2,4,"M004_B1.gb#57$Tex\M004.GTX$0$-1$0 M004_H1.gb#57$Tex\M004.GTX$0$-1$0"
5,"Wild Small Demon",1,6,243,1,16,160,240,12,36,5,10,10,10,70,1600,5,0,13,13,0,0,5,5,0,1600,800,1,1,3,3,3,5,"M005_B1.gb#57$Tex\M012.GTX$0$-1$0 M005_H1.gb#57$Tex\M012.GTX$0$-1$0"
6,"Demon Escort Soldier",1,8,289,2,20,160,240,16,42,7,10,10,10,70,1600,7,1,16,16,0,0,6,6,1,1600,800,2,2,3,3,3,6,"M006_B1.gb#57$Tex\M013.GTX$0$-1$0 M006_H1.gb#57$Tex\M013.GTX$0$-1$0"
7,"Demon Escort Archer",1,8,314,2,96,160,240,18,42,9,10,10,17,72,2000,7,3,18,18,0,0,8,8,1,1600,800,3,3,4,4,4,7,"M007_B1.gb#57$Tex\M014.GTX$0$-1$0 M007_H1.gb#57$Tex\M014.GTX$0$-1$0"
8,"Demon Scout Commander",1,9,338,2,20,160,240,22,48,11,10,10,14,70,1600,10,5,23,23,0,0,10,10,1,1600,800,5,5,7,7,7,9,"M008_B1.gb#57$Tex\M015.GTX$0$-1$0 M008_H1.gb#57$Tex\M015.GTX$0$-1$0"
9,"Suicide Bomber",1,11,373,1,20,160,320,27,42,13,12,12,12,90,1600,13,7,29,29,0,0,12,12,1,1600,800,4,4,6,6,6,8,"M009_B1.gb#75$Tex\M009.GTX#Tex\M009_1.GTX$0#1$-1$0 M009_H1.gb#57$Tex\M009.GTX$0$-1$0"
10,"Demon Carcass Scavenger",3,13,400,1,28,160,320,31,52,15,8,8,21,70,1600,16,9,32,32,0,0,14,14,2,1600,800,6,6,9,9,9,13,"M010_B1.gb#57$Tex\M010_a.GTX$0$-1$0 M010_H1.gb#57$Tex\M010_a.GTX$0$-1$0"
11,"Big Handed Inhabitant",2,14,434,1,28,160,320,35,56,17,16,12,12,70,2000,16,10,41,41,0,0,16,16,2,1600,800,7,7,9,9,9,10,"M025_B1.gb#57$Tex\M025.GTX$0$-1$0"
12,"Big Handed Slave",2,15,473,1,28,160,320,38,60,19,16,12,12,70,2000,18,13,46,46,0,0,18,18,2,1600,800,8,8,10,10,10,11,"M026_B1.gb#75$Tex\M026.GTX$0#0$-1$0"
13,"Naughty Doggebi",18,15,,1,28,160,320,10,52,15,8,8,21,70,1600,16,9,32,32,0,0,14,14,2,1600,800,6,6,9,9,9,49,"M044_B1.gb#75$Tex\M044.GTX$0#0$-1$0 M044_B2.gb#57$Tex\M044.GTX$0$-1$0 M044_B3.gb#57$Tex\M044.GTX$0$-1$0"
14,"Demon Soldier",3,16,490,1,28,160,320,42,64,21,8,8,21,70,1450,19,14,50,50,0,0,20,20,2,1600,800,9,9,10,10,10,14,"M011_B1.gb#57$Tex\M011_a.GTX$0$-1$0 M011_H1.gb#57$Tex\M011_a.GTX$0$-1$0"
15,"Big Handed Blue Warrior",2,17,525,2,28,160,320,45,66,23,16,12,12,70,1500,18,16,54,54,0,0,21,21,2,1600,800,10,10,11,11,11,12,"M027_B1.gb#57$Tex\M027.GTX$0$-1$0"
16,"Big Handed Red Warrior",2,18,552,2,28,160,320,48,68,23,16,12,12,70,1500,19,17,57,57,0,0,22,22,2,1600,800,10,10,11,11,11,12,"M028_B1.gb#57$Tex\M028.GTX$0$-1$0"
17,"Demon Infantry",3,19,606,1,28,160,320,52,70,25,8,8,21,70,1450,21,18,58,58,0,0,23,23,2,1600,800,11,11,12,12,12,15,"M012_B1.gb#57$Tex\M012_a.GTX$0$-1$0 M012_H1.gb#57$Tex\M012_a.GTX$0$-1$0"
18,"Demon Throwing Soldier",3,20,631,1,96,160,320,55,72,27,8,8,28,70,1450,21,20,62,62,0,0,20,20,2,1600,800,12,12,13,13,13,16,"M013_B1.gb#57$Tex\M013_a.GTX$0$-1$0 M013_H1.gb#57$Tex\M013_a.GTX$0$-1$0"
19,"Wild Demon Soldier",3,21,711,2,28,200,320,60,74,29,8,8,21,70,1350,23,21,66,66,0,0,29,29,2,1600,800,13,13,14,14,14,17,"M014_B1.gb#57$Tex\M014_a.GTX$0$-1$0 M014_H1.gb#57$Tex\M014_a.GTX$0$-1$0"
20,"Demon Shock Trooper",3,22,711,2,28,200,320,65,76,31,8,8,21,70,1350,26,22,70,71,0,0,31,31,2,1600,800,13,13,15,15,15,18,"M015_B1.gb#57$Tex\M015_a.GTX$0$-1$0 M015_H1.gb#57$Tex\M010_a.GTX$0$-1$0"
21,"Demon Flag Bearer",3,23,759,1,28,160,320,71,78,33,8,8,21,70,1350,27,23,74,75,0,0,33,33,2,1600,800,14,14,16,16,16,19,"M016_B1.gb#57$Tex\M016_a.GTX$0$-1$0 M016_H1.gb#57$Tex\M016_a.GTX$0$-1$0"
22,"Demon Water Dragon",4,24,777,1,28,160,320,77,80,35,4,6,24,70,1500,29,25,78,79,0,0,34,34,2,1600,800,15,15,17,17,17,24,"M021_B1.gb#57$Tex\M021.GTX$0$-1$0 M021_B2.gb#57$Tex\M021.GTX$0$-1$0 M021_H1.gb#57$Tex\M021.GTX$0$-1$0"
23,"Demon Band",3,25,803,1,28,160,320,80,81,35,8,8,21,70,1350,31,27,86,87,0,0,35,35,2,1600,800,15,15,18,18,18,20,"M017_B1.gb#57$Tex\M017_a.GTX$0$-1$0 M017_H1.gb#57$Tex\M017_a.GTX$0$-1$0"
24,"Hungry Demon Water Dragon",4,26,827,2,28,200,320,86,82,35,3,6,24,70,1500,32,29,95,96,0,0,36,36,2,1600,800,16,16,18,18,18,25,"M022_B1.gb#57$Tex\M022.GTX$0$-1$0 M022_B2.gb#57$Tex\M022.GTX$0$-1$0 M022_H1.gb#57$Tex\M022.GTX$0$-1$0"
25,"Demon Armored Knight",3,27,864,2,28,106,320,92,84,35,8,8,21,70,1350,34,31,105,107,0,0,37,37,6,1600,800,17,17,19,19,19,21,"M018_B1.gb#57$Tex\M018_a.GTX$0$-1$0 M018_H1.gb#57$Tex\M018_a.GTX$0$-1$0"
26,"Demon Water Dragon Predator",4,28,905,2,28,160,320,99,86,37,4,6,24,70,1500,37,33,111,113,0,0,38,38,6,1600,800,17,17,19,19,19,26,"M023_B1.gb#57$Tex\M023.GTX$0$-1$0 M023_B2.gb#57$Tex\M023.GTX$0$-1$0 M023_H1.gb#57$Tex\M023.GTX$0$-1$0"
