po_azon,po_class,po_megn,po_lvl,po_skills
1,3,"Scholar",1,"7,1"
2,3,"Literary Person",30,"7,1,2"
3,3,"Hermit",50,"7,1,2,3"
4,3,"Chairperson of Joong-Bang",50,"7,1,2,4"
5,3,"Ascetic",70,"7,1,2,3,5"
6,3,"Military Adviser",70,"7,1,2,4,6"
7,3,"Free Magician",0,
8,2,"Wondering Knight",1,"14,8"
9,2,"Apprentice Knight",30,"14,8,9"
10,2,"Vagabond Sword-man",50,"14,8,9,10"
11,2,"Commander",50,"14,8,9,11"
12,2,"God of Sword",70,"14,8,9,10,12"
13,2,"General",70,"14,8,9,11,13"
14,2,"Free Knight",0,
15,1,"Wondering Archer",1,"21,15"
16,1,"Apprentice Archer",30,"21,15,16"
17,1,"Expert Archer",50,"21,15,16,17"
18,1,"Imperial Commander",50,"21,15,16,18"
19,1,"God of Bow",70,"21,15,16,17,19"
20,1,"Imperial General",70,"21,15,16,18,20"
21,1,"Free Archer",0,
22,4,"Wandering Thief",1,"28,22"
23,4,"Thief Guild Member",30,"28,22,23"
24,4,"Hitman",50,"28,22,23,24"
25,4,"I Swordsman",50,"28,22,23,25"
26,4,"Dark Shadow",70,"28,22,23,24,26"
27,4,"Unearthly Ghost",70,"28,22,23,25,27"
28,4,"Free Thief",0,
