que_id,que_type,que_lvl,que_name,que_monst,que_item,que_text,que_rew,que_pic1,que_pic2,que_pic3
"00","Event",15,"Ancients Animals","Naughty Doggebi","Keg Talisman from Chang","1. Talk to Take Care of Ancient Animals by Chang (Narooth - 8)
2. Hunt monsters
3. Give Talizman to Chang (Narooth - 8)","One of the Ancient Animals",32,-1,1
"01","Event",1,"Beginning of Long Journey","Demons Plungerer","Stirrup","1. Talk to Chun-Sooin (Narooth - 9)
2. Hunt monsters
3. Give Stirrup to Chun-Sooin (Narooth - 9)","+100 XP",22,-1,1
"01","Quest",1,"Favor of Sailor Gwang-Chun","-","Gwan-ChunZs Message","1. Talk to Gwang-Chun (Narooth - 26)
2. Give Message to Nu-Rook (Cargo Station - 3)
3. Go back to Gwang-Chun (Narooth - 26)","+200 geon, 2 small medicine",0,-1,1
"01","RQ",10,"Big Handed Inhabitants dead body","Big Handed Inhabitant and Slaves","25 Head of Big Handed",,"+ 1.110 XP",24,-1,0
"02","Event",1,"Appointment of General In-Pill /a","Demon Escort Soldier & Archer","30 Demon Escort HeadZs","1. Talk to Sae-Ryu (Narooth - 27)
2. Hunt monsters
3. Go back to Sae-Ryu (Narooth - 27)","+200 XP",23,-1,1
"02","Quest",1,"Message Collection","Demon SpearHead","Sea-GeunZs Message","1. Talk to Sea-Geun (Narooth - 6)
2. Hunt monsters
3. Go back to Sea-Geun (Narooth - 6)","+50 XP, 2 small medicine",0,-1,1
"02","RQ",12,"Big Handed Warriors dead body","Red and Blue Big Handed Warrior","15 Head of Big Handed Warriors",,"+ 1.410 XP",24,-1,0
"03","Event",1,"Appointment of General In-Pill /b","Big Handed Inhabitant","Big Handed InhabitantZs Head","1. Talk to In-Pill (Cargo - 8)
2. Hunt monsters
3. Go back to  In-Pill (Cargo - 8)","+400 XP",24,-1,2
"03","Quest",1,"Grasp the Situation of Demons","Demon SpearHead","Demon Strategic Map","1. Talk to Mak-Ahnsoo (Narooth - 24)
2. Hunt monsters
3. Go back to Mak-Ahnsoo (Narooth - 24)
4. Give Map to Sae Won (Cargo - 4)","+100 geon, +1 Contribution point",1,-1,1
"03","RQ",14,"Demon Soldiers Head","Demon Soldier","10 Demon Soldiers Head",,"+ 1.560 XP",26,-1,0
"04","Event",1,"Appointment of General In-Pill /c","Demon Carcass Scavenger","In-PillZs Scrabbard","1. Talk to In-Pill (Cargo - 8)
2. Hunt monsters
3. Go back to  In-Pill (Cargo - 8)","+600 XP",25,-1,2
