sk_megn,sk_type,sk_poz,sk_desc,sk_order,sk_pic,sk_lvl,sk_pre,sk_form,sk_pars,sk_maxpars,sk_mana,sk_charge,sk_coold,sk_range,sk_lasting,sk_honor
"Parry","1",10,"By using your weapon, you can parry the enemy's attack.
Two Hand Sword must be equipped",2,53,"50|1","|0","Defense + ?? % Add. Long-range Defense + ?? %","0","0","0","0","0","0","0",0
"Powerful Arrow of Silence","2",17,"Block the opponent's magic, and consume the target's MP for 10 seconds",6,16,"53 63|1 1","|0","MP Consumption per 1 sec : #0","0 20 - sk_lvl 70 * +","0","80 sk_lvl 20 * +","0","0","0","10",0
"Passive Attack","2",15,"Skill that decreases the opponent's hostility",5,4,"18|3","|0","Hostility ?? % Decrease","0","0","sk_lvl 2 *","0","0","0","0",0
"Perfect Cure","2",4,"Recover the health of the selected target instantly
Recover 35% of Max Health",6,110,"52 62 69|1 1 1","Restore|1","-","0","0","190 sk_lvl 30 * +","0","900000","180","0",0
"Perfect Evasion","1",16,"Evade opponent's physical attack perfectly",2,7,"38 60|10 2","|0","Chance Perfect Evasion + #0 %","sk_lvl 7 +","0","0","0","0","0","0",1
"Perfect Evasion 2","1",17,"Evade opponent's physical attack perfectly",7,17,"54 62 68|1 1 1","Perfect Evasion|10","Chance Perfect Evasion + #0 % (+ Perfect Evasion 1)","sk_lvl 0 +","0","0","0","0","0","0",0
"Perfect Group Cure 2","2",4,"Recover the Health of your group members in the effective area.
Recover 30% of Max HP of all group members instantly",16,120,"59 69|1 1","Group Cure 2|1","-","0","0","400 sk_lvl 40 * +","0","900000","128","0",0
"Perfect Healing","2",4,"Recover 100% of HP of selected target.
But, it takes a long time to reactivate.",18,122,"68|1","|0","-","0","0","596","0","1800000","210","0",0
"Poison Arrow","2",16,"Use poison on the end of the arrow.
Poison item is needed for using",4,9,"43|5","|0","Damage + #0 Continuous Time #1 Sec","ch_lvl sk_lvl 10 * +|10 sk_lvl 10 * +","0|0","15","0","0","0","0",0
"Poison Cloud","2",18,"Spread the poison cloud and give continuous damage 
to all the player in the poison cloud.
Poison cloud stays for 12 seconds",14,35,"59 70|1 1","|0","-","0","0","100 sk_lvl 16 * +","0","0","0","12",0
"Protect","2",14,"Decrease the fury point on selected group member",1,71,"15|1","|0","-","0","0","25 sk_lvl 25 * +","0","10000","190","300 sk_lvl 300 * +",0
"Provocation","2",9,"Provokes the opponent for increasing hostility",4,49,"41|3","Mockery|5","Hostility + #0","800 sk_lvl 200 * +","0","24 sk_lvl 4 * +","0","5000","136 sk_lvl 8 * +","0",0
"Purification","2",4,"Disable all debuffs of the selected target
Except the Revival Sequela",2,106,"50|1","|0","-","0","0","74","2000","5000","170","0",0
"Powerful Upward Slash","2",10,"After stabbing the weapon deeply in to the body, lifting up strongly.
When making a hit, you get 1 Death Blow Point",1,52,"50 57 63 68|1 1 1 1","|0","Add. Attack Point + 1","0","0","24 sk_lvl 2 * +","0","4600","0","0",0
"Range Extension","1",17,"Attack longer distance than the weapon's effective distance",2,12,"51 58 67|1 1 1","|0","Add. Range : #0","sk_lvl 20 *","0","0","0","0","0","0",0
"Refining Weapon","2",3,"Give additional Attack point & Magic attack point
on the selected weapon for a while",1,92,"50 57 62 66 69|1 1 1 1 1","|0","Add. Attack Point and Magic Attack Point + #0","16 sk_lvl 8 * +","0","50 sk_lvl 12 * +","1500","5000","100","900",0
"Restore","2",2,"Recover the selected one's all health point instantly",11,89,"42|1","Revival (M)|1","Recovering Point : 25 %","0","0","112","0","90000","180","0",0
"Revival (M)","2",2,"Revive one who is unable to fight with minimum health point",10,88,"37 60|1 1","Cure|1","-","0","0","240","0","0","0","0",1
"Revival (knight)","2",11,"Revive one who is unable to fight with minimum health point",13,70,"59 69|1 1","|0","HP recovered of Target #0 %
MP recovered of Target #1 %","sk_lvl 3 *|sk_lvl 2 *","0|0","240 sk_lvl 80 * +","3700","40000","64","0",0
"Rush","2",10,"Rushing to the enemy and enemy gets stiff instantly.
But distance must be more than 60",3,54,"52 62|1 1","|0","Instant Stiffness : #0","sk_lvl 1 +","0","46 sk_lvl 4 * +","1","14000 sk_lvl 2000 * -","60 sk_lvl 20 * +","0",0
"Sacrifice","2",11,"Using you HP to recover the target HP",4,61,"52 61|1 1","|0","HP used : #0 % HP recovered : #1 %","5 sk_lvl 5 * +|50 sk_lvl 25 * +","0|0","0","0","40000","120","0",0
"Sight Blockade","2",18,"Block the target's sight and make the target blind",16,37,"62|1","|0","-","0","0","100","0","0","0","10",0
"Soul Destruction","2",4,"Throw luminary to the selected target",5,109,"52 63|1 4","|0","Magic Attack Point + #0","3 ch_lvl * 4 / 3 ch_wis * sk_lvl * 2 / +","0","29 sk_lvl 8 * +","1200","6000","150","0",0
"Shield Attack","2",14,"Attack with the shield to impede the opponent.
It can't be used on monsters",2,72,"25|1","|0","-","0","0","58","0","10000","36","0",0
"Shield Offense","2",11,"Pushing away the enemy with the shield.
One who gets pushed become faint for a short amount of time",3,60,"52 59 64 68|1 1 1 1","|0","Faint Time : #0","sk_lvl 4 *","0","72 sk_lvl 7 * +","0","15000","0","0",0
"Speed of Movement Reducer","2",18,"Reduce the opponent's movement instantly by 50%",5,26,"53 58 69|1 1 1","|0","-","0","0","68","0","0","0","sk_lvl 8 *",0
"Arrow of Silence","2",21,"Block the opponent's magic temporally
It can't be used on monsters",1,39,"25|1","|0","-","0","0","72","0","0","0","0",0
"Speed Up","2",2,"Run faster for certain amount of time",9,87,"36|3","|0","-","0","0","82 sk_lvl 8 * +","2300","600","160","sk_lvl 600 *",0
"Splashy Ice","2",2,"Attack with splashy ice wave
All that is hit may get slow by the Ice Mastery",7,85,"34|5","Ice Magic|10","Magic Attack Point + #0","5 ch_lvl * 6 / 5 ch_int * sk_lvl * 14 / +","320","42 sk_lvl 6 * +","900","600","64","0",0
